"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df"
"emm_employment_x_weekend","Employed For Wages","Weekday",NA,NA,7.2978550640856,0.0692849585558669,Inf
"emm_employment_x_weekend","Homemaker","Weekday",NA,NA,7.07580994086614,0.20437297783919,Inf
"emm_employment_x_weekend","Out Of Work Less Than One","Weekday",NA,NA,7.0859924593739,0.305921963174203,Inf
"emm_employment_x_weekend","Out Of Work One Or More","Weekday",NA,NA,7.19573752775158,0.267688190918549,Inf
"emm_employment_x_weekend","Retired","Weekday",NA,NA,7.46137759587087,0.133033413544514,Inf
"emm_employment_x_weekend","Self Employed","Weekday",NA,NA,7.40336870166581,0.156335195960161,Inf
"emm_employment_x_weekend","Student","Weekday",NA,NA,7.18920148429683,0.173708676006093,Inf
"emm_employment_x_weekend","Unable To Work","Weekday",NA,NA,7.33499372149271,0.182339941941819,Inf
"emm_employment_x_weekend","Employed For Wages","Weekend",NA,NA,7.42194962812825,0.0697071983632504,Inf
"emm_employment_x_weekend","Homemaker","Weekend",NA,NA,7.21974099879339,0.205111478987929,Inf
"emm_employment_x_weekend","Out Of Work Less Than One","Weekend",NA,NA,7.18024589727832,0.306844775952054,Inf
"emm_employment_x_weekend","Out Of Work One Or More","Weekend",NA,NA,7.36087383522537,0.268942173343501,Inf
"emm_employment_x_weekend","Retired","Weekend",NA,NA,7.60448524329067,0.133549328454426,Inf
"emm_employment_x_weekend","Self Employed","Weekend",NA,NA,7.50950083587543,0.157071900447605,Inf
"emm_employment_x_weekend","Student","Weekend",NA,NA,7.31139314834433,0.174535660756187,Inf
"emm_employment_x_weekend","Unable To Work","Weekend",NA,NA,7.46945073889439,0.183282919491266,Inf
"emm_employment_main","Employed For Wages",NA,NA,NA,7.333315701949,0.0691937075539191,Inf
"emm_employment_main","Homemaker",NA,NA,NA,7.11693895535464,0.20426166054381,Inf
"emm_employment_main","Out Of Work Less Than One",NA,NA,NA,7.11292584726799,0.305772067904425,Inf
"emm_employment_main","Out Of Work One Or More",NA,NA,NA,7.2429260475921,0.267416231142019,Inf
"emm_employment_main","Retired",NA,NA,NA,7.50227131671824,0.132938378698689,Inf
"emm_employment_main","Self Employed",NA,NA,NA,7.43369648601246,0.156181771369329,Inf
"emm_employment_main","Student",NA,NA,NA,7.22411835903782,0.173573872580601,Inf
"emm_employment_main","Unable To Work",NA,NA,NA,7.37341548185794,0.182192596875919,Inf
"emm_weekend_main",NA,"Weekday",NA,NA,7.3026922968938,0.0496643288515174,Inf
"emm_weekend_main",NA,"Weekend",NA,NA,7.43060391088388,0.0500864744785685,Inf
"emm_sex_main",NA,NA,"Female",NA,7.33758692135547,0.0578326320348765,Inf
"emm_sex_main",NA,NA,"Male",NA,7.33444970911479,0.0710708316087903,Inf
"emm_sex_main",NA,NA,"Other",NA,7.4425193820911,0.231768983770656,Inf
"emm_month_main",NA,NA,NA,"01",7.3271771719436,0.050976264177831,Inf
"emm_month_main",NA,NA,NA,"02",7.334450989449,0.050894208672328,Inf
"emm_month_main",NA,NA,NA,"03",7.35512243711481,0.0508744210248931,Inf
"emm_month_main",NA,NA,NA,"04",7.35534961814046,0.0512369901868714,Inf
"emm_month_main",NA,NA,NA,"05",7.34420179337541,0.0513057050549196,Inf
"emm_month_main",NA,NA,NA,"06",7.3301518847078,0.051344294078489,Inf
"emm_month_main",NA,NA,NA,"07",7.32730972569006,0.0513739942683804,Inf
"emm_month_main",NA,NA,NA,"08",7.34201555800333,0.0515802137708934,Inf
