"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df"
"emm_employment_x_weekend","Employed For Wages","Weekday",NA,NA,3.19712430556716,0.108480520020027,Inf
"emm_employment_x_weekend","Homemaker","Weekday",NA,NA,3.55817462523177,0.31764450239436,Inf
"emm_employment_x_weekend","Out Of Work Less Than One","Weekday",NA,NA,3.74386120431283,0.476371301008757,Inf
"emm_employment_x_weekend","Out Of Work One Or More","Weekday",NA,NA,3.12972497411364,0.416515887293379,Inf
"emm_employment_x_weekend","Retired","Weekday",NA,NA,3.18528747219405,0.207386234294826,Inf
"emm_employment_x_weekend","Self Employed","Weekday",NA,NA,3.0421671837877,0.244781824078546,Inf
"emm_employment_x_weekend","Student","Weekday",NA,NA,3.79332609658695,0.271751632347284,Inf
"emm_employment_x_weekend","Unable To Work","Weekday",NA,NA,3.8669845580862,0.28554535956109,Inf
"emm_employment_x_weekend","Employed For Wages","Weekend",NA,NA,3.80850238504685,0.10882264305986,Inf
"emm_employment_x_weekend","Homemaker","Weekend",NA,NA,4.14578417924904,0.3182645529379,Inf
"emm_employment_x_weekend","Out Of Work Less Than One","Weekend",NA,NA,4.34807255738567,0.477106811309837,Inf
"emm_employment_x_weekend","Out Of Work One Or More","Weekend",NA,NA,3.76327858030658,0.417535018269336,Inf
"emm_employment_x_weekend","Retired","Weekend",NA,NA,3.80510310645445,0.207824755935551,Inf
"emm_employment_x_weekend","Self Employed","Weekend",NA,NA,3.67649358036494,0.245398655634281,Inf
"emm_employment_x_weekend","Student","Weekend",NA,NA,4.44710322657057,0.272369987733571,Inf
"emm_employment_x_weekend","Unable To Work","Weekend",NA,NA,4.49153563486567,0.286270888693313,Inf
"emm_employment_main","Employed For Wages",NA,NA,NA,3.37182862755986,0.108415028424722,Inf
"emm_employment_main","Homemaker",NA,NA,NA,3.72608697305161,0.31755723673042,Inf
"emm_employment_main","Out Of Work Less Than One",NA,NA,NA,3.91651759864859,0.476240887055665,Inf
"emm_employment_main","Out Of Work One Or More",NA,NA,NA,3.31076606297663,0.416286703325788,Inf
"emm_employment_main","Retired",NA,NA,NA,3.36240286736179,0.207316725859459,Inf
"emm_employment_main","Self Employed",NA,NA,NA,3.22342910134028,0.244663362528285,Inf
