"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df"
"emm_employment_x_weekend","Employed For Wages","Weekday",NA,NA,-0.439157502446273,0.107048237044379,Inf
"emm_employment_x_weekend","Homemaker","Weekday",NA,NA,-0.0954843775267564,0.313006382849588,Inf
"emm_employment_x_weekend","Out Of Work Less Than One","Weekday",NA,NA,0.169561523654602,0.469585291711627,Inf
"emm_employment_x_weekend","Out Of Work One Or More","Weekday",NA,NA,-0.492429314891264,0.410565091979409,Inf
"emm_employment_x_weekend","Retired","Weekday",NA,NA,-0.478330873503155,0.204477031600881,Inf
"emm_employment_x_weekend","Self Employed","Weekday",NA,NA,-0.610032180370403,0.241547397960135,Inf
"emm_employment_x_weekend","Student","Weekday",NA,NA,0.167341535555051,0.268118882245621,Inf
"emm_employment_x_weekend","Unable To Work","Weekday",NA,NA,0.17873944817838,0.281774122084745,Inf
"emm_employment_x_weekend","Employed For Wages","Weekend",NA,NA,0.124221712577362,0.107348344310812,Inf
"emm_employment_x_weekend","Homemaker","Weekend",NA,NA,0.449046822954208,0.313575980023718,Inf
"emm_employment_x_weekend","Out Of Work Less Than One","Weekend",NA,NA,0.729383433249307,0.470250643190918,Inf
"emm_employment_x_weekend","Out Of Work One Or More","Weekend",NA,NA,0.109342423076286,0.411484798192727,Inf
"emm_employment_x_weekend","Retired","Weekend",NA,NA,0.08925319313209,0.204857612246967,Inf
"emm_employment_x_weekend","Self Employed","Weekend",NA,NA,-0.0119729205435213,0.242098327536448,Inf
"emm_employment_x_weekend","Student","Weekend",NA,NA,0.775917339933264,0.268673555114446,Inf
"emm_employment_x_weekend","Unable To Work","Weekend",NA,NA,0.771992675289611,0.282417607572338,Inf
"emm_employment_main","Employed For Wages",NA,NA,NA,-0.278169094308957,0.106989574443537,Inf
"emm_employment_main","Homemaker",NA,NA,NA,0.0601181168656832,0.312930557697302,Inf
"emm_employment_main","Out Of Work Less Than One",NA,NA,NA,0.329533414101896,0.46946718447403,Inf
"emm_employment_main","Out Of Work One Or More",NA,NA,NA,-0.320470052685686,0.41035718017423,Inf
"emm_employment_main","Retired",NA,NA,NA,-0.316140908138745,0.204411247579751,Inf
"emm_employment_main","Self Employed",NA,NA,NA,-0.439133777227732,0.241439245512542,Inf
"emm_employment_main","Student",NA,NA,NA,0.341245093522884,0.268005869809139,Inf
"emm_employment_main","Unable To Work",NA,NA,NA,0.348264503608329,0.281651890041719,Inf
"emm_weekend_main",NA,"Weekday",NA,NA,-0.322019259558289,0.0765271006342813,Inf
"emm_weekend_main",NA,"Weekend",NA,NA,0.25056462056431,0.0767849226310107,Inf
"emm_sex_main",NA,NA,"Female",NA,-0.0863543591685677,0.0893405688762758,Inf
"emm_sex_main",NA,NA,"Male",NA,-0.243012835465894,0.109773768443235,Inf
"emm_sex_main",NA,NA,"Other",NA,-0.563150199934639,0.358953323602236,Inf
"emm_month_main",NA,NA,NA,"01",-0.171735297129881,0.0774675947099849,Inf
"emm_month_main",NA,NA,NA,"02",-0.162397968797768,0.0773398699795344,Inf
