"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,12.2566787538556,2.69296312151171,95.5350007959596,6.91085714114533,17.6025003665659
"emm_employment_x_weekend","Student","Weekday",NA,NA,10.0280978241329,3.07210009025258,96.0764704583248,3.93008928344109,16.1261063648246
"emm_employment_x_weekend","Retired","Weekday",NA,NA,13.5397556712751,2.79778039279596,96.7715414000514,7.98677049802276,19.0927408445275
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,12.6174915579553,1.58054088733818,78.0422061327176,9.47090316899088,15.7640799469197
"emm_employment_x_weekend","Working","Weekend",NA,NA,13.1771748400736,2.24134936325314,96.9906877905193,8.72871139703287,17.6256382831143
"emm_employment_x_weekend","Student","Weekend",NA,NA,8.31134212864392,2.93725602467635,96.8638334341301,2.48159849734397,14.1410857599439
"emm_employment_x_weekend","Retired","Weekend",NA,NA,10.9881797811324,3.31627369369966,96.8516795175306,4.40616719331075,17.5701923689541
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,12.8714725230763,1.58733735601075,96.810562524439,9.72096941336182,16.0219756327908
"emm_employment_main","Working",NA,NA,NA,12.7274668284862,1.80168775514691,96.7621778739926,9.15150437170392,16.3034292852684
"emm_employment_main","Student",NA,NA,NA,9.15006246842477,2.23722480696399,96.2584526684159,4.70935848997565,13.5907664468739
"emm_employment_main","Retired",NA,NA,NA,12.2347512083777,2.205587739435,96.8406736060941,7.85717912785408,16.6123232889013
"emm_employment_main","Not Working",NA,NA,NA,12.7473902195057,1.1134663467812,90.6343593422308,10.5355058901707,14.9592745488407
"emm_weekend_main",NA,"Weekday",NA,NA,12.3269578987167,1.45400391397264,82.7547979922181,9.43487586428674,15.2190399331467
"emm_weekend_main",NA,"Weekend",NA,NA,12.166540383785,1.42223896357517,96.9993087872658,9.34378948269751,14.9892912848726
"emm_sex_main",NA,NA,"Female",NA,11.6687714357196,2.23307253494745,96.6376545848306,7.23653072291347,16.1010121485258
"emm_sex_main",NA,NA,"I prefer not to answer",NA,13.2138036396861,1.83093985168657,96.801136096811,9.57980058257881,16.8478066967935
"emm_sex_main",NA,NA,"Intersex",NA,11.8952107903544,1.96688130029094,95.4444197104385,7.9906922101578,15.7997293705509
"emm_sex_main",NA,NA,"Male",NA,11.1387275064126,1.7430778253693,96.6244331982327,7.67903070597693,14.5984243068483
"emm_sex_main",NA,NA,"No matching concept",NA,12.7904253824452,1.85915610733688,92.325765183542,9.0981544597207,16.4826963051697
"emm_sex_main",NA,NA,"PMI: Skip",NA,13.4585892308253,2.42186787301696,96.763328751899,8.65170343145681,18.2654750301937
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,12.7832492143345,2.3208419401617,96.5180058152815,8.17672988828016,17.3897685403889
"emm_month_main",NA,NA,NA,"01",11.9700819529516,2.72369186795139,96.5706418498342,6.56400400739846,17.3761598985047
"emm_month_main",NA,NA,NA,"02",12.336193699053,2.12856811022679,96.6959969615512,8.1114074769043,16.5609799212017
