"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,12.0371043181646,2.73948905331059,175.488782169965,6.6305194322404,17.4436892040888
"emm_employment_x_weekend","Student","Weekday",NA,NA,10.0921651097206,3.08824981348073,176.617802099442,3.99754549130475,16.1867847281364
"emm_employment_x_weekend","Retired","Weekday",NA,NA,13.5427541267782,2.80873355781506,177.584709744577,7.99996428325054,19.0855439703059
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,12.4684190347319,1.59433037273856,144.804463851371,9.31725371719559,15.6195843522683
"emm_employment_x_weekend","Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Student","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Retired","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_main","Working",NA,NA,NA,12.7166192841414,1.83796841437985,177.54401888496,9.08954378238271,16.3436947859002
"emm_employment_main","Student",NA,NA,NA,9.34428358659529,2.25951601002967,176.874233156102,4.88520361948278,13.8033635537078
"emm_employment_main","Retired",NA,NA,NA,12.2280818589777,2.21167827405803,177.68648309426,7.86354551178722,16.5926182061683
"emm_employment_main","Not Working",NA,NA,NA,12.7069960780645,1.11983819293749,167.219576814557,10.4961532453191,14.9178389108099
"emm_weekend_main",NA,"Weekday",NA,NA,12.2037023947324,1.46625106446199,153.42306901138,9.30705466527109,15.1003501241937
"emm_weekend_main",NA,"Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_sex_main",NA,NA,"Female",NA,11.3148311806379,2.31974754588952,176.997150034756,6.73690817292405,15.8927541883517
"emm_sex_main",NA,NA,"I prefer not to answer",NA,13.1901471197537,1.85079645993297,177.622381995907,9.53776761053098,16.8425266289765
"emm_sex_main",NA,NA,"Intersex",NA,12.0394699433668,1.98120663857929,175.578993046592,8.12942560731538,15.9495142794181
"emm_sex_main",NA,NA,"Male",NA,11.1820662518809,1.75374967016221,177.520932463169,7.72118624337946,14.6429462603824
"emm_sex_main",NA,NA,"No matching concept",NA,12.7529581441933,1.902080049537,169.265586495371,8.9981035547981,16.5078127335885
"emm_sex_main",NA,NA,"PMI: Skip",NA,13.623454517453,2.44468662646608,177.551880542672,8.79907331006688,18.4478357248392
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,13.0371314239627,2.35258130010714,177.271302581208,8.39446182416643,17.679801023759
"emm_month_main",NA,NA,NA,"01",11.8354344104355,2.82105501549526,177.402997791286,6.26829012663263,17.4025786942383
"emm_month_main",NA,NA,NA,"02",12.3986579813303,2.14288799824982,177.486279784992,8.16983998217298,16.6274759804877
"emm_month_main",NA,NA,NA,"03",12.0721045697917,2.25899335255127,118.20920328531,7.59876473437198,16.5454444052115
"emm_month_main",NA,NA,NA,"04",14.8817489956277,2.52444387050669,177.621072904567,9.8999869647735,19.8635110264819
"emm_month_main",NA,NA,NA,"05",12.2248476440868,3.20162875426277,177.843792612016,5.90677666495663,18.5429186232169
