"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,12.0488460416079,2.73948905331059,93.4876330165828,6.60913764138622,17.4885544418296
"emm_employment_x_weekend","Student","Weekday",NA,NA,10.1230509761739,3.08824981348073,94.1698298880631,3.99140274047662,16.2546992118712
"emm_employment_x_weekend","Retired","Weekday",NA,NA,13.547737223787,2.80873355781506,94.7824315851752,7.97153101638014,19.1239434311939
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,12.5000693312291,1.59433037273856,76.3321642782925,9.32490864291747,15.6752300195407
"emm_employment_x_weekend","Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Student","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Retired","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_main","Working",NA,NA,NA,12.7124109199604,1.83796841437985,94.7257454410278,9.06344601797346,16.3613758219474
"emm_employment_main","Student",NA,NA,NA,9.35529849357804,2.25951601002967,94.3261182730598,4.86917869225563,13.8414182949004
"emm_employment_main","Retired",NA,NA,NA,12.2238952861981,2.21167827405803,94.8501701817265,7.83306931322106,16.6147212591752
"emm_employment_main","Not Working",NA,NA,NA,12.7212635667785,1.11983819293749,88.763165102561,10.4960871233453,14.9464400102118
"emm_weekend_main",NA,"Weekday",NA,NA,12.2277404797558,1.46625106446199,81.0510833659757,9.31038866337445,15.1450922961371
"emm_weekend_main",NA,"Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_sex_main",NA,NA,"Female",NA,11.3274162632879,2.31974754588952,94.6809603428732,6.72193495906238,15.9328975675134
"emm_sex_main",NA,NA,"I prefer not to answer",NA,13.1842975866493,1.85079645993297,94.8042361869257,9.50990419560695,16.8586909776916
"emm_sex_main",NA,NA,"Intersex",NA,12.0465996947238,1.98120663857929,93.5588039408921,8.11262561697383,15.9805737724739
"emm_sex_main",NA,NA,"Male",NA,11.1980089796074,1.75374967016221,94.6736253008643,7.71622087241092,14.6797970868038
"emm_sex_main",NA,NA,"No matching concept",NA,12.7689039386104,1.902080049537,89.9757191533485,8.99007603686401,16.5477318403568
"emm_sex_main",NA,NA,"PMI: Skip",NA,13.6072728887154,2.44468662646608,94.7580110371946,8.75379644474752,18.4607493326832
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,13.0448143483514,2.35258130010714,94.5827439024921,8.37408419663054,17.7155445000722
"emm_month_main",NA,NA,NA,"01",11.850815102886,2.82105501549526,94.6618912663279,6.25005478424877,17.4515754215232
"emm_month_main",NA,NA,NA,"02",12.4017335674423,2.14288799824982,94.7047309354453,8.14739193789923,16.6560751969853
"emm_month_main",NA,NA,NA,"03",12.1157464652439,2.25899335255127,61.9157171337735,7.59996081783035,16.6315321126574
"emm_month_main",NA,NA,NA,"04",14.8814192358494,2.52444387050669,94.8083239755736,9.86963382050868,19.8932046511901
"emm_month_main",NA,NA,NA,"05",12.2218606020038,3.20162875426277,94.9608196449865,5.86579007995582,18.5779311240517
"emm_month_main",NA,NA,NA,"06",14.6548516667952,3.26525487092852,94.7835956875766,8.17231026004615,21.1373930735442
"emm_month_main",NA,NA,NA,"07",10.902728282721,2.62109407609549,94.453916183816,5.69881058442063,16.1066459810214
"emm_month_main",NA,NA,NA,"08",14.5042724734248,2.75831591478496,80.6304603031953,9.01570769352991,19.9928372533196
"emm_month_main",NA,NA,NA,"09",11.1964308252809,2.43806659617025,94.3235274566363,6.35580890078278,16.037052749779
"emm_month_main",NA,NA,NA,"10",12.7461042190929,2.48052063177773,94.8475623997322,7.82154606213071,17.6706623760551
"emm_month_main",NA,NA,NA,"11",12.8319689131752,2.00029642374185,94.7767847280387,8.86075779733746,16.8031800290129
"emm_month_main",NA,NA,NA,"12",8.17105091621012,2.63035603227775,94.4828458267207,2.94876528359881,13.3933365488214
"emm_month_x_weekend",NA,"Weekday",NA,"01",11.7976937039621,3.0210872363563,93.6504571219134,5.79896228280889,17.7964251251154
"emm_month_x_weekend",NA,"Weekday",NA,"02",12.3486121685184,2.34647457876704,92.3657165162383,7.68855695713815,17.0086673798987
"emm_month_x_weekend",NA,"Weekday",NA,"03",12.06262506632,2.47987050781238,49.1023172216959,7.0794013559544,17.0458487766856
"emm_month_x_weekend",NA,"Weekday",NA,"04",14.8282978369256,2.69507145936776,94.4745249625631,9.47752065486484,20.1790750189863
"emm_month_x_weekend",NA,"Weekday",NA,"05",12.1687392030799,3.34727094718446,94.8138348453409,5.52339790307561,18.8140805030842
"emm_month_x_weekend",NA,"Weekday",NA,"06",14.6017302678713,3.43163016892683,94.3368839741806,7.78846532098685,21.4149952147558
"emm_month_x_weekend",NA,"Weekday",NA,"07",10.8496068837972,2.79186879564857,92.5353465060846,5.30514185527309,16.3940719123212
"emm_month_x_weekend",NA,"Weekday",NA,"08",14.4511510745009,2.91206334410151,88.3066017734293,8.66431713805569,20.2379850109461
"emm_month_x_weekend",NA,"Weekday",NA,"09",11.143309426357,2.7173906890905,92.5773926305922,5.74678540990637,16.5398334428077
"emm_month_x_weekend",NA,"Weekday",NA,"10",12.6929828201691,2.70017856503872,94.9999128605407,7.3324505508625,18.0535150894756
"emm_month_x_weekend",NA,"Weekday",NA,"11",12.7788475142513,2.21981515521807,94.4327476998712,8.37161578861919,17.1860792398835
"emm_month_x_weekend",NA,"Weekday",NA,"12",8.11792951728627,2.94065499040835,93.2973915601783,2.27861680273454,13.957242231838
"emm_month_x_weekend",NA,"Weekend",NA,"01",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"02",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"03",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"04",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"05",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"06",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"07",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"08",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"09",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"10",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"11",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"12",NA,NA,NA,NA,NA
