"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,12.0308059058932,2.75389235149666,177.509326991507,6.59622454937997,17.4653872624065
"emm_employment_x_weekend","Student","Weekday",NA,NA,10.0926679268733,3.10415570182839,178.515294666079,3.96710741364712,16.2182284400994
"emm_employment_x_weekend","Retired","Weekday",NA,NA,13.5260267816298,2.82865899905828,179.482607281129,7.94432075737251,19.1077328058871
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,12.4712664101622,1.60147336296517,146.938160139105,9.30637035243181,15.6361624678926
"emm_employment_x_weekend","Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Student","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Retired","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_main","Working",NA,NA,NA,12.7166964560753,1.84788006699615,179.427410286129,9.07032379589057,16.3630691162601
"emm_employment_main","Student",NA,NA,NA,9.3433102984153,2.27132560817748,178.762307687898,4.86125057241436,13.8253700244162
"emm_employment_main","Retired",NA,NA,NA,12.2265637210565,2.22339641588329,179.552488611761,7.83921537391679,16.6139120681963
"emm_employment_main","Not Working",NA,NA,NA,12.7101945492831,1.12589473605526,168.758649647157,10.4875423235154,14.9328467750508
"emm_weekend_main",NA,"Weekday",NA,NA,12.201962373359,1.47273037633566,156.500784789506,9.29296922311951,15.1109555235986
"emm_weekend_main",NA,"Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_sex_main",NA,NA,"Female",NA,11.310153368595,2.3328551249735,178.615342723445,6.70665019968087,15.913656537509
"emm_sex_main",NA,NA,"I prefer not to answer",NA,13.1601049563665,1.8877402547629,179.390841870815,9.43507209054971,16.8851378221833
"emm_sex_main",NA,NA,"Intersex",NA,12.0688181394274,2.01781085935259,176.813487727913,8.08672585341064,16.0509104254442
"emm_sex_main",NA,NA,"Male",NA,11.184912195888,1.76346821787688,179.412633515001,7.70510524979476,14.6647191419812
"emm_sex_main",NA,NA,"No matching concept",NA,12.7785326865263,1.93291174142584,169.554990737723,8.96286082210037,16.5942045509523
"emm_sex_main",NA,NA,"PMI: Skip",NA,13.5811859878277,2.49738268182335,179.126869421731,8.65311092718796,18.5092610484674
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,13.0426079406681,2.36580363035336,179.089866241973,8.37417072532905,17.7110451560071
"emm_month_main",NA,NA,NA,"01",11.8635461284754,2.85154744137072,179.076920898434,6.23658851787547,17.4905037390754
"emm_month_main",NA,NA,NA,"02",12.4297249318224,2.18203785254429,179.106057228144,8.12391513379243,16.7355347298523
"emm_month_main",NA,NA,NA,"03",12.0590748619503,2.2703787963109,124.81702677632,7.56564906864964,16.5525006552509
"emm_month_main",NA,NA,NA,"04",14.8991469578804,2.54469010059051,179.478219372112,9.87778721600244,19.9205066997584
"emm_month_main",NA,NA,NA,"05",12.2408360447114,3.22335203325305,179.723918412891,5.88035233157053,18.6013197578522
"emm_month_main",NA,NA,NA,"06",14.6489996679353,3.28274394573236,179.454416693959,8.17125484193136,21.1267444939391
"emm_month_main",NA,NA,NA,"07",10.8989036946223,2.63584334759378,178.890651085113,5.69755805500564,16.100249334239
"emm_month_main",NA,NA,NA,"08",14.5619366528052,2.77924548645621,150.56438341688,9.07057807286079,20.0532952327497
"emm_month_main",NA,NA,NA,"09",11.1999956305442,2.45096001714381,178.730734628889,6.36345331854981,16.0365379425386
"emm_month_main",NA,NA,NA,"10",12.6861198808021,2.49515144421765,179.10125734938,7.76244292348492,17.6097968381194
"emm_month_main",NA,NA,NA,"11",12.8063517803369,2.03386167957115,179.391382913149,8.79298107076129,16.8197224899125
"emm_month_main",NA,NA,NA,"12",8.14474552806652,2.65265663774941,179.060445499873,2.9102557970474,13.3792352590856
"emm_month_x_weekend",NA,"Weekday",NA,"01",11.7908834519211,3.04815344463728,177.070984563722,5.77549968424741,17.8062672195948
"emm_month_x_weekend",NA,"Weekday",NA,"02",12.3570622552681,2.37922304890043,174.253484545669,7.66125792705262,17.0528665834835
"emm_month_x_weekend",NA,"Weekday",NA,"03",11.986412185396,2.49233378045343,101.64268900761,7.0426713527506,16.9301530180414
"emm_month_x_weekend",NA,"Weekday",NA,"04",14.8264842813261,2.71355069218752,178.825852622976,9.47178446448982,20.1811840981624
"emm_month_x_weekend",NA,"Weekday",NA,"05",12.1681733681571,3.36789648789926,179.473019893802,5.52240414037278,18.8139425959413
"emm_month_x_weekend",NA,"Weekday",NA,"06",14.5763369913809,3.45025391336669,178.791187181762,7.7678780762774,21.3847959064845
"emm_month_x_weekend",NA,"Weekday",NA,"07",10.826241018068,2.80625955844742,175.678108227496,5.28792102731982,16.3645610088162
"emm_month_x_weekend",NA,"Weekday",NA,"08",14.4892739762509,2.93129374637157,165.788431716555,8.70179717952849,20.2767507729733
"emm_month_x_weekend",NA,"Weekday",NA,"09",11.1273329539899,2.73158453219798,175.883372954535,5.73643219990916,16.5182337080706
"emm_month_x_weekend",NA,"Weekday",NA,"10",12.6134572042478,2.7163942491101,179.636536633253,7.25331094310324,17.9736034653924
"emm_month_x_weekend",NA,"Weekday",NA,"11",12.7336891037826,2.2566732179712,179.212615647567,8.28061953723397,17.1867586703312
"emm_month_x_weekend",NA,"Weekday",NA,"12",8.07208285151221,2.96579592228564,177.489000171873,2.21932252587828,13.9248431771461
"emm_month_x_weekend",NA,"Weekend",NA,"01",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"02",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"03",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"04",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"05",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"06",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"07",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"08",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"09",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"10",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"11",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"12",NA,NA,NA,NA,NA
