"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,12.0425216659916,2.75389235149666,92.5803080882033,6.57351050135494,17.5115328306282
"emm_employment_x_weekend","Student","Weekday",NA,NA,10.1251831810278,3.10415570182839,93.1803325222427,3.96110237204659,16.2892639900089
"emm_employment_x_weekend","Retired","Weekday",NA,NA,13.5299835601911,2.82865899905828,93.7889124750337,7.91345000972826,19.146517110654
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,12.50465828089,1.60147336296517,75.7619193977065,9.31488554527344,15.6944310165066
"emm_employment_x_weekend","Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Student","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Retired","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_main","Working",NA,NA,NA,12.712129992637,1.84788006699615,93.7200680450239,9.04297792559983,16.3812820596742
"emm_employment_main","Student",NA,NA,NA,9.35476423863003,2.27132560817748,93.3299540116603,4.8445718633852,13.8649566138749
"emm_employment_main","Retired",NA,NA,NA,12.2220158473344,2.22339641588329,93.8345689440873,7.80730867465433,16.6367230200146
"emm_employment_main","Not Working",NA,NA,NA,12.7253528872381,1.12589473605526,87.6537536653606,10.487750497224,14.9629552772523
"emm_weekend_main",NA,"Weekday",NA,NA,12.2270145559644,1.47273037633566,80.9124381519947,9.29669499586033,15.1573341160684
"emm_weekend_main",NA,"Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_sex_main",NA,NA,"Female",NA,11.3228776991859,2.3328551249735,93.5796208815288,6.69066787922675,15.955087519145
"emm_sex_main",NA,NA,"I prefer not to answer",NA,13.1517336921218,1.8877402547629,93.7269764343046,9.40343881862848,16.9000285656151
"emm_sex_main",NA,NA,"Intersex",NA,12.0783852761731,2.01781085935259,92.1927015338041,8.07095034410528,16.0858202082408
"emm_sex_main",NA,NA,"Male",NA,11.2017758341899,1.76346821787688,93.6693028735883,7.70020718381583,14.703344484564
"emm_sex_main",NA,NA,"No matching concept",NA,12.7970824606206,1.93291174142584,88.1642718675871,8.95592629867958,16.6382386225615
"emm_sex_main",NA,NA,"PMI: Skip",NA,13.5610356175225,2.49738268182335,93.5619326369922,8.60212106631846,18.5199501687265
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,13.0510296759792,2.36580363035336,93.5416914294437,8.35337104884841,17.74868830311
"emm_month_main",NA,NA,NA,"01",11.8817741750065,2.85154744137072,93.5296988038121,6.21958870435767,17.5439596456553
"emm_month_main",NA,NA,NA,"02",12.4351310834156,2.18203785254429,93.532347515399,8.10236135240742,16.7679008144238
"emm_month_main",NA,NA,NA,"03",12.1037814694449,2.2703787963109,63.976167586864,7.56814588099119,16.6394170578986
"emm_month_main",NA,NA,NA,"04",14.9000676293982,2.54469010059051,93.7878193678151,9.84737675825486,19.9527585005415
"emm_month_main",NA,NA,NA,"05",12.2388495001707,3.22335203325305,93.951781445314,5.8387656544901,18.6389333458513
"emm_month_main",NA,NA,NA,"06",14.6504880289808,3.28274394573236,93.7699850704438,8.13231452552399,21.1686615324377
"emm_month_main",NA,NA,NA,"07",10.9097297303709,2.63584334759378,93.4109120939069,5.67577065931578,16.143688801426
"emm_month_main",NA,NA,NA,"08",14.5071644888426,2.77924548645621,79.5737769809368,8.97583487907421,20.038494098611
"emm_month_main",NA,NA,NA,"09",11.1944013612837,2.45096001714381,93.3133307461001,6.32749588487144,16.061306837696
"emm_month_main",NA,NA,NA,"10",12.7456135511401,2.49515144421765,93.7660251494552,7.79127069761247,17.6999564046678
"emm_month_main",NA,NA,NA,"11",12.8007414692155,2.03386167957115,93.7310668110363,8.7623103674237,16.8391725710074
"emm_month_main",NA,NA,NA,"12",8.14946654203024,2.65265663774941,93.5246069007662,2.88220555588461,13.4167275281759
"emm_month_x_weekend",NA,"Weekday",NA,"01",11.8263731494036,3.04815344463728,92.3380175508727,5.77277256109942,17.8799737377078
"emm_month_x_weekend",NA,"Weekday",NA,"02",12.3797300578127,2.37922304890043,90.7159841473553,7.65349640020814,17.1059637154172
"emm_month_x_weekend",NA,"Weekday",NA,"03",12.048380443842,2.49233378045343,51.8899511692141,7.04689434604206,17.0498665416419
"emm_month_x_weekend",NA,"Weekday",NA,"04",14.8446666037953,2.71355069218752,93.3816036814802,9.45638290419623,20.2329503033943
"emm_month_x_weekend",NA,"Weekday",NA,"05",12.1834484745678,3.36789648789926,93.7740518070146,5.49620098574911,18.8706959633865
"emm_month_x_weekend",NA,"Weekday",NA,"06",14.5950870033779,3.45025391336669,93.3589948819833,7.74391371862785,21.446260288128
"emm_month_x_weekend",NA,"Weekday",NA,"07",10.854328704768,2.80625955844742,91.5346206595445,5.28047741476497,16.428179994771
"emm_month_x_weekend",NA,"Weekday",NA,"08",14.4517634632397,2.93129374637157,87.3492532044856,8.62582818247317,20.2776987440062
"emm_month_x_weekend",NA,"Weekday",NA,"09",11.1390003356808,2.73158453219798,91.6608012241325,5.71357016520451,16.5644305061571
"emm_month_x_weekend",NA,"Weekday",NA,"10",12.6902125255372,2.7163942491101,93.9724083164176,7.2967274212301,18.0836976298443
"emm_month_x_weekend",NA,"Weekday",NA,"11",12.7453404436126,2.2566732179712,93.6195594628179,8.26442547935807,17.2262554078672
"emm_month_x_weekend",NA,"Weekday",NA,"12",8.09406551642733,2.96579592228564,92.5912708094886,2.20423994753492,13.9838910853197
"emm_month_x_weekend",NA,"Weekend",NA,"01",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"02",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"03",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"04",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"05",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"06",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"07",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"08",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"09",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"10",NA,NA,NA,NA,NA
