"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,24.7452075157873,2.72787994287753,177.243087756877,19.361904019255,30.1285110123196
"emm_employment_x_weekend","Student","Weekday",NA,NA,23.7862260048902,3.08367691620861,177.038460051115,17.7007306872996,29.8717213224807
"emm_employment_x_weekend","Retired","Weekday",NA,NA,26.008527926824,2.87215456595089,176.833712985309,20.3404171252899,31.6766387283582
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,23.6922557485182,1.62238356168365,176.763553873031,20.4905217446494,26.893989752387
"emm_employment_x_weekend","Working","Weekend",NA,NA,23.3986998060648,2.21742651682153,177.083174378658,19.0227176254479,27.7746819866817
"emm_employment_x_weekend","Student","Weekend",NA,NA,24.4957752730593,2.90666194112402,177.109390145894,18.759626720096,30.2319238260227
"emm_employment_x_weekend","Retired","Weekend",NA,NA,22.6395072806052,3.34134330278936,177.027768595715,16.0455163965279,29.2334981646825
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,23.9532826454898,1.63886136695091,177.060094876448,20.7190674344884,27.1874978564913
"emm_employment_main","Working",NA,NA,NA,24.0565356337155,1.77426074836166,177.165345063531,20.5551304761332,27.5579407912977
"emm_employment_main","Student",NA,NA,NA,24.1491252489156,2.19741431655577,177.087481401771,19.8126368870017,28.4856136108295
"emm_employment_main","Retired",NA,NA,NA,24.2854410314297,2.24357701447058,177.024674772071,19.8578420629963,28.713039999863
"emm_employment_main","Not Working",NA,NA,NA,23.8257580546029,1.13791756307547,176.984964471768,21.5801251317385,26.0713909774673
"emm_weekend_main",NA,"Weekday",NA,NA,24.202051229643,1.48096094917398,177.226707399108,21.2794639134718,27.1246385458141
"emm_weekend_main",NA,"Weekend",NA,NA,23.7463387464403,1.41662052300162,177.134443830361,20.9507133791648,26.5419641137159
"emm_sex_main",NA,NA,"Female",NA,24.1720476781777,1.35750143956294,177.091396683262,21.4930862032497,26.8510091531057
"emm_sex_main",NA,NA,"I prefer not to answer",NA,27.2116750628339,1.86981538370821,176.92032339162,23.5216629891957,30.9016871364721
"emm_sex_main",NA,NA,"Intersex",NA,20.9609954831053,2.01065013026707,177.078667215844,16.9930756374757,24.9289153287349
"emm_sex_main",NA,NA,"Male",NA,24.1230472415993,1.4797498404215,177.124380729288,21.2028383779606,27.0432561052379
"emm_sex_main",NA,NA,"No matching concept",NA,21.7807996566141,1.90807541728187,176.992100914237,18.015293326407,25.5463059868213
"emm_sex_main",NA,NA,"PMI: Skip",NA,28.6972293495023,2.5004835801562,176.944356747807,23.7626213391853,33.6318373598193
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,23.5429580464463,2.39332227966058,177.035354578595,18.8198454505575,28.2660706423351
"emm_month_main",NA,NA,NA,"01",21.766176049009,NA,175.548712145825,NA,NA
"emm_month_main",NA,NA,NA,"02",20.7695811949459,2.13624536615877,176.916241198181,16.5537786538752,24.9853837360167
"emm_month_main",NA,NA,NA,"03",25.495041114352,2.25121290909749,177.150018018409,21.0523946836964,29.9376875450075
"emm_month_main",NA,NA,NA,"04",22.1819807360845,2.55893862351428,176.969193153073,17.1320188298226,27.2319426423464
"emm_month_main",NA,NA,NA,"05",22.1701097599721,3.18288103103952,177.032380209104,15.8888381757307,28.4513813442135
"emm_month_main",NA,NA,NA,"06",24.4977277392037,3.33415715514144,177.002327844729,17.9179118858013,31.077543592606
"emm_month_main",NA,NA,NA,"07",23.4280583004531,2.63318443614523,176.997542731997,18.2315810152231,28.624535585683
"emm_month_main",NA,NA,NA,"08",24.6608811483594,1.5500244595009,177.034250938297,21.6019782898046,27.7197840069143
