"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,24.6935817220794,2.72787994287753,97.0230686756701,19.2795114076412,30.1076520365175
"emm_employment_x_weekend","Student","Weekday",NA,NA,23.826810532869,3.08367691620861,97.4088833178181,17.7068898824493,29.9467311832886
"emm_employment_x_weekend","Retired","Weekday",NA,NA,26.0771873167643,2.87215456595089,97.0072164862844,20.3767609113315,31.7776137221972
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,23.7311667442767,1.62238356168365,97.0284051312504,20.5111963773931,26.9511371111603
"emm_employment_x_weekend","Working","Weekend",NA,NA,23.4055079347833,2.21742651682153,97.1274686312026,19.0046030539964,27.8064128155702
"emm_employment_x_weekend","Student","Weekend",NA,NA,24.4729072908552,2.90666194112402,97.0977922603947,18.7040613175721,30.2417532641383
"emm_employment_x_weekend","Retired","Weekend",NA,NA,22.6077924312243,3.34134330278936,97.0247060171493,15.976172231529,29.2394126309196
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,23.9448225234584,1.63886136695091,97.0015014276917,20.6921370056266,27.1975080412903
"emm_employment_main","Working",NA,NA,NA,24.0347958919356,1.77426074836166,97.4556039617029,20.513587338726,27.5560044451451
"emm_employment_main","Student",NA,NA,NA,24.1572569663428,2.19741431655577,97.7330744454842,19.7964109116138,28.5181030210719
"emm_employment_main","Retired",NA,NA,NA,24.3027639783584,2.24357701447058,97.0333423656917,19.8499039813469,28.7556239753698
"emm_employment_main","Not Working",NA,NA,NA,23.8404410740872,1.13791756307547,97.0000369094063,21.5819897137316,26.0988924344428
"emm_weekend_main",NA,"Weekday",NA,NA,24.2245304355825,1.48096094917398,97.0012956886659,21.2852333980042,27.1638274731609
"emm_weekend_main",NA,"Weekend",NA,NA,23.7368361251627,1.41662052300162,97.3024782336732,20.9253469027021,26.5483253476232
"emm_sex_main",NA,NA,"Female",NA,24.1603180679395,1.35750143956294,-22.5934178081234,NA,NA
"emm_sex_main",NA,NA,"I prefer not to answer",NA,27.2325622537799,1.86981538370821,97.0077249039703,23.5215000402398,30.94362446732
"emm_sex_main",NA,NA,"Intersex",NA,20.9586739073445,2.01065013026707,97.0003929836639,16.9680901790163,24.9492576356727
"emm_sex_main",NA,NA,"Male",NA,24.1161941989468,1.4797498404215,188.607011939215,21.1972077540285,27.0351806438652
"emm_sex_main",NA,NA,"No matching concept",NA,21.8117985253691,1.90807541728187,97.061106980168,18.0248271134614,25.5987699372769
"emm_sex_main",NA,NA,"PMI: Skip",NA,28.7284697980183,2.5004835801562,97.026269479446,23.7657190289731,33.6912205670636
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,23.5502753181814,2.39332227966058,97.0123823559496,18.8002007548323,28.3003498815305
"emm_month_main",NA,NA,NA,"01",21.635270156443,NA,97.0656417607871,NA,NA
"emm_month_main",NA,NA,NA,"02",20.8073050311504,2.13624536615877,97.3973726992451,16.5676677683555,25.0469422939453
"emm_month_main",NA,NA,NA,"03",25.5071283857118,2.25121290909749,97.0173507878535,21.0391040197449,29.9751527516787
"emm_month_main",NA,NA,NA,"04",22.2135982854647,2.55893862351428,97.0681086297461,17.1348584713156,27.2923380996138
"emm_month_main",NA,NA,NA,"05",22.2084305625817,3.18288103103952,97.6377309517428,15.8918138208715,28.5250473042918
"emm_month_main",NA,NA,NA,"06",24.4982262738679,3.33415715514144,97.0018286738667,17.8808488377034,31.1156037100323
"emm_month_main",NA,NA,NA,"07",23.4122023460088,2.63318443614523,97.189564715401,18.1861888707032,28.6382158213145
"emm_month_main",NA,NA,NA,"08",24.6595152613254,1.5500244595009,-1121.69905755862,NA,NA
"emm_month_main",NA,NA,NA,"09",24.1961682907242,2.39247552621712,97.0066342923345,19.4477707430154,28.944565838433
"emm_month_main",NA,NA,NA,"10",23.935737365949,0.611890025205056,104.538797508822,22.7224100841812,25.1490646477169
"emm_month_main",NA,NA,NA,"11",27.2250810943965,2.05885186202393,97.0570791313644,23.1388604157496,31.3113017730433
"emm_month_main",NA,NA,NA,"12",26.0984617686944,2.64145351062695,97.063984083835,20.8559513847314,31.3409721526574
"emm_month_x_weekend",NA,"Weekday",NA,"01",21.848392836119,NA,97.0487672549252,NA,NA
"emm_month_x_weekend",NA,"Weekday",NA,"02",21.0204277108264,2.37518310230212,97.1380754192297,16.3064313582572,25.7344240633957
"emm_month_x_weekend",NA,"Weekday",NA,"03",25.7202510653878,2.48675779516728,97.0587952095785,20.7847629687241,30.6557391620515
"emm_month_x_weekend",NA,"Weekday",NA,"04",22.4267209651407,2.74295305057376,97.0625139232611,16.9827627272532,27.8706792030283
"emm_month_x_weekend",NA,"Weekday",NA,"05",22.4215532422577,3.32675036566289,97.4723818759361,15.819278740659,29.0238277438564
"emm_month_x_weekend",NA,"Weekday",NA,"06",24.7113489535439,3.51442951232878,97.005760046724,17.7361844453691,31.6865134617187
"emm_month_x_weekend",NA,"Weekday",NA,"07",23.6253250256849,2.82622295898439,97.1050343548528,18.0161314124314,29.2345186389383
"emm_month_x_weekend",NA,"Weekday",NA,"08",24.8726379410015,2.06264887113067,162.478241225295,20.799582874366,28.9456930076369
"emm_month_x_weekend",NA,"Weekday",NA,"09",24.4092909704002,2.67282132923009,97.0436470509314,19.1045106376643,29.7140713031362
"emm_month_x_weekend",NA,"Weekday",NA,"10",24.1488600456251,1.05445072203568,105.078680518241,22.0580972962066,26.2396227950435
"emm_month_x_weekend",NA,"Weekday",NA,"11",27.4382037740725,2.26495853128498,97.0682568606058,22.9429279816613,31.9334795664837
"emm_month_x_weekend",NA,"Weekday",NA,"12",26.3115844483704,2.92766395732241,97.0672027759049,20.5010327153178,32.1221361814231
"emm_month_x_weekend",NA,"Weekend",NA,"01",21.3606985256991,NA,97.0597950864327,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"02",20.5327334004066,2.36018723103078,97.4331884809596,15.8486780807235,25.2167887200896
"emm_month_x_weekend",NA,"Weekend",NA,"03",25.2325567549679,2.46166606974947,97.0000196237987,20.3468310425949,30.118282467341
"emm_month_x_weekend",NA,"Weekend",NA,"04",21.9390266547208,2.76590572364328,97.0568085518252,16.4495100123194,27.4285432971223
"emm_month_x_weekend",NA,"Weekend",NA,"05",21.9338589318378,3.34653109454824,97.6390405843284,15.2924700218286,28.5752478418471
"emm_month_x_weekend",NA,"Weekend",NA,"06",24.223654643124,3.46293469703344,97.0000059542474,17.3506878635974,31.0966214226506
"emm_month_x_weekend",NA,"Weekend",NA,"07",23.137630715265,2.84508380279554,97.1912821407452,17.4910672705624,28.7841941599676
"emm_month_x_weekend",NA,"Weekend",NA,"08",24.3849436305816,1.65394745144137,1349.11154682506,21.1403553336624,27.6295319275007
"emm_month_x_weekend",NA,"Weekend",NA,"09",23.9215966599804,2.53286639981429,97.0014326183242,18.8945589268187,28.948634393142
"emm_month_x_weekend",NA,"Weekend",NA,"10",23.6611657352052,1.32593267598773,99.7248633938913,21.0304641920904,26.29186727832
"emm_month_x_weekend",NA,"Weekend",NA,"11",26.9505094636526,2.31586767846657,97.0316152827038,22.35417209947,31.5468468278353
"emm_month_x_weekend",NA,"Weekend",NA,"12",25.8238901379506,2.74562265622995,97.0444650886807,20.3746207240949,31.2731595518063
