"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,24.8607572802329,2.87161618866817,93.2820383499376,19.1585238556512,30.5629907048146
"emm_employment_x_weekend","Student","Weekday",NA,NA,23.7454925736362,3.32191276162077,89.1706390377421,17.1450967115344,30.3458884357381
"emm_employment_x_weekend","Retired","Weekday",NA,NA,26.0766719127056,2.93371874223654,94.7783664794376,20.2523281665232,31.901015658888
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,23.775547071213,1.65263087507236,94.7513381357912,20.4945489094844,27.0565452329417
"emm_employment_x_weekend","Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Student","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Retired","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_main","Working",NA,NA,NA,24.2526144784007,1.91457199248507,83.2946011539167,20.4448069615916,28.0604219952097
"emm_employment_main","Student",NA,NA,NA,24.1131914962344,2.43736836481267,87.9185282163662,19.2693714873874,28.9570115050813
"emm_employment_main","Retired",NA,NA,NA,24.323313997909,2.29392616194771,94.3597267590548,19.7688961866982,28.8777318091199
"emm_employment_main","Not Working",NA,NA,NA,23.7957655135277,1.16637148115675,94.9967774772029,21.4802243469779,26.1113066800775
"emm_weekend_main",NA,"Weekday",NA,NA,24.2794478152341,1.54008696590174,94.5718363596746,21.221810072291,27.3370855581771
"emm_weekend_main",NA,"Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_sex_main",NA,NA,"Female",NA,24.2445185899811,3.38772036212847,0.691511225253195,-105.476317087828,153.96535426779
"emm_sex_main",NA,NA,"I prefer not to answer",NA,27.3263948678741,1.94840625876367,94.6288874513791,23.4581237189462,31.1946660168019
"emm_sex_main",NA,NA,"Intersex",NA,21.0155908281278,2.05972516724366,94.8671342116366,16.9264455055899,25.1047361506657
"emm_sex_main",NA,NA,"Male",NA,24.2248475113664,2.2556568987879,8.81605607233426,19.1059218451981,29.3437731775347
"emm_sex_main",NA,NA,"No matching concept",NA,21.4322994116055,1.9544807507768,93.4603431841507,17.5513399158867,25.3132589073243
"emm_sex_main",NA,NA,"PMI: Skip",NA,28.8153839502752,2.52763008585145,94.505528870998,23.7970651258957,33.8337027746548
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,23.5509500674006,2.44101913517057,94.2125899209174,18.7043919271503,28.3975082076509
"emm_month_main",NA,NA,NA,"01",20.9231610950418,2.88138517727052,94.3646134657586,15.2023914536457,26.6439307364378
"emm_month_main",NA,NA,NA,"02",20.7989564279877,2.28469449541577,88.6526098559252,16.2590720074242,25.3388408485512
"emm_month_main",NA,NA,NA,"03",25.6122680516212,2.31046922277381,94.4271883167059,21.0250477980496,30.1994883051928
"emm_month_main",NA,NA,NA,"04",22.3051395066194,2.61634762088667,93.5664888119766,17.1100061747425,27.5002728384962
"emm_month_main",NA,NA,NA,"05",22.2204038416107,3.47197784591548,85.9731413357707,15.318309557002,29.1224981262194
"emm_month_main",NA,NA,NA,"06",24.5138789651468,3.41262042454303,94.8755628865663,17.7388562310924,31.2889016992012
"emm_month_main",NA,NA,NA,"07",23.3706859693317,2.79817894579943,91.9124888829448,17.8131905510366,28.9281813876267
"emm_month_main",NA,NA,NA,"08",24.6102968393597,2.63029899326409,3.49860194331475,16.8755458130341,32.3450478656853
"emm_month_main",NA,NA,NA,"09",24.4062825362136,2.52468750314099,94.8744852236121,19.3940586110335,29.4185064613938
"emm_month_main",NA,NA,NA,"10",23.8969041698098,2.41013587827675,35.1281481359606,19.0047061909994,28.7891021486202
"emm_month_main",NA,NA,NA,"11",27.2800963980019,2.07028771132385,93.7433865227731,23.1693449142593,31.3908478817444
"emm_month_main",NA,NA,NA,"12",26.3072680352061,2.73176342156118,94.3115612058078,20.8835213135175,31.7310147568948
"emm_month_x_weekend",NA,"Weekday",NA,"01",21.1691231637342,3.09402150883825,94.0999523571964,15.025955997239,27.3122903302294
"emm_month_x_weekend",NA,"Weekday",NA,"02",21.0449184966802,2.50139710572836,91.6151909637311,16.0766498874983,26.013187105862
"emm_month_x_weekend",NA,"Weekday",NA,"03",25.8582301203136,2.53140060157564,93.740920042583,20.8318937800389,30.8845664605884
"emm_month_x_weekend",NA,"Weekday",NA,"04",22.5511015753118,2.78835272413965,93.6162537355771,17.0144659990126,28.087737151611
