"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,24.6706057035607,2.86010941489508,96.0922530936994,18.9934029437002,30.3478084634211
"emm_employment_x_weekend","Student","Weekday",NA,NA,23.812316216253,2.97982171551595,98.1942616292588,17.8991032132852,29.7255292192207
"emm_employment_x_weekend","Retired","Weekday",NA,NA,26.0924032009723,2.84148330408204,96.0145009698265,20.4521142922101,31.7326921097346
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,23.7476157274428,1.56403517580626,96.1312407679247,20.6430845311827,26.8521469237029
"emm_employment_x_weekend","Working","Weekend",NA,NA,23.3787301992098,2.22979213539591,96.3665136058789,18.9528426173359,27.8046177810836
"emm_employment_x_weekend","Student","Weekend",NA,NA,24.3632124761719,3.16217611402849,96.2410057186907,18.08654309286,30.6398818594838
"emm_employment_x_weekend","Retired","Weekend",NA,NA,22.568040464548,3.43158375065798,96.1389345427624,15.7565261803438,29.3795547487523
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,23.94045004147,1.64849188387122,96.0046040599853,20.6682215169964,27.2126785659437
"emm_employment_main","Working",NA,NA,NA,24.0098754837781,1.84910719862256,97.6044155756327,20.3401965387924,27.6795544287639
"emm_employment_main","Student",NA,NA,NA,24.0940723186543,2.21002599416861,100.002776388459,19.7094451816963,28.4786994556122
"emm_employment_main","Retired",NA,NA,NA,24.2898665342515,2.24995066971626,96.14013743762,19.8238328321669,28.7559002363361
"emm_employment_main","Not Working",NA,NA,NA,23.8462409109529,1.13807620771664,96.0020414773083,21.5871781063912,26.1053037155146
"emm_weekend_main",NA,"Weekday",NA,NA,24.2283312177582,1.46772559409279,96.0127707066533,21.3149238853251,27.1417385501913
"emm_weekend_main",NA,"Weekend",NA,NA,23.7105888191483,1.46761086352003,96.9870589814229,20.7977826019735,26.6233950363231
"emm_sex_main",NA,NA,"Female",NA,24.1312089004118,0.70425696481296,-4.10489225702375,NA,NA
"emm_sex_main",NA,NA,"I prefer not to answer",NA,27.2398352139637,1.89643867829112,96.0562200587438,23.4754623073856,31.0042081205419
"emm_sex_main",NA,NA,"Intersex",NA,20.9410862429219,1.99689420287116,96.001112241045,16.9772831645291,24.9048893213148
"emm_sex_main",NA,NA,"Male",NA,24.0826937472189,1.34178058202069,-85.5832216673643,NA,NA
"emm_sex_main",NA,NA,"No matching concept",NA,21.8178185349499,1.92084430339642,96.2368849569129,18.005092498784,25.6305445711158
"emm_sex_main",NA,NA,"PMI: Skip",NA,28.7257227235251,2.4860940080481,96.1040106938999,23.790933279844,33.6605121672062
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,23.5542700364773,2.43436586954034,96.0401838205929,18.7221177792414,28.3864222937131
"emm_month_main",NA,NA,NA,"01",21.6405976354744,2.27646026753545,96.3239022779201,17.1220536278766,26.1591416430721
"emm_month_main",NA,NA,NA,"02",20.79061542995,2.11697538127534,97.8504719424513,16.5894664448912,24.9917644150088
"emm_month_main",NA,NA,NA,"03",25.4945030865229,2.29175968522947,96.0770603447789,20.9454426298217,30.043563543224
"emm_month_main",NA,NA,NA,"04",22.2549496239265,2.54348249200341,96.241484687932,17.206338446855,27.303560800998
"emm_month_main",NA,NA,NA,"05",22.1993330327,3.15627474308779,99.1818177807401,15.9367412053716,28.4619248600283
"emm_month_main",NA,NA,NA,"06",24.5357322243388,3.33655034338492,96.001745294606,17.9127336747258,31.1587307739518
"emm_month_main",NA,NA,NA,"07",23.3798457756586,2.60806597940366,96.9883052287286,18.2035488733188,28.5561426779983
"emm_month_main",NA,NA,NA,"08",24.5323624555808,2.41532037430645,-80.0970250494182,NA,NA
"emm_month_main",NA,NA,NA,"09",24.1569710599966,2.47254325546445,96.0840231226822,19.2490662609602,29.064875859033
"emm_month_main",NA,NA,NA,"10",24.0469343085951,1.96032378175893,107.532350660823,20.1610410402741,27.9328275769162
"emm_month_main",NA,NA,NA,"11",27.2241989915981,2.05885609482829,96.2299306492576,23.1375265604519,31.3108714227443
"emm_month_main",NA,NA,NA,"12",26.021351206821,2.64426108544094,96.2219644598735,20.7726889542,31.270013459442
"emm_month_x_weekend",NA,"Weekday",NA,"01",21.8689646800843,1.42445307437436,96.202003500582,19.0415234433827,24.696405916786
"emm_month_x_weekend",NA,"Weekday",NA,"02",21.01898247456,2.36141096791214,96.7014584227174,16.3320526385786,25.7059123105413
"emm_month_x_weekend",NA,"Weekday",NA,"03",25.7228701311329,2.45992236315431,96.2349036853641,20.8401149372365,30.6056253250293
"emm_month_x_weekend",NA,"Weekday",NA,"04",22.4833166685365,2.67759266824181,96.2877268171001,17.1685399111065,27.7980934259665
"emm_month_x_weekend",NA,"Weekday",NA,"05",22.42770007731,3.30476981697256,98.3047346063918,15.8697460127021,28.9856541419178
"emm_month_x_weekend",NA,"Weekday",NA,"06",24.7640992689488,3.50401779629913,96.0232944211835,17.8087004496186,31.719498088279
"emm_month_x_weekend",NA,"Weekday",NA,"07",23.6082128202686,2.73337762216977,96.5871669350278,18.182922029338,29.0335036111991
"emm_month_x_weekend",NA,"Weekday",NA,"08",24.7607295001908,2.9997096682194,1270.94102893118,18.8758022418517,30.6456567585299
"emm_month_x_weekend",NA,"Weekday",NA,"09",24.3853381046066,2.80467807024833,96.2049036651745,18.8182474578298,29.9524287513833
"emm_month_x_weekend",NA,"Weekday",NA,"10",24.2753013532051,2.66256559351358,107.758449050143,18.9975004090558,29.5531022973544
"emm_month_x_weekend",NA,"Weekday",NA,"11",27.4525660362081,2.25300167853764,96.2831646461752,22.9805608964849,31.9245711759312
"emm_month_x_weekend",NA,"Weekday",NA,"12",26.249718251431,2.97916153764313,96.1807134064343,20.3362711333965,32.1631653694655
"emm_month_x_weekend",NA,"Weekend",NA,"01",21.3512222814744,3.21785095102025,96.3230671230662,14.9641120196244,27.7383325433244
"emm_month_x_weekend",NA,"Weekend",NA,"02",20.50124007595,2.3588575244392,97.8141773489222,15.8200529387331,25.182427213167
"emm_month_x_weekend",NA,"Weekend",NA,"03",25.2051277325229,2.57807216766777,96.0054397671415,20.0876986261917,30.3225568388542
"emm_month_x_weekend",NA,"Weekend",NA,"04",21.9655742699266,2.81864343323121,96.1839761430038,16.3707478483298,27.5604006915233
"emm_month_x_weekend",NA,"Weekend",NA,"05",21.9099576787,3.33069284822762,99.15198342362,15.3012657848011,28.518649572599
"emm_month_x_weekend",NA,"Weekend",NA,"06",24.2463568703389,3.49204625385065,96.0031323735361,17.3147027276558,31.178011013022
"emm_month_x_weekend",NA,"Weekend",NA,"07",23.0904704216586,2.90140971159214,96.9041787709859,17.3319033834222,28.8490374598951
"emm_month_x_weekend",NA,"Weekend",NA,"08",24.2429871015809,2.24126818948871,-121.983171540253,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"09",23.8675957059966,2.56571254908083,96.0193174079302,18.7747096241632,28.96048178783
"emm_month_x_weekend",NA,"Weekend",NA,"10",23.7575589545952,1.71249522332368,100.244224675861,20.3601185650291,27.1549993441613
"emm_month_x_weekend",NA,"Weekend",NA,"11",26.9348236375981,2.34982881222285,96.1559524110902,22.270546853418,31.5991004217782
"emm_month_x_weekend",NA,"Weekend",NA,"12",25.7319758528211,2.71503439209174,96.2299925655613,20.3428395568178,31.1211121488244
