"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,24.8365538458257,2.89930123971666,92.2673424574483,19.0785136183909,30.5945940732604
"emm_employment_x_weekend","Student","Weekday",NA,NA,23.7357181968588,3.36003861743325,86.7219030815064,17.056975635143,30.4144607585747
"emm_employment_x_weekend","Retired","Weekday",NA,NA,26.089304413151,2.95387123159977,93.8860868427343,20.2242310657185,31.9543777605836
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,23.7878987304482,1.66043848887234,93.7346887886618,20.490937528196,27.0848599327004
"emm_employment_x_weekend","Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Student","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Retired","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_main","Working",NA,NA,NA,24.2300921335248,1.93289624885364,83.7219447187067,20.3861294445049,28.0740548225447
"emm_employment_main","Student",NA,NA,NA,24.0620115551156,2.49933186587873,84.4297692316127,19.0921856562158,29.0318374540153
"emm_employment_main","Retired",NA,NA,NA,24.3116909209397,2.30885918289069,93.3753266163786,19.7269970319326,28.8963848099467
"emm_employment_main","Not Working",NA,NA,NA,23.8008412725914,1.17509153470152,93.9683596347494,21.4676592421366,26.1340233030462
"emm_weekend_main",NA,"Weekday",NA,NA,24.2809540769794,1.55091308762741,93.410361584332,21.2013263523352,27.3605818016236
"emm_weekend_main",NA,"Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_sex_main",NA,NA,"Female",NA,24.2164289008915,3.5861642902814,0.623729513736192,-181.913417813039,230.346275614822
"emm_sex_main",NA,NA,"I prefer not to answer",NA,27.3325540202734,1.9658140739187,93.4421389224086,23.4290802795898,31.2360277609569
"emm_sex_main",NA,NA,"Intersex",NA,21.0027869479301,2.07222724428117,93.8803354028716,16.8882628044165,25.1173110914437
"emm_sex_main",NA,NA,"Male",NA,24.1928518768949,2.31608290965619,8.63880449341679,18.9199247055654,29.4657790482245
"emm_sex_main",NA,NA,"No matching concept",NA,21.4385032426894,1.96739057889883,92.5774137189756,17.5314204226258,25.345586062753
"emm_sex_main",NA,NA,"PMI: Skip",NA,28.8151705262057,2.54083237162649,93.5760769066368,23.7699903200528,33.8603507323586
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,23.5595842560124,2.45554026023279,93.317719973126,18.6835867392575,28.4355817727672
"emm_month_main",NA,NA,NA,"01",20.9290279766689,3.05922064188427,93.2235517688032,14.8542140587907,27.0038418945471
"emm_month_main",NA,NA,NA,"02",20.7864255865681,2.31156599003068,86.9750774706619,16.1919193181954,25.3809318549408
"emm_month_main",NA,NA,NA,"03",25.6037352991232,2.32202785626881,93.4236244463551,20.9929237061738,30.2145468920727
"emm_month_main",NA,NA,NA,"04",22.3472723121149,2.64127519002529,92.9021410782984,17.1021504347824,27.5923941894474
"emm_month_main",NA,NA,NA,"05",22.2166040922499,3.51918264440921,83.6555505371493,15.2179024385238,29.2153057459761
"emm_month_main",NA,NA,NA,"06",24.5500269968907,3.43904606624067,93.9339672046947,17.7216578356821,31.3783961580992
"emm_month_main",NA,NA,NA,"07",23.3440280661265,2.83913537658006,90.0611719217531,17.703642290078,28.984413842175
