"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,27.3400204876752,2.8115049327202,173.961158323323,21.7909685926192,32.8890723827313
"emm_employment_x_weekend","Student","Weekday",NA,NA,20.6957934723724,3.31423448226213,174.448804476834,14.1546350941022,27.2369518506425
"emm_employment_x_weekend","Retired","Weekday",NA,NA,25.1556455696082,2.95259059713166,174.868333997256,19.3283454224811,30.9829457167353
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,24.7794491315595,1.64662366594182,174.443714964643,21.5295799865342,28.0293182765849
"emm_employment_x_weekend","Working","Weekend",NA,NA,20.9971149362265,2.32642207720752,174.696782801428,16.4056038447836,25.5886260276693
"emm_employment_x_weekend","Student","Weekend",NA,NA,22.7455921217438,3.14193112067397,174.807373625638,16.5445901308005,28.9465941126872
"emm_employment_x_weekend","Retired","Weekend",NA,NA,20.8347616120088,3.52319974540651,174.763728427522,13.8812652341386,27.7882579898791
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,23.5613113456705,1.66644753822945,174.712280396512,20.272352005005,26.850270686336
"emm_employment_main","Working",NA,NA,NA,24.0959390224304,1.8752150139806,174.159645492486,20.3948669600554,27.7970110848055
"emm_employment_main","Student",NA,NA,NA,21.7441637739593,2.45411005092753,174.540861548727,16.9006128817706,26.587714666148
"emm_employment_main","Retired",NA,NA,NA,22.9457278203016,2.32173896334808,174.673769211869,18.3634552815673,27.528000359036
"emm_employment_main","Not Working",NA,NA,NA,24.1564320960285,1.16792183330545,174.536571897641,21.8513643969788,26.4614997950782
"emm_weekend_main",NA,"Weekday",NA,NA,24.890601996835,1.52314017524943,173.783464559434,21.8843670398312,27.8968369538388
"emm_weekend_main",NA,"Weekend",NA,NA,22.5818346322229,1.49407151746124,174.836346519792,19.633097248453,25.5305720159929
"emm_sex_main",NA,NA,"Female",NA,24.5047960479537,2.99882549492253,173.892594570691,18.5860142382237,30.4235778576837
"emm_sex_main",NA,NA,"I prefer not to answer",NA,23.0458989246367,1.96623373645748,174.854214305072,19.1652929917124,26.9265048575609
"emm_sex_main",NA,NA,"Intersex",NA,22.2282058841812,2.0619108073274,174.571647816481,18.1587234942897,26.2976882740726
"emm_sex_main",NA,NA,"Male",NA,24.9215609084692,2.13940930171392,173.941846006117,20.6990171973181,29.1441046196203
"emm_sex_main",NA,NA,"No matching concept",NA,24.2518014322659,1.93890794056624,174.61529691012,20.4250898573331,28.0785130071987
"emm_sex_main",NA,NA,"PMI: Skip",NA,22.1978315237185,2.5357999319583,174.813431264862,17.1931079875544,27.2025550598827
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,23.7951319429479,2.43461804327807,174.612396699908,18.9900651671398,28.6001987187561
"emm_month_main",NA,NA,NA,"01",24.286895873415,3.78520834572423,176.763722132133,16.8168804720381,31.7569112747919
"emm_month_main",NA,NA,NA,"02",26.1349857866787,2.27253543161453,174.880818407645,21.6498602563892,30.6201113169682
"emm_month_main",NA,NA,NA,"03",22.7533927463505,2.32181814841773,173.554367077765,18.1707577401667,27.3360277525343
"emm_month_main",NA,NA,NA,"04",25.4982571669504,2.60628436479081,174.853083104891,20.3544317725812,30.6420825613197
"emm_month_main",NA,NA,NA,"05",23.0334109736005,3.44890178817673,174.711777693146,16.2265372385049,29.8402847086962
"emm_month_main",NA,NA,NA,"06",24.5237547686731,3.41939686707259,174.687186923999,17.7751063568481,31.2724031804982
"emm_month_main",NA,NA,NA,"07",19.3089240983794,2.79629580565704,174.601045247012,13.790032047114,24.8278161496447
"emm_month_main",NA,NA,NA,"08",23.2001336597968,2.65183697226384,174.369687132946,17.9663034356925,28.4339638839011
"emm_month_main",NA,NA,NA,"09",25.6835206354252,2.42533082236512,174.617256207678,20.8967844474305,30.4702568234199
"emm_month_main",NA,NA,NA,"10",20.8932328466765,2.56762931140339,174.537939349258,15.8256342314711,25.9608314618818
"emm_month_main",NA,NA,NA,"11",24.9844336862365,2.08638995072984,175.073554674913,20.8667205243806,29.1021468480925
"emm_month_main",NA,NA,NA,"12",23.0404577162452,2.6661380630439,174.81074324787,17.7784947448285,28.3024206876619
"emm_month_x_weekend",NA,"Weekday",NA,"01",25.4534345376626,3.93863730520468,175.922550187879,17.6803746845864,33.2264943907389
"emm_month_x_weekend",NA,"Weekday",NA,"02",27.3015244509263,2.48084912668556,174.702661868896,22.4052316761286,32.197817225724
"emm_month_x_weekend",NA,"Weekday",NA,"03",23.9199314105981,2.54596877035783,173.08721106433,18.8947890613443,28.945073759852
"emm_month_x_weekend",NA,"Weekday",NA,"04",26.664795831198,2.80158416154339,174.750849067723,21.1354995273724,32.1940921350237
"emm_month_x_weekend",NA,"Weekday",NA,"05",24.1999496378481,3.5963021835257,174.622635635397,17.1021360342049,31.2977632414914
"emm_month_x_weekend",NA,"Weekday",NA,"06",25.6902934329207,3.5932006612623,174.604998721221,18.5985961259225,32.781990739919
"emm_month_x_weekend",NA,"Weekday",NA,"07",20.475462762627,2.96577839953341,174.317196339719,14.6220059133752,26.3289196118788
"emm_month_x_weekend",NA,"Weekday",NA,"08",24.3666723240444,2.86099861729262,174.265770717326,18.7200041510114,30.0133404970774
"emm_month_x_weekend",NA,"Weekday",NA,"09",26.8500592996728,2.69058597820327,174.501183008403,21.5397795927457,32.1603390066
"emm_month_x_weekend",NA,"Weekday",NA,"10",22.0597715109241,2.77481957986576,174.368772004608,16.5832149699074,27.5363280519409
"emm_month_x_weekend",NA,"Weekday",NA,"11",26.1509723504842,2.31236423718804,174.993428156043,21.5872602820661,30.7146844189022
"emm_month_x_weekend",NA,"Weekday",NA,"12",24.2069963804928,2.95811322335145,174.718172653438,18.3687616895094,30.0452310714763
"emm_month_x_weekend",NA,"Weekend",NA,"01",23.1446671730506,3.92602619683914,177.083678040514,15.3968477023813,30.8924866437198
"emm_month_x_weekend",NA,"Weekend",NA,"02",24.9927570863142,2.52422780659793,174.822868609073,20.0108744851924,29.974639687436
"emm_month_x_weekend",NA,"Weekend",NA,"03",21.6111640459861,2.54803889839851,174.248743425799,16.5821717580993,26.6401563338728
"emm_month_x_weekend",NA,"Weekend",NA,"04",24.3560284665859,2.8083461949012,174.800169467384,18.8133973013046,29.8986596318673
"emm_month_x_weekend",NA,"Weekend",NA,"05",21.891182273236,3.60943351979773,174.714475650111,14.7674782400518,29.0148863064203
"emm_month_x_weekend",NA,"Weekend",NA,"06",23.3815260683087,3.56256737157972,174.713849094124,16.3503185259218,30.4127336106955
"emm_month_x_weekend",NA,"Weekend",NA,"07",18.1666953980149,3.03073808197113,174.813765441499,12.1851485821452,24.1482422138846
"emm_month_x_weekend",NA,"Weekend",NA,"08",22.0579049594323,2.83476510219568,174.492917739212,16.4630640225556,27.652745896309
"emm_month_x_weekend",NA,"Weekend",NA,"09",24.5412919350607,2.58879170536602,174.655556965055,19.4319502062646,29.6506336638569
"emm_month_x_weekend",NA,"Weekend",NA,"10",19.751004146312,2.77433515409271,174.626704105558,14.2754602149053,25.2265480777188
"emm_month_x_weekend",NA,"Weekend",NA,"11",23.8422049858721,2.33350896725833,174.835484121841,19.2367324343631,28.447677537381
"emm_month_x_weekend",NA,"Weekend",NA,"12",21.8982290158807,2.77319691842936,174.760821849198,16.4249608627922,27.3714971689693
