"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,27.4648149088642,2.89662685270633,174.822828264633,21.7479557153591,33.1816741023693
"emm_employment_x_weekend","Student","Weekday",NA,NA,20.6888214039178,3.38868103899634,174.7610336177,14.0008146014588,27.3768282063769
"emm_employment_x_weekend","Retired","Weekday",NA,NA,25.1399163192698,2.98907317281933,174.840940383255,19.2406068882619,31.0392257502776
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,24.7968528869169,1.68514041753727,173.816149677724,21.4708810338432,28.1228247399905
"emm_employment_x_weekend","Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Student","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Retired","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_main","Working",NA,NA,NA,24.228562195736,1.93464893953735,174.945266393232,20.4103066216689,28.0468177698032
"emm_employment_main","Student",NA,NA,NA,21.7495998893511,2.49576170296048,174.946537943313,16.8239230098291,26.675276768873
"emm_employment_main","Retired",NA,NA,NA,22.954098329862,2.3498651236786,174.989373061683,18.3163732768612,27.5918233828629
"emm_employment_main","Not Working",NA,NA,NA,24.1333631230505,1.19090679844133,174.467265934759,21.782924653325,26.4838015927759
"emm_weekend_main",NA,"Weekday",NA,NA,24.9259940130229,1.56056655637665,173.94141815788,21.8459098950715,28.0060781309743
"emm_weekend_main",NA,"Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_sex_main",NA,NA,"Female",NA,24.5441654500322,3.47046194901398,174.152264473182,17.6945863478938,31.3937445521707
"emm_sex_main",NA,NA,"I prefer not to answer",NA,23.0897911989348,1.97887754261732,175.010440956363,19.184255442448,26.9953269554216
"emm_sex_main",NA,NA,"Intersex",NA,22.2865853889384,2.09403915971488,174.915038816948,18.1537496304095,26.4194211474674
"emm_sex_main",NA,NA,"Male",NA,24.9733223103658,2.2992515191038,174.270938367741,20.4353586761511,29.5112859445804
"emm_sex_main",NA,NA,"No matching concept",NA,24.0981275138417,1.99697439649073,174.623087320879,20.1568147268796,28.0394403008038
"emm_sex_main",NA,NA,"PMI: Skip",NA,22.2558726276063,2.57612756375364,175.072590516621,17.1716098421395,27.3401354130731
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,23.8219711683192,2.46099667234228,174.974484363574,18.9649125354404,28.679029801198
"emm_month_main",NA,NA,NA,"01",24.039544194782,3.59483909714965,175.709944101129,16.94492454109,31.1341638484741
"emm_month_main",NA,NA,NA,"02",26.1344638145444,2.32292519457467,174.8950209409,21.549890542167,30.7190370869218
"emm_month_main",NA,NA,NA,"03",22.8259537000485,2.34327711046099,173.569716207166,18.2009674341781,27.4509399659189
"emm_month_main",NA,NA,NA,"04",25.564083043698,2.65121713180853,175.11559998049,20.3316319229294,30.7965341644667
"emm_month_main",NA,NA,NA,"05",23.0680000970146,3.52483337634717,175.073792381458,16.1113654348781,30.0246347591511
"emm_month_main",NA,NA,NA,"06",24.5509530503289,3.46361532488397,174.956927238468,17.7151069641062,31.3867991365515
"emm_month_main",NA,NA,NA,"07",19.316302892019,2.85440151599273,174.880796958667,13.6827937524405,24.9498120315975
"emm_month_main",NA,NA,NA,"08",23.196458561074,2.74254487870516,174.603298184625,17.7836521842352,28.6092649379129
"emm_month_main",NA,NA,NA,"09",25.7649402532594,2.55314170505844,174.8442932357,20.7259967227162,30.8038837838026
"emm_month_main",NA,NA,NA,"10",20.8796642982833,2.60405255162718,174.810298721333,15.7402348984746,26.019093698092
