"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,27.4487458655586,2.89662685270633,93.2400474780067,21.6968141639565,33.2006775671608
"emm_employment_x_weekend","Student","Weekday",NA,NA,20.7016462374199,3.38868103899634,89.0345122467229,13.9684451561005,27.4348473187393
"emm_employment_x_weekend","Retired","Weekday",NA,NA,25.1439725626907,2.98907317281933,94.7728992091233,19.2097286371623,31.0782164882191
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,24.8135304144339,1.68514041753727,94.7452059012603,21.4679876659378,28.15907316293
"emm_employment_x_weekend","Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Student","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Retired","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_main","Working",NA,NA,NA,24.2110694330184,1.93464893953735,83.0397482854759,20.3631577426812,28.0589811233556
"emm_employment_main","Student",NA,NA,NA,21.7412467409567,2.49576170296048,87.7556841534462,16.7812523423687,26.7012411395446
"emm_employment_main","Retired",NA,NA,NA,22.944277836162,2.3498651236786,94.3438574273484,18.2787872335019,27.6097684388222
"emm_employment_main","Not Working",NA,NA,NA,24.1377030071709,1.19090679844133,94.9966468396568,21.7734530141126,26.5019530002292
"emm_weekend_main",NA,"Weekday",NA,NA,24.9334360565435,1.56056655637665,94.5612363793128,21.8351343116586,28.0317378014284
"emm_weekend_main",NA,"Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_sex_main",NA,NA,"Female",NA,24.5475137924446,3.47046194901398,0.674807407373079,-121.130881982812,170.225909567701
"emm_sex_main",NA,NA,"I prefer not to answer",NA,23.0881901099745,1.97887754261732,94.6195420643318,19.1594177293475,27.0169624906014
"emm_sex_main",NA,NA,"Intersex",NA,22.2748733337047,2.09403915971488,94.8638251170364,18.1176030195134,26.432143647896
