"analysis","employment_status","is_weekend_factor","sex_concept","month","estimate","SE","df","conf.low","conf.high"
"emm_employment_x_weekend","Working","Weekday",NA,NA,24.6324951057704,2.44258837785542,162.415098467581,19.8091700463172,29.4558201652237
"emm_employment_x_weekend","Student","Weekday",NA,NA,23.2338541218508,2.76147794170585,162.979555483134,17.7809666721562,28.6867415715455
"emm_employment_x_weekend","Retired","Weekday",NA,NA,24.5793402563546,2.50271369153826,163.815930852396,19.6376042657569,29.5210762469523
"emm_employment_x_weekend","Not Working","Weekday",NA,NA,23.9192541543637,1.40373169297494,156.608875175894,21.1465647434802,26.6919435652473
"emm_employment_x_weekend","Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Student","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Retired","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_x_weekend","Not Working","Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_employment_main","Working",NA,NA,NA,24.3097114238055,1.64676263941892,163.034815217151,21.0579785644095,27.5614442832015
"emm_employment_main","Student",NA,NA,NA,25.7897250673254,2.02185166770914,163.168779066516,21.7973578695565,29.7820922650942
"emm_employment_main","Retired",NA,NA,NA,24.2855524600015,1.97005281541009,163.951982257285,20.3956065914852,28.1754983285177
"emm_employment_main","Not Working",NA,NA,NA,25.3208406528176,0.992337277878454,160.365524250382,23.3611062529366,27.2805750526985
"emm_weekend_main",NA,"Weekday",NA,NA,24.0701686051364,1.29627794152651,157.876263123796,21.5098848328435,26.6304523774293
"emm_weekend_main",NA,"Weekend",NA,NA,NA,NA,NA,NA,NA
"emm_sex_main",NA,NA,"Female",NA,26.6388462954437,2.22123141783931,158.377812319961,22.2517904953131,31.0259020955743
"emm_sex_main",NA,NA,"I prefer not to answer",NA,24.2075702800282,1.65190429895382,163.830307441345,20.9458030135172,27.4693375465393
"emm_sex_main",NA,NA,"Intersex",NA,25.8225177438106,1.76197749951944,162.755565786547,22.3432345116655,29.3018009759557
"emm_sex_main",NA,NA,"Male",NA,26.7730208504161,1.61927741916387,159.664501130991,23.5750561432372,29.9709855575949
"emm_sex_main",NA,NA,"No matching concept",NA,24.6353876096645,1.68055916370392,161.117137574569,21.3166240458354,27.9541511734936
"emm_sex_main",NA,NA,"PMI: Skip",NA,22.4305208110089,2.17722179987946,163.738191364942,18.131469993816,26.7295716282019
"emm_sex_main",NA,NA,"Sex At Birth: Sex At Birth None Of These",NA,22.3597453389358,2.09378011975817,163.617414489236,18.2254322417703,26.4940584361013
"emm_month_main",NA,NA,NA,"01",25.4822523699979,2.5182699830309,163.707224918287,20.5097751169898,30.4547296230061
"emm_month_main",NA,NA,NA,"02",26.156170615842,1.91811630070836,163.431020122245,22.368685648151,29.943655583533
"emm_month_main",NA,NA,NA,"03",26.1686384919657,1.97727402116284,152.060767471159,22.2621627417146,30.0751142422168
"emm_month_main",NA,NA,NA,"04",25.1104994097739,2.24687888483755,163.963879212929,20.673952099195,29.5470467203529
"emm_month_main",NA,NA,NA,"05",27.1462376630777,2.87147072321999,163.968172310998,21.4764112560321,32.8160640701233
"emm_month_main",NA,NA,NA,"06",20.2916541221114,2.91013410065242,163.85933474029,14.5454570543091,26.0378511899137
"emm_month_main",NA,NA,NA,"07",25.2193331358086,2.34234135717735,163.332913979831,20.5941587271044,29.8445075445128
"emm_month_main",NA,NA,NA,"08",19.3040543961334,2.56286788876154,161.284271425438,14.242949701375,24.3651590908918
"emm_month_main",NA,NA,NA,"09",25.105392659298,2.17237138822535,163.215162082775,20.8158169222489,29.3949683963471
"emm_month_main",NA,NA,NA,"10",26.4335617032478,2.24265272189395,162.477892075192,22.0050579929261,30.8620654135695
"emm_month_main",NA,NA,NA,"11",27.1766472494246,1.78031749937275,163.863661541777,23.6613270506755,30.6919674481737
"emm_month_main",NA,NA,NA,"12",22.9567769196005,2.34072442345072,163.52281145408,18.3348353594453,27.5787184797556
"emm_month_x_weekend",NA,"Weekday",NA,"01",24.4954175174889,2.6930204500043,162.745551197384,19.1776508509238,29.8131841840539
"emm_month_x_weekend",NA,"Weekday",NA,"02",25.1693357633329,2.09200425238669,161.894351329624,21.038201654257,29.3004698724089
"emm_month_x_weekend",NA,"Weekday",NA,"03",25.1818036394567,2.15749919690266,147.844484059996,20.9182839792412,29.4453232996721
"emm_month_x_weekend",NA,"Weekday",NA,"04",24.1236645572649,2.39687608678347,163.474268356025,19.3908367143862,28.8564924001435
"emm_month_x_weekend",NA,"Weekday",NA,"05",26.1594028105687,2.99977084700327,163.708709341525,20.236173214724,32.0826324064133
"emm_month_x_weekend",NA,"Weekday",NA,"06",19.3048192696024,3.0555477614446,163.352575020941,13.2713568230714,25.3382817161333
"emm_month_x_weekend",NA,"Weekday",NA,"07",24.2324982832996,2.4886857262875,162.047878613749,19.318062220435,29.1469343461641
"emm_month_x_weekend",NA,"Weekday",NA,"08",18.3172195436243,2.67877644060261,161.137646987845,13.0271843717356,23.6072547155131
"emm_month_x_weekend",NA,"Weekday",NA,"09",24.118557806789,2.41452434375032,162.174873117751,19.3505971600482,28.8865184535297
"emm_month_x_weekend",NA,"Weekday",NA,"10",25.4467268507387,2.43921969836398,161.418071433039,20.6298305252423,30.2636231762351
"emm_month_x_weekend",NA,"Weekday",NA,"11",26.1898123969156,1.97368213487777,163.486498848149,22.2926177937529,30.0870070000782
"emm_month_x_weekend",NA,"Weekday",NA,"12",21.9699420670914,2.61245837653288,162.60876208465,16.8112246078901,27.1286595262927
"emm_month_x_weekend",NA,"Weekend",NA,"01",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"02",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"03",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"04",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"05",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"06",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"07",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"08",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"09",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"10",NA,NA,NA,NA,NA
"emm_month_x_weekend",NA,"Weekend",NA,"11",NA,NA,NA,NA,NA
