outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,estimate,conf.low,conf.high,sex_concept,month
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Employed For Wages,Weekday,7.677473882350136,7.6328377686704085,7.722109996029864,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Employed For Wages,Weekend,7.7143459547924405,7.668749922104266,7.759941987480615,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekday,8.471473432682936,8.256922958728497,8.686023906637375,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekend,8.323830611047137,8.109031580836659,8.538629641257616,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekday,8.447922227510045,8.193518024749588,8.702326430270501,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekend,8.393384521639007,8.138703100133407,8.648065943144607,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekday,10.22521151333667,9.93251125687771,10.517911769795631,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekend,10.027371894949482,9.73444872722701,10.320295062671955,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekday,4.193775234647688,3.9696560514783954,4.4178944178169814,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekend,4.011560194701944,3.7872701531165007,4.235850236287387,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekday,7.787280007372832,7.645262059422977,7.929297955322687,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekend,7.660870541165037,7.518516250930754,7.80322483139932,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekday,7.427064733233762,7.329329121691895,7.524800344775629,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekend,7.400996514377975,7.302880599425569,7.499112429330381,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekday,8.92526765423763,8.732572702314215,9.117962606161043,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekend,8.69516335607722,8.502215187559205,8.888111524595235,NA,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,sex_main,NA,NA,7.373239847861482,7.326957386591046,7.419522309131919,Male,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,sex_main,NA,NA,7.677473882350136,7.6328377686704085,7.722109996029864,Female,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,sex_main,NA,NA,7.520994323402384,7.358760976941249,7.683227669863519,PMI: Skip,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,sex_main,NA,NA,7.534580882367325,6.982702582240323,8.086459182494327,I prefer not to answer,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,sex_main,NA,NA,7.549591722698716,6.8126903429837355,8.286493102413697,Sex At Birth: Sex At Birth None Of These,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,sex_main,NA,NA,7.731256495655736,6.603048118890717,8.859464872420755,No matching concept,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,sex_main,NA,NA,7.434437122510682,6.884592232062848,7.9842820129585155,Intersex,NA
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_main,NA,NA,7.819677133321286,7.775049058243047,7.864305208399525,NA,01
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_main,NA,NA,7.788175104437142,7.74354179089749,7.8328084179767945,NA,02
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_main,NA,NA,7.787130647538004,7.742497858155305,7.831763436920703,NA,03
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_main,NA,NA,7.736275557304098,7.691639602788993,7.780911511819203,NA,04
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_main,NA,NA,7.668067215999703,7.623432061184693,7.712702370814713,NA,05
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_main,NA,NA,7.6206948023417205,7.576061134678001,7.66532847000544,NA,06
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_main,NA,NA,7.628944580517175,7.584309974615628,7.673579186418722,NA,07
