batch,analysis,age_at_sleep,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,duration_adjusted_estimate,duration_adjusted_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived,midpoint_adjusted_estimate,midpoint_adjusted_minus_derived
base,derived_duration_midpoint_age,18,Weekday,NA,-1.0475367722887488,7.063932637158606,8.111469409447356,3.0081979324349293,8.310598448923443,0.1991290394760874,8.40512221470196,0.29365280525460413,2.9922537096194115,-0.01594422281551821,2.6641249366212874,-0.3440729958136419
base,derived_duration_midpoint_age,18,Weekend,NA,-0.5674911914194711,7.845902226184508,8.413393417603979,3.639205517382518,8.571578169189804,0.158184751585825,8.497095347043693,0.0837019294397141,3.63881608504489,-3.894323376290032e-4,3.222080610016064,-0.41712490736645513
base,derived_duration_midpoint_age,19,Weekday,NA,-1.0088240386804506,7.056447389114895,8.065271427795345,3.023811675217222,8.252329588066114,0.1870581602707695,8.3438056636936,0.2785342358982543,3.00844643731766,-0.01536523789956234,2.6990800365571386,-0.3247316386600829
base,derived_duration_midpoint_age,19,Weekend,NA,-0.5253672419135514,7.840806771970266,8.366174013883818,3.6577197650283577,8.515584333884503,0.1494103200006851,8.437425969442781,0.07125195555896369,3.657408159953404,-3.11605074953647e-4,3.2586629917464736,-0.3990567732818846
base,derived_duration_midpoint_age,20,Weekday,NA,-0.970111305072152,7.048962141071185,8.019073446143338,3.039425417999517,8.194060727208786,0.17498728106544803,8.282489112685237,0.2634156665418992,3.024639165015909,-0.01478625298360825,2.7340351364929902,-0.3053902815065257
base,derived_duration_midpoint_age,20,Weekend,NA,-0.4832432924076315,7.835711317756026,8.318954610163658,3.6762340126741977,8.459590498579205,0.14063588841554697,8.377756591841868,0.05880198167820971,3.6760002348619185,-2.337778122800671e-4,3.295245373476883,-0.38098863919731407
base,derived_duration_midpoint_age,21,Weekday,NA,-0.9313992732180916,7.0414769703342115,7.972876243552303,3.05503884855806,8.135792877002629,0.16291663345032603,8.221173642245594,0.2482973986932908,3.040831575097603,-0.0142072734604568,2.768989593274532,-0.28604925528352787
base,derived_duration_midpoint_age,21,Weekend,NA,-0.4411200768292213,7.830615952966791,8.271736029796012,3.694747938068784,8.403597646567963,0.13186161677195152,8.31808826961125,0.0463522398152385,3.6945919839436936,-1.5595412509128437e-4,3.331827113122775,-0.3629208249460092
base,derived_duration_midpoint_age,22,Weekday,NA,-0.8927376198049732,7.033997349393204,7.926734969198177,3.0706298647941157,8.077597580730181,0.15086261153200375,8.159935745070788,0.23320077587261068,3.0570011837112707,-0.01362868108284587,2.803897878462583,-0.26673198633153206
base,derived_duration_midpoint_age,22,Weekend,NA,-0.3990495493882013,7.825527007935544,8.224576557323745,3.7132387292736713,8.347675384542443,0.12309882721869768,8.25849571166842,0.03391915434467485,3.7131603421540498,-7.838711962193656e-5,3.368362757974789,-0.34487597129888314
base,derived_duration_midpoint_age,23,Weekday,NA,-0.8542561707020185,7.026537580141438,7.880793750843456,3.0861407047197096,8.01966181078147,0.1388680599380132,8.098975328429631,0.21818157758617485,3.073089231190063,-0.01305147352964652,2.8386410072861543,-0.2474996974335557
base,derived_duration_midpoint_age,23,Weekend,NA,-0.3571674880702816,7.820461026458517,8.177628514528799,3.7316467691941178,8.292005623774276,0.11437710924547773,8.19917416352582,0.02154564899702116,3.731645030926261,-1.738267856765674e-6,3.404733521175491,-0.3269132480186272
base,derived_duration_midpoint_age,24,Weekday,NA,-0.8160921666135512,7.019112781306157,7.835204947919708,3.101510307346303,7.96218321823059,0.1269782703108815,8.038503717033727,0.2032987691140189,3.08903360188544,-0.01247670546086254,2.873093199314333,-0.22841710803196943
base,derived_duration_midpoint_age,24,Weekend,NA,-0.3156174256436404,7.815435497209274,8.131052922852914,3.749909035782817,8.236780665159984,0.10572774230706904,8.140330021888547,0.00927709903563212,3.749982328961924,7.329317910631516e-5,3.4408138315111008,-0.309095204271717
base,derived_duration_midpoint_age,25,Weekday,NA,-0.7783828482438944,7.011738071614603,7.790120919858498,3.1166776116853545,7.905359454151639,0.11523853429314102,7.9787322355946735,0.18861131573617573,3.10477218014886,-0.01190543153649414,2.9071286741162057,-0.20954893756914927
base,derived_duration_midpoint_age,25,Weekend,NA,-0.2745428948764555,7.810467908861376,8.08501080373783,3.76796250699246,8.18219280959609,0.09718200585825976,8.0821696834617,-0.00284112027613048,3.7681085149626385,1.460079701782746e-4,3.4764781177678357,-0.2914843892246246
base,derived_duration_midpoint_age,26,Weekday,NA,-0.7412654562973721,7.004428569794019,7.745694026091391,3.131581556748323,7.849388169618708,0.1036941435273171,7.91987220882407,0.17417818273267915,3.120242850331782,-0.01133870641654155,2.9406216512608605,-0.19095990548746225
base,derived_duration_midpoint_age,26,Weekend,NA,-0.2340874285369055,7.805575750088384,8.03966317862529,3.785744160775739,8.128434357979113,0.08877117935382373,8.02489954495038,-0.01476363367491018,3.785959867629999,2.1570685425942315e-4,3.5116008087319144,-0.27414335204382567
base,derived_duration_midpoint_age,27,Weekday,NA,-0.7048772314783077,6.997199394571647,7.702076626049954,3.146161081546669,7.794467015705894,0.09239038965594036,7.862134961433516,0.16005833538356207,3.135383496785666,-0.01077758476100321,2.973446350317384,-0.17271473122928427
base,derived_duration_midpoint_age,27,Weekend,NA,-0.1943945593931683,7.800776509563859,7.995171068957027,3.803190975085345,8.075697611205584,0.08052654224855704,7.968726003059681,-0.02644506589734607,3.8034726656656073,2.816905802625058e-4,3.546056333189554,-0.25713464189579227
base,derived_duration_midpoint_age,28,Weekday,NA,-0.6693554144910248,6.990065664674732,7.659421079165757,3.1603551250918533,7.740793643487289,0.08137256432153261,7.805731818134611,0.14631073896885383,3.150132003861971,-0.01022312122988289,3.005476990854864,-0.1548781342369896
base,derived_duration_midpoint_age,28,Weekend,NA,-0.1556078202134219,7.796087675961365,7.951695496174787,3.820239927873972,8.02417487017202,0.0724793739972327,7.9138554544947,-0.03784004168008703,3.8205831877710574,3.4325989708605675e-4,3.5797191199269736,-0.24052080794699823
base,derived_duration_midpoint_age,29,Weekday,NA,-0.6348372460398467,6.983042498830517,7.617879744870363,3.1741026263953347,7.688565704036988,0.07068595916662535,7.750874103638956,0.13299435876859267,3.164426255912155,-0.00967637048317904,3.0365877924423867,-0.13751483395294883
base,derived_duration_midpoint_age,29,Weekend,NA,-0.11787074376584444,7.791526737954465,7.909397481720309,3.83682799709431,7.974058435774942,0.06466095405463257,7.86049429596054,-0.04890318575976948,3.8372277126479473,3.997155536374919e-4,3.612463597730392,-0.2243643993639175
base,derived_duration_midpoint_age,30,Weekday,NA,-0.6014599668290972,6.976145015766242,7.577604982595339,3.1873425244685727,7.637980848429088,0.06037586583374921,7.697773142658149,0.12016816006280973,3.1782041372876786,-0.00913838718089365,3.0666529746490405,-0.12068954981953262
base,derived_duration_midpoint_age,30,Weekend,NA,-0.081326862818614,7.787111184216716,7.86843804703533,3.8528921606990503,7.925540608910876,0.05710256187554652,7.8088489241622945,-0.05958912287303519,3.8533425189978754,4.503582988242272e-4,3.6441641953860264,-0.20872796531302384
base,derived_duration_midpoint_age,31,Weekday,NA,-0.5693608175630999,6.969388334209155,7.5387491517722545,3.2000137583230273,7.589236727737683,0.05048757596542863,7.646640259903791,0.10789110813153611,3.1914035323400003,-0.00861022598302696,3.0955467570439112,-0.10446700127911512
