batch,analysis,age_at_sleep,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,duration_adjusted_estimate,duration_adjusted_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived,midpoint_adjusted_estimate,midpoint_adjusted_minus_derived
base,derived_duration_midpoint_age,18,Weekday,NA,-0.7808518738519845,7.00383123069257,7.784683104544555,3.111489678420293,7.681821755353386,-0.1028613491911683,7.79052680739718,0.00584370285262547,3.099205335060249,-0.01228434336004369,2.9806853086277583,-0.13080436979253562
base,derived_duration_midpoint_age,18,Weekend,NA,-0.24828424656261416,7.636381825950389,7.884666072513003,3.694048789693887,7.936259729832967,0.05159365731996424,7.847327124189616,-0.03733894832338702,3.78887490629498,0.09482611660109264,3.5812526252142,-0.1127961644796862
base,derived_duration_midpoint_age,19,Weekday,NA,-0.7568186199601612,6.9964183749140165,7.753236994874178,3.119799877476928,7.656729822428089,-0.0965071724460893,7.762967850450862,0.0097308555766844,3.1074411259691717,-0.01235875150775633,2.997679431157305,-0.12212044631962372
base,derived_duration_midpoint_age,19,Weekend,NA,-0.2222639056105581,7.642463302943558,7.8647272085541156,3.7100996986665,7.916805655629352,0.05207844707523623,7.8244101844451075,-0.04031702410900806,3.800700629965884,0.09060093129938453,3.5998458390434034,-0.11025385962309642
base,derived_duration_midpoint_age,20,Weekday,NA,-0.7333542936379935,6.989040381656585,7.722394675294578,3.1278430440092952,7.63211749597861,-0.0902771793159678,7.735968756654571,0.01357408135999271,3.1154092341761417,-0.01243380983315312,3.0142398531646135,-0.11360319084468172
base,derived_duration_midpoint_age,20,Weekend,NA,-0.1969041322685598,7.648220678726983,7.845124810995543,3.725658273229212,7.897665736309042,0.05254092531349919,7.801934101269806,-0.04319070972573691,3.812093094490721,0.08643482126150914,3.617898214425906,-0.1077600588033043
base,derived_duration_midpoint_age,21,Weekday,NA,-0.7104588948854815,6.981697250920274,7.692156145805756,3.1356191780173965,7.60798477600495,-0.08417136980080553,7.709529526008306,0.01737338020255041,3.1231096596811576,-0.01250951833623936,3.0303665746496837,-0.10525260336771323
base,derived_duration_midpoint_age,21,Weekend,NA,-0.1722049265366193,7.653653953300666,7.825858879837286,3.740724513382024,7.87883997187204,0.05298109203475398,7.779898874663712,-0.04596000517357357,3.823052299869487,0.08232778648746297,3.6354097513617103,-0.10531476202031342
base,derived_duration_midpoint_age,22,Weekday,NA,-0.6881324237026252,6.974388982705085,7.66252140640771,3.14312827950123,7.584331662507111,-0.07818974390059896,7.683650158512068,0.02112875210435749,3.130542402484219,-0.01258587701700975,3.046059595612516,-0.0970686838887147
base,derived_duration_midpoint_age,22,Weekend,NA,-0.14816628841473664,7.658763126664606,7.806929415079343,3.7552984191249346,7.860328362318344,0.05339894723900151,7.758304504626825,-0.04862491045251804,3.833578246102184,0.07827982697724956,3.6523804498508134,-0.10291796927412022
base,derived_duration_midpoint_age,23,Weekday,NA,-0.6663748800894245,6.967115577011016,7.63349045710044,3.150370348460796,7.56115815548509,-0.07233230161534987,7.658330654165857,0.02484019706541662,3.137707462585329,-0.01266288587546782,3.06131891605311,-0.08905143240768609
base,derived_duration_midpoint_age,23,Weekend,NA,-0.12478821790291174,7.663548198818801,7.788336416721712,3.769379990457944,7.842130907647956,0.05379449092624355,7.737150991159146,-0.05118542556256678,3.8436709331888137,0.07429094273086889,3.668810309893217,-0.10056968056472826
base,derived_duration_midpoint_age,24,Weekday,NA,-0.6451862640458795,6.959877033838067,7.605063297883946,3.1573453848960935,7.538464254938888,-0.06659904294505825,7.633571012969672,0.02850771508572602,3.144604839984484,-0.01274054491161003,3.076144535971465,-0.08120084892462742
base,derived_duration_midpoint_age,24,Weekend,NA,-0.10207071500114472,7.668009169763252,7.770079884764397,3.7829692273810536,7.824247607860872,0.05416772309647566,7.716438334260672,-0.0536415505037251,3.8533303611293737,0.07036113374832098,3.6846993314889183,-0.09826989589213396
base,derived_duration_midpoint_age,25,Weekday,NA,-0.62456657557199,6.952673353186241,7.577239928758231,3.164053388807125,7.516249960868507,-0.0609899678897241,7.609371234923514,0.03213130616528303,3.1512345346816857,-0.01281885412543992,3.0905364553675825,-0.07351693343954224
base,derived_duration_midpoint_age,25,Weekend,NA,-0.08001377970943535,7.672146039497961,7.752159819207396,3.7960661298942626,7.806678462957097,0.05451864374970139,7.696166533931405,-0.05599328527599123,3.862556529923865,0.06649040002960227,3.7000475146379217,-0.09601861525634092
base,derived_duration_midpoint_age,26,Weekday,NA,-0.6045158146677563,6.945504535055535,7.550020349723291,3.1704943601938895,7.494515273273945,-0.05550507644934654,7.585731320027382,0.0357109703040912,3.157596546676934,-0.01289781351695573,3.1044946742414616,-0.065999685952427
base,derived_duration_midpoint_age,26,Weekend,NA,-0.05861741202778383,7.675958808022925,7.73457622005071,3.808670697997571,7.78942347293663,0.05484725288591985,7.6763355901713455,-0.05824062987936429,3.871349439572288,0.06267874157471631,3.714854859340224,-0.09381583865734731
base,derived_duration_midpoint_age,27,Weekday,NA,-0.5850339813331783,6.93837057944595,7.523404560779128,3.1766682990563857,7.473260192155201,-0.05014436862392735,7.562651268281278,0.03924670750214965,3.163690875970228,-0.01297742308615745,3.118019192593103,-0.0586491064632817
base,derived_duration_midpoint_age,27,Weekend,NA,-0.03788161195619016,7.679447475338146,7.717329087294336,3.820782931690978,7.772482637799468,0.05515355050513104,7.656945502980493,-0.06038358431384338,3.879709090074642,0.05892615838366311,3.7291213655958257,-0.0916615660951514
base,derived_duration_midpoint_age,28,Weekday,NA,-0.5661210755682559,6.931271486357486,7.497392561925741,3.1825752053946146,7.452484717512276,-0.04490784441346474,7.5401310796852,0.04273851775945925,3.1695175225615695,-0.01305768283304509,3.131110010422506,-0.05146519497210811
base,derived_duration_midpoint_age,28,Weekend,NA,-0.01780637949465422,7.682612041443623,7.700418420938278,3.832402830974485,7.755855957545612,0.05543753660733408,7.637996272358848,-0.06242214857943029,3.887635481430928,0.05523265045644265,3.742847033404728,-0.08955579756975673
base,derived_duration_midpoint_age,29,Weekday,NA,-0.5477770973729891,6.924207255790142,7.471984353163131,3.188215079208576,7.432188849345172,-0.03979550381795871,7.51817075423915,0.04618640107601912,3.1750764864509566,-0.01313859275762041,3.143767127729671,-0.04444795147890446
base,derived_duration_midpoint_age,29,Weekend,NA,0.0016082853568239,7.685452506339356,7.683844220982532,3.84353039584809,7.739543432175063,0.05569921119253074,7.61948789830641,-0.06435632267612235,3.8951286136411447,0.05159821779305496,3.756031862766929,-0.08749853308116151
base,derived_duration_midpoint_age,30,Weekday,NA,-0.5300020467473779,6.91717788774392,7.447179934491298,3.193587920498271,7.412372587653887,-0.03480734683741104,7.4967702919431245,0.0495903574518266,3.18036776763839,-0.01322015285987987,3.155990544514597,-0.0375973759836743
base,derived_duration_midpoint_age,30,Weekend,NA,0.02036238259824425,7.687968870025347,7.667606487427102,3.8541656263117954,7.7235450616878225,0.05593857426072013,7.601420380823177,-0.06618610660392577,3.902188486705292,0.04802286039349646,3.768675853682431,-0.08548977262936397
base,derived_duration_midpoint_age,31,Weekday,NA,-0.5127959236914225,6.9101833822188174,7.42297930591024,3.1986937292636974,7.393035932438421,-0.02994337347181908,7.475929692797127,0.05295038688688702,3.185391366123871,-0.01330236313982702,3.1677802607772856,-0.0309134684864123
base,derived_duration_midpoint_age,31,Weekend,NA,0.03845591222960676,7.690161132501592,7.651705220271985,3.864308522365599,7.707860846083888,0.05615562581190225,7.583793719909152,-0.06791150036283344,3.908815100623373,0.04450657825777249,3.780779006151232,-0.08352951621436766
base,derived_duration_midpoint_age,32,Weekday,NA,-0.49615872820512263,6.9032237392148375,7.39938246741996,3.203532505504857,7.374178883698774,-0.02520358372118547,7.455648956801156,0.05626648938119594,3.1901472819073975,-0.01338522359746008,3.1791362765177356,-0.02439622898712201
base,derived_duration_midpoint_age,32,Weekend,NA,0.05588887425091152,7.692029293768094,7.636140419517183,3.873959084009503,7.692490785363258,0.05635036584607533,7.566607915564334,-0.06953250395284893,3.915008455395383,0.04104937138587949,3.7923413201733336,-0.08161776383616903
base,derived_duration_midpoint_age,33,Weekday,NA,-0.48009046028847846,6.896298958731978,7.376389419020456,3.2081042492217495,7.355801441434947,-0.02058797758550934,7.435928083955212,0.05953866493475601,3.194635514988971,-0.01346873423277905,3.190058591735948,-0.01804565748580167
