outcome,outcome_type,outcome_variant,batch,model_method,model_file,estimate_DST,estimate_NoDST,nodst_minus_dst,contrast_scope,is_weekend_factor,month
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.195452877132935,8.378270993277887,0.18281811614495247,overall,NA,NA
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.740539681905422,7.925698830591638,0.18515914868621586,overall,NA,NA
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.715173485470298,1.6571085643029937,-0.05806492116730433,overall,NA,NA
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8469122286136757,1.85809603911699,0.011183810503314406,overall,NA,NA
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.776096146449362,5.872029860329029,0.09593371387966698,overall,NA,NA
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.0201792388202966,-2.128725988779751,-0.10854674995945457,overall,NA,NA
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.195452877132935,8.378270993277887,0.18281811614495247,by_weekend,Weekday,NA
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.181921551282581,8.154903204467315,-0.02701834681526627,by_weekend,Weekend,NA
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.740539681905422,7.925698830591638,0.18515914868621586,by_weekend,Weekday,NA
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.903771213738764,7.874784042520515,-0.02898717121824923,by_weekend,Weekend,NA
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.715173485470298,1.6571085643029937,-0.05806492116730433,by_weekend,Weekday,NA
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,2.2803808734721467,2.2840732503425376,0.0036923768703909232,by_weekend,Weekend,NA
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8469122286136757,1.85809603911699,0.011183810503314406,by_weekend,Weekday,NA
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,2.4693841957021294,2.4668434423624483,-0.0025407533396810678,by_weekend,Weekend,NA
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.776096146449362,5.872029860329029,0.09593371387966698,by_weekend,Weekday,NA
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,6.1550954981183175,6.14989470937228,-0.005200788746037688,by_weekend,Weekend,NA
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.0201792388202966,-2.128725988779751,-0.10854674995945457,by_weekend,Weekday,NA
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-1.550160873957944,-1.5950006169625504,-0.04483974300460636,by_weekend,Weekend,NA
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.137657842812224,8.320475958957177,0.18281811614495247,by_month,NA,01
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.297643603615063,8.480461719760015,0.18281811614495247,by_month,NA,02
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.254142923616648,8.4369610397616,0.18281811614495247,by_month,NA,03
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.195452877132935,8.378270993277887,0.18281811614495247,by_month,NA,04
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.0121462419154,8.194964358060352,0.18281811614495247,by_month,NA,05
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.169940427884384,8.352758544029337,0.18281811614495247,by_month,NA,06
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.269417979403828,8.45223609554878,0.18281811614495247,by_month,NA,07
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.31110683938359,8.493924955528543,0.18281811614495247,by_month,NA,08
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.40655118219125,8.589369298336203,0.18281811614495247,by_month,NA,09
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.27831140712315,8.461129523268102,0.18281811614495247,by_month,NA,10
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.26709299590882,8.449911112053773,0.18281811614495247,by_month,NA,11
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.144728827072209,8.327546943217161,0.18281811614495247,by_month,NA,12
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.676006116874276,7.8611652655604916,0.18515914868621586,by_month,NA,01
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.783530619314438,7.968689768000654,0.18515914868621586,by_month,NA,02
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.754905487187986,7.940064635874202,0.18515914868621586,by_month,NA,03
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.740539681905422,7.925698830591638,0.18515914868621586,by_month,NA,04
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.573548609283708,7.7587077579699235,0.18515914868621586,by_month,NA,05
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.728860213467698,7.914019362153914,0.18515914868621586,by_month,NA,06
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.83446173966592,8.019620888352135,0.18515914868621497,by_month,NA,07
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.872676358248412,8.057835506934627,0.18515914868621497,by_month,NA,08
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.957039984737033,8.142199133423249,0.18515914868621586,by_month,NA,09
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.865763144253806,8.05092229294002,0.18515914868621497,by_month,NA,10
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.8149578544484,8.000117003134616,0.18515914868621586,by_month,NA,11
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.727092327516193,7.912251476202408,0.18515914868621497,by_month,NA,12
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.765930161514105,1.7078652403468009,-0.05806492116730411,by_month,NA,01
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.4697458053533,1.4116808841859958,-0.05806492116730411,by_month,NA,02
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.5030679711842276,1.4450030500169233,-0.05806492116730433,by_month,NA,03
