outcome,outcome_type,outcome_variant,batch,model_method,model_file,estimate_Weekday,estimate_Weekend,weekend_minus_weekday,contrast_scope,employment_status
duration,Duration,adjusted,base,REML,duration_poly_interact_midpoint_adjusted_04_5_REML.rds,8.382323899761499,8.335217913599823,-0.04710598616167516,overall,NA
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.195452877132935,8.181921551282581,-0.013531325850353326,overall,NA
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,8.215488600270827,8.340153063219404,0.12466446294857647,overall,NA
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.740539681905422,7.903771213738764,0.16323153183334238,overall,NA
midpoint,ClockTime,adjusted,base,REML,midpoint_poly_interact_duration_adjusted_04_5_REML.rds,2.600628796327001,3.1540919535089222,0.5534631571819211,overall,NA
midpoint,ClockTime,adjusted,dst,REML,midpoint_poly_interact_duration_adjusted_04_5_dst_REML.rds,1.715173485470298,2.2803808734721467,0.5652073880018487,overall,NA
midpoint,ClockTime,primary,base,REML,midpoint_poly_interact_04_5_REML.rds,2.9051876110313817,3.5019249489302817,0.5967373378989,overall,NA
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8469122286136757,2.4693841957021294,0.6224719670884538,overall,NA
offset,ClockTime,primary,base,REML,offset_poly_interact_04_5_REML.rds,7.1432239704008,7.471494166152486,0.3282701957516867,overall,NA
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.776096146449362,6.1550954981183175,0.3789993516689556,overall,NA
onset,ClockTime,primary,base,REML,onset_poly_interact_04_5_REML.rds,-1.3107363917605708,-0.8296067074382758,0.48112968432229497,overall,NA
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.0201792388202966,-1.550160873957944,0.4700183648623526,overall,NA
duration,Duration,adjusted,base,REML,duration_poly_interact_midpoint_adjusted_04_5_REML.rds,8.382323899761499,8.335217913599823,-0.04710598616167516,by_employment,Employed For Wages
duration,Duration,adjusted,base,REML,duration_poly_interact_midpoint_adjusted_04_5_REML.rds,10.840633559792646,10.590972649931578,-0.2496609098610687,by_employment,Homemaker
duration,Duration,adjusted,base,REML,duration_poly_interact_midpoint_adjusted_04_5_REML.rds,4.374333468585636,4.317430935868319,-0.05690253271731738,by_employment,Out Of Work Less Than One
duration,Duration,adjusted,base,REML,duration_poly_interact_midpoint_adjusted_04_5_REML.rds,8.921031986429375,8.564676122765666,-0.3563558636637083,by_employment,Out Of Work One Or More
duration,Duration,adjusted,base,REML,duration_poly_interact_midpoint_adjusted_04_5_REML.rds,8.156259285268556,8.103578575232737,-0.05268071003581909,by_employment,Retired
duration,Duration,adjusted,base,REML,duration_poly_interact_midpoint_adjusted_04_5_REML.rds,9.776903918764948,9.602079974735464,-0.17482394402948387,by_employment,Self Employed
duration,Duration,adjusted,base,REML,duration_poly_interact_midpoint_adjusted_04_5_REML.rds,4.747209948490717,4.655780564967125,-0.0914293835235922,by_employment,Student
duration,Duration,adjusted,base,REML,duration_poly_interact_midpoint_adjusted_04_5_REML.rds,6.301648834247555,6.2388084077333765,-0.0628404265141782,by_employment,Unable To Work
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.195452877132935,8.181921551282581,-0.013531325850353326,by_employment,Employed For Wages
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,10.924654315626944,10.742798161495385,-0.18185615413155887,by_employment,Homemaker
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,5.256882598017815,5.282945725762692,0.026063127744877512,by_employment,Out Of Work Less Than One
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.927469075584588,8.571150283194733,-0.356318792389855,by_employment,Out Of Work One Or More
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,8.141562749409358,8.126887738894224,-0.01467501051513409,by_employment,Retired
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,10.120861160177297,9.958520249315942,-0.16234091086135471,by_employment,Self Employed
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,4.68405157194567,4.5933319594749875,-0.09071961247068216,by_employment,Student
duration,Duration,adjusted,dst,REML,duration_poly_interact_midpoint_adjusted_04_5_dst_REML.rds,206.73779205106055,206.9351523012695,0.1973602502089591,by_employment,Unable To Work
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,8.215488600270827,8.340153063219404,0.12466446294857647,by_employment,Employed For Wages
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,10.918944690937035,10.827532511191984,-0.09141217974505089,by_employment,Homemaker
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,-0.658072694119395,-0.5210949717022485,0.13697772241714645,by_employment,Out Of Work Less Than One
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,10.766168099051406,10.598858363791296,-0.16730973526011006,by_employment,Out Of Work One Or More
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,8.651192984848583,8.748319873943101,0.09712688909451828,by_employment,Retired
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,10.435080195855305,10.382448837374389,-0.052631358480915935,by_employment,Self Employed
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,4.338602737952502,4.484816537639731,0.1462137996872297,by_employment,Student
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,5.561392711328552,5.614746757545493,0.053354046216941065,by_employment,Unable To Work
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.740539681905422,7.903771213738764,0.16323153183334238,by_employment,Employed For Wages
