outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,18,7.34126540554344,7.318917098797318,7.363613712289563
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,19,7.329742042229287,7.308193413541927,7.351290670916647
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,20,7.318971824731057,7.298174067931789,7.339769581530326
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,21,7.308954753048751,7.288859031415301,7.329050474682202
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,22,7.299690827182369,7.2802484357910275,7.31913321857371
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,23,7.29118004713191,7.272342600606074,7.310017493657745
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,24,7.283422412897374,7.26514206496381,7.3017027608309375
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,25,7.2764179244787615,7.258647605341527,7.294188243615996
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,26,7.270166581876072,7.252860251281675,7.28747291247047
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,27,7.2646683850893075,7.247781302095293,7.281555468083322
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,28,7.259923334118465,7.243412321330231,7.276434346906699
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,29,7.255931428963547,7.23975513498081,7.272107722946283
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,30,7.252692669624552,7.236811806942586,7.268573532306518
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,31,7.25020705610148,7.234584620787848,7.265829491415113
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,32,7.248474588394333,7.233076036750333,7.263873140038333
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,33,7.247495266503109,7.232288651160128,7.26270188184609
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,34,7.247269090427808,7.232225151567248,7.262313029288367
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,35,7.24779606016843,7.23288826466675,7.262703855670111
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,36,7.249076175724977,7.234280707402667,7.263871644047288
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,37,7.251109437097447,7.236405143016272,7.265813731178621
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,38,7.25389584428584,7.239264133792857,7.268527554778822
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,39,7.2574353972901555,7.242860105103069,7.272010689477242
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,40,7.261728096110396,7.247195312733459,7.2762608794873325
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,41,7.26677394074656,7.252271816828602,7.2812760646645165
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,42,7.2725729311986465,7.258091457754403,7.28705440464289
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,43,7.279125067466658,7.264655843362796,7.293594291570519
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,44,7.286430349550591,7.271966335273715,7.300894363827467
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,45,7.294488777450449,7.280024038499839,7.3089535164010595
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,46,7.30330035116623,7.288829800065416,7.317770902267045
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,47,7.312865070697935,7.29838420232475,7.32734593907112
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,48,7.323182936045563,7.30868756232028,7.337678309770846
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,49,7.334253947209114,7.319739934132545,7.3487679602856835
