batch,analysis,age_at_sleep,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear
base,derived_duration_midpoint_age,18,Weekday,NA,0.11227987097237913,7.149202131617118,7.036922260644738,3.630741001294748
base,derived_duration_midpoint_age,18,Weekend,NA,0.721414266471625,8.063957986293687,7.3425437198220624,4.392686126382657
base,derived_duration_midpoint_age,19,Weekday,NA,0.05868092772118749,7.089656970431435,7.030976042710248,3.574168949076311
base,derived_duration_midpoint_age,19,Weekend,NA,0.6648219277956064,8.014512808472535,7.349690880676928,4.339667368134071
base,derived_duration_midpoint_age,20,Weekday,NA,0.00650183653540237,7.032344666778731,7.025842830243329,3.519423251657067
base,derived_duration_midpoint_age,20,Weekend,NA,0.6095315480447385,7.966714855765101,7.357183307720362,4.28812320190492
base,derived_duration_midpoint_age,21,Weekday,NA,-0.04425740258497604,6.977265220659005,7.021522623243981,3.4665039090370144
base,derived_duration_midpoint_age,21,Weekend,NA,0.5555431272190217,7.920564128171386,7.365021000952364,4.238053627695203
base,derived_duration_midpoint_age,22,Weekday,NA,-0.09359678963994772,6.924418632072259,7.018015421712207,3.4154109212161554
base,derived_duration_midpoint_age,22,Weekend,NA,0.5028566653184555,7.876060625691394,7.373203960372938,4.189458645504924
base,derived_duration_midpoint_age,23,Weekday,NA,-0.14151632462951283,6.87380490101849,7.015321225648003,3.3661442881944885
base,derived_duration_midpoint_age,23,Weekend,NA,0.45147216234304033,7.833204348325119,7.381732185982079,4.14233825533408
base,derived_duration_midpoint_age,24,Weekday,NA,-0.18801600755367123,6.8254240274977,7.013440035051372,3.318704009972014
base,derived_duration_midpoint_age,24,Weekend,NA,0.401389618292776,7.791995296072566,7.390605677779789,4.09669245718267
base,derived_duration_midpoint_age,25,Weekday,NA,-0.2330958384124229,6.779276011509889,7.012371849922312,3.273090086548733
base,derived_duration_midpoint_age,25,Weekend,NA,0.3526090331676626,7.752433468933733,7.39982443576607,4.052521251050698
base,derived_duration_midpoint_age,26,Weekday,NA,-0.27675581720576803,6.735360853055058,7.012116670260825,3.2293025179246446
base,derived_duration_midpoint_age,26,Weekend,NA,0.30513040696770005,7.71451886690862,7.409388459940921,4.00982463693816
base,derived_duration_midpoint_age,27,Weekday,NA,-0.31899594393370645,6.693678552133204,7.012674496066911,3.187341304099749
base,derived_duration_midpoint_age,27,Weekend,NA,0.2589537396928884,7.678251489997227,7.419297750304339,3.9686026148450577
base,derived_duration_midpoint_age,28,Weekday,NA,-0.35981621859623814,6.65422910874433,7.014045327340568,3.147206445074046
base,derived_duration_midpoint_age,28,Weekend,NA,0.2140790313432276,7.643631338199555,7.429552306856327,3.928855184771391
base,derived_duration_midpoint_age,29,Weekday,NA,-0.3992166411933632,6.617012522888434,7.016229164081797,3.1088979408475352
base,derived_duration_midpoint_age,29,Weekend,NA,0.17050628191871772,7.610658411515602,7.440152129596885,3.89058234671716
base,derived_duration_midpoint_age,30,Weekday,NA,-0.4371972117250815,6.582028794565517,7.019226006290598,3.0724157914202177
base,derived_duration_midpoint_age,30,Weekend,NA,0.12823549141935875,7.579332709945369,7.451097218526011,3.853784100682364
base,derived_duration_midpoint_age,31,Weekday,NA,-0.4737579301913932,6.549277923775578,7.023035853966971,3.0377599967920923
base,derived_duration_midpoint_age,31,Weekend,NA,0.08726665984515058,7.549654233488857,7.462387573643706,3.818460446667004
base,derived_duration_midpoint_age,32,Weekday,NA,-0.5088987965922983,6.518759910518619,7.027658707110917,3.0049305569631604
base,derived_duration_midpoint_age,32,Weekend,NA,0.04759978719609337,7.521622982146066,7.4740231949499725,3.78461138467108
base,derived_duration_midpoint_age,33,Weekday,NA,-0.5426198109277965,6.490474754794637,7.0330945657224335,2.97392747193342
base,derived_duration_midpoint_age,33,Weekend,NA,0.00923487347218707,7.495238955916992,7.486004082444805,3.7522369146945898
base,derived_duration_midpoint_age,34,Weekday,NA,-0.5749209731978883,6.464422456603636,7.039343429801524,2.9447507417028738
base,derived_duration_midpoint_age,34,Weekend,NA,-0.02782808132656844,7.4705021548016415,7.49833023612821,3.721337036737536
base,derived_duration_midpoint_age,35,Weekday,NA,-0.6058022834025732,6.440603015945612,7.046405299348185,2.9174003662715196
base,derived_duration_midpoint_age,35,Weekend,NA,-0.06358907720017296,7.44741257880001,7.511001656000182,3.6919117507999184
base,derived_duration_midpoint_age,36,Weekday,NA,-0.6352637415418516,6.419016432820567,7.054280174362418,2.8918763456393575
base,derived_duration_midpoint_age,36,Weekend,NA,-0.09804811414862669,7.425970227912098,7.5240183420607245,3.663961056881736
base,derived_duration_midpoint_age,37,Weekday,NA,-0.6633053476157232,6.399662707228501,7.062968054844224,2.868178679806389
base,derived_duration_midpoint_age,37,Weekend,NA,-0.13120519217192944,7.406175102137906,7.537380294309836,3.637484954982989
base,derived_duration_midpoint_age,38,Weekday,NA,-0.6899271016241884,6.382541839169414,7.072468940793602,2.846307368772613
base,derived_duration_midpoint_age,38,Weekend,NA,-0.1630603112700815,7.388027201477436,7.551087512747517,3.612483445103677
base,derived_duration_midpoint_age,39,Weekday,NA,-0.7151290035672466,6.367653828643305,7.082782832210551,2.826262412538029
base,derived_duration_midpoint_age,39,Weekend,NA,-0.1936134714430825,7.371526525930684,7.565139997373767,3.588956527243801
base,derived_duration_midpoint_age,40,Weekday,NA,-0.7389110534448984,6.354998675650175,7.093909729095073,2.808043811102638
base,derived_duration_midpoint_age,40,Weekend,NA,-0.2228646726909327,7.356673075497653,7.579537748188586,3.5669042014033603
base,derived_duration_midpoint_age,41,Weekday,NA,-0.7612732512571433,6.3445763801900235,7.105849631447167,2.79165156446644
base,derived_duration_midpoint_age,41,Weekend,NA,-0.2508139150136319,7.343466850178342,7.594280765191974,3.546326467582355
base,derived_duration_midpoint_age,42,Weekday,NA,-0.7822155970039817,6.336386942262852,7.118602539266833,2.777085672629435
base,derived_duration_midpoint_age,42,Weekend,NA,-0.2774611984111804,7.331907849972752,7.6093690483839325,3.5272233257807857
base,derived_duration_midpoint_age,43,Weekday,NA,-0.8017380906854132,6.3304303618686575,7.132168452554071,2.764346135591622
base,derived_duration_midpoint_age,43,Weekend,NA,-0.30280652288357784,7.32199607488088,7.624802597764458,3.509594775998651
base,derived_duration_midpoint_age,44,Weekday,NA,-0.8198407323014383,6.326706639007443,7.146547371308881,2.7534329533530024
base,derived_duration_midpoint_age,44,Weekend,NA,-0.3268498884308245,7.313731524902731,7.640581413333555,3.493440818235953
base,derived_duration_midpoint_age,45,Weekday,NA,-0.8365235218520566,6.325215773679206,7.161739295531262,2.744346125913575
base,derived_duration_midpoint_age,45,Weekend,NA,-0.34959129505292025,7.3071142000383,7.65670549509122,3.47876145249269
base,derived_duration_midpoint_age,46,Weekday,NA,-0.8517864593372683,6.325957765883949,7.177744225221217,2.7370856532733403
base,derived_duration_midpoint_age,46,Weekend,NA,-0.37103074274986514,7.302144100287591,7.673174843037456,3.4655566787688628
base,derived_duration_midpoint_age,47,Weekday,NA,-0.8656295447570732,6.32893261562167,7.1945621603787435,2.7316515354322988
base,derived_duration_midpoint_age,47,Weekend,NA,-0.3911682315216591,7.298821225650601,7.68998945717226,3.4538264970644708
base,derived_duration_midpoint_age,48,Weekday,NA,-0.8780527781114716,6.33414032289237,7.212193101003842,2.72804377239045
base,derived_duration_midpoint_age,48,Weekend,NA,-0.4100037613683023,7.297145576127331,7.7071493374956335,3.4435709073795144
base,derived_duration_midpoint_age,49,Weekday,NA,-0.8890561594004631,6.341580887696049,7.230637047096511,2.7262623641477925
base,derived_duration_midpoint_age,49,Weekend,NA,-0.4275373322897944,7.297117151717781,7.724654484007576,3.434789909713994
base,derived_duration_midpoint_age,50,Weekday,NA,-0.8986396886240482,6.351254310032706,7.249893998656754,2.7263073107043287
base,derived_duration_midpoint_age,50,Weekend,NA,-0.4437689442861358,7.298735952421952,7.742504896708088,3.427483504067908
base,derived_duration_midpoint_age,51,Weekday,NA,-0.9068033657822264,6.363160589902342,7.269963955684568,2.7281786120600575
base,derived_duration_midpoint_age,51,Weekend,NA,-0.4586985973573263,7.302001978239842,7.760700575597168,3.4216516904412577
base,derived_duration_midpoint_age,52,Weekday,NA,-0.913547190874998,6.3772997273049565,7.290846918179955,2.731876268214979
base,derived_duration_midpoint_age,52,Weekend,NA,-0.47232629150336586,7.3069152291714525,7.779241520674819,3.4172944688340436
base,derived_duration_midpoint_age,53,Weekday,NA,-0.9188711639023632,6.39367172224055,7.312542886142913,2.7374002791690932
base,derived_duration_midpoint_age,53,Weekend,NA,-0.48465202672425456,7.313475705216784,7.7981277319410385,3.414411839246265
base,derived_duration_midpoint_age,54,Weekday,NA,-0.9227752848643214,6.412276574709122,7.3350518595734435,2.7447506449224006
base,derived_duration_midpoint_age,54,Weekend,NA,-0.4956758030199923,7.321683406375835,7.8173592093958275,3.4130038016779216
base,derived_duration_midpoint_age,55,Weekday,NA,-0.9252595537608732,6.4331142847106735,7.358373838471547,2.7539273654749
base,derived_duration_midpoint_age,55,Weekend,NA,-0.5053976203905793,7.3315383326486065,7.836935953039186,3.4130703561290137
base,derived_duration_midpoint_age,56,Weekday,NA,-0.926323970592018,6.456184852245204,7.382508822837222,2.7649304408265927
base,derived_duration_midpoint_age,56,Weekend,NA,-0.5138174788360154,7.343040484035099,7.856857962871114,3.414611502599542
base,derived_duration_midpoint_age,57,Weekday,NA,-0.9259685353577564,6.481488277312712,7.4074568126704685,2.7777598709774782
base,derived_duration_midpoint_age,57,Weekend,NA,-0.5209353783563004,7.35618986053531,7.877125238891611,3.417627241089505
base,derived_duration_midpoint_age,58,Weekday,NA,-0.924193248058088,6.509024559913199,7.433217807971286,2.792415655927555
base,derived_duration_midpoint_age,58,Weekend,NA,-0.5267513189514348,7.370986462149241,7.897737781100676,3.4221175715989034
base,derived_duration_midpoint_age,59,Weekday,NA,-0.9209981086930128,6.538793700046665,7.459791808739678,2.808897795676826
base,derived_duration_midpoint_age,59,Weekend,NA,-0.5312653006214181,7.387430288876893,7.918695589498311,3.4280824941277377
base,derived_duration_midpoint_age,60,Weekday,NA,-0.9163831172625312,6.570795697713109,7.48717881497564,2.827206290225289
base,derived_duration_midpoint_age,60,Weekend,NA,-0.5344773233662506,7.405521340718264,7.9399986640845155,3.435522008676007
base,derived_duration_midpoint_age,61,Weekday,NA,-0.9103482737666428,6.605030552912533,7.515378826679176,2.8473411395729453
base,derived_duration_midpoint_age,61,Weekend,NA,-0.5363873871859323,7.425259617673357,7.96164700485929,3.444436115243713
base,derived_duration_midpoint_age,62,Weekday,NA,-0.9028935782053475,6.641498265644935,7.544391843850282,2.8693023437197933
base,derived_duration_midpoint_age,62,Weekend,NA,-0.5369954920804629,7.44664511974217,7.983640611822633,3.4548248138308537
base,derived_duration_midpoint_age,63,Weekday,NA,-0.8940190305786458,6.680198835910316,7.5742178664889614,2.8930899026658348
base,derived_duration_midpoint_age,63,Weekend,NA,-0.5363016380498428,7.469677846924703,8.005979484974546,3.4666881044374303
base,derived_duration_midpoint_age,64,Weekday,NA,-0.8837246308865374,6.721132263708675,7.604856894595213,2.9187038164110692
base,derived_duration_midpoint_age,64,Weekend,NA,-0.5343058250940718,7.494357799220955,8.028663624315026,3.480025987063441
base,derived_duration_midpoint_age,65,Weekday,NA,-0.8720103791290224,6.764298549040014,7.636308928169036,2.946144084955496
base,derived_duration_midpoint_age,65,Weekend,NA,-0.5310080532131498,7.520684976630928,8.051693029844078,3.494838461708889
base,derived_duration_midpoint_age,66,Weekday,NA,-0.8588762753061007,6.80969769190433,7.668573967210431,2.975410708299115
base,derived_duration_midpoint_age,66,Weekend,NA,-0.5264083224070771,7.54865937915462,8.075067701561698,3.511125528373772
base,derived_duration_midpoint_age,67,Weekday,NA,-0.8443223194177722,6.857329692301626,7.701652011719398,3.006503686441927
base,derived_duration_midpoint_age,67,Weekend,NA,-0.5205066326758534,7.578281006792033,8.098787639467886,3.52888718705809
base,derived_duration_midpoint_age,68,Weekday,NA,-0.8283485114640371,6.9071945502319005,7.735543061695938,3.039423019383932
base,derived_duration_midpoint_age,68,Weekend,NA,-0.5133029840194788,7.609549859543167,8.122852843562645,3.548123437761844
base,derived_duration_midpoint_age,69,Weekday,NA,-0.8109548514448954,6.9592922656951535,7.770247117140049,3.07416870712513
base,derived_duration_midpoint_age,69,Weekend,NA,-0.5047973764379534,7.64246593740802,8.147263313845974,3.5688342804850333
base,derived_duration_midpoint_age,70,Weekday,NA,-0.792141339360347,7.0136228386913855,7.805764178051732,3.1107407496655193
base,derived_duration_midpoint_age,70,Weekend,NA,-0.4949898099312772,7.677029240386593,8.172019050317871,3.5910197152276586
base,derived_duration_midpoint_age,71,Weekday,NA,-0.7719079752103919,7.070186269220596,7.842094244430988,3.1491391470051022
base,derived_duration_midpoint_age,71,Weekend,NA,-0.4838802844994499,7.713239768478887,8.197120052978338,3.614679741989719
base,derived_duration_midpoint_age,72,Weekday,NA,-0.7502547589950301,7.128982557282785,7.879237316277815,3.1893638991438777
base,derived_duration_midpoint_age,72,Weekend,NA,-0.47146880014247183,7.751097521684901,8.222566321827372,3.639814360771214
base,derived_duration_midpoint_age,73,Weekday,NA,-0.7271816907142616,7.190011702877953,7.917193393592215,3.231415006081846
base,derived_duration_midpoint_age,73,Weekend,NA,-0.4577553568603428,7.790602500004633,8.248357856864976,3.666423571572145
base,derived_duration_midpoint_age,74,Weekday,NA,-0.7026887703680865,7.2532737060061,7.955962476374187,3.275292467819007
base,derived_duration_midpoint_age,74,Weekend,NA,-0.442739954653063,7.831754703438087,8.27449465809115,3.694507374392512
base,derived_duration_midpoint_age,75,Weekday,NA,-0.6767759979565048,7.3187685666672255,7.995544564623731,3.3209962843553607
base,derived_duration_midpoint_age,75,Weekend,NA,-0.42642259352063216,7.874554131985262,8.300976725505894,3.7240657692323142
base,derived_duration_midpoint_age,76,Weekday,NA,-0.6494433734795163,7.38649628486133,8.035939658340846,3.3685264556909065
base,derived_duration_midpoint_age,76,Weekend,NA,-0.4088032734630505,7.919000785646157,8.327804059109207,3.7550987560915527
base,derived_duration_midpoint_age,77,Weekday,NA,-0.6206908969371212,7.456456860588413,8.077147757525534,3.4178829818256458
base,derived_duration_midpoint_age,77,Weekend,NA,-0.389881994480318,7.965094664420772,8.35497665890109,3.7876063349702274
