batch,age_at_sleep,is_weekend_factor,dst_observes,series,estimate,facet_key
base,18,Weekday,NA,Derived from Onset+Offset,7.036922260644738,All | Weekday | AllDST
base,19,Weekday,NA,Derived from Onset+Offset,7.030976042710248,All | Weekday | AllDST
base,20,Weekday,NA,Derived from Onset+Offset,7.025842830243329,All | Weekday | AllDST
base,21,Weekday,NA,Derived from Onset+Offset,7.021522623243981,All | Weekday | AllDST
base,22,Weekday,NA,Derived from Onset+Offset,7.018015421712207,All | Weekday | AllDST
base,23,Weekday,NA,Derived from Onset+Offset,7.015321225648003,All | Weekday | AllDST
base,24,Weekday,NA,Derived from Onset+Offset,7.013440035051372,All | Weekday | AllDST
base,25,Weekday,NA,Derived from Onset+Offset,7.012371849922312,All | Weekday | AllDST
base,26,Weekday,NA,Derived from Onset+Offset,7.012116670260825,All | Weekday | AllDST
base,27,Weekday,NA,Derived from Onset+Offset,7.012674496066911,All | Weekday | AllDST
base,28,Weekday,NA,Derived from Onset+Offset,7.014045327340568,All | Weekday | AllDST
base,29,Weekday,NA,Derived from Onset+Offset,7.016229164081797,All | Weekday | AllDST
base,30,Weekday,NA,Derived from Onset+Offset,7.019226006290598,All | Weekday | AllDST
base,31,Weekday,NA,Derived from Onset+Offset,7.023035853966971,All | Weekday | AllDST
base,32,Weekday,NA,Derived from Onset+Offset,7.027658707110917,All | Weekday | AllDST
base,33,Weekday,NA,Derived from Onset+Offset,7.0330945657224335,All | Weekday | AllDST
base,34,Weekday,NA,Derived from Onset+Offset,7.039343429801524,All | Weekday | AllDST
base,35,Weekday,NA,Derived from Onset+Offset,7.046405299348185,All | Weekday | AllDST
base,36,Weekday,NA,Derived from Onset+Offset,7.054280174362418,All | Weekday | AllDST
base,37,Weekday,NA,Derived from Onset+Offset,7.062968054844224,All | Weekday | AllDST
base,38,Weekday,NA,Derived from Onset+Offset,7.072468940793602,All | Weekday | AllDST
base,39,Weekday,NA,Derived from Onset+Offset,7.082782832210551,All | Weekday | AllDST
base,40,Weekday,NA,Derived from Onset+Offset,7.093909729095073,All | Weekday | AllDST
base,41,Weekday,NA,Derived from Onset+Offset,7.105849631447167,All | Weekday | AllDST
base,42,Weekday,NA,Derived from Onset+Offset,7.118602539266833,All | Weekday | AllDST
base,43,Weekday,NA,Derived from Onset+Offset,7.132168452554071,All | Weekday | AllDST
base,44,Weekday,NA,Derived from Onset+Offset,7.146547371308881,All | Weekday | AllDST
base,45,Weekday,NA,Derived from Onset+Offset,7.161739295531262,All | Weekday | AllDST
base,46,Weekday,NA,Derived from Onset+Offset,7.177744225221217,All | Weekday | AllDST
base,47,Weekday,NA,Derived from Onset+Offset,7.1945621603787435,All | Weekday | AllDST
base,48,Weekday,NA,Derived from Onset+Offset,7.212193101003842,All | Weekday | AllDST
base,49,Weekday,NA,Derived from Onset+Offset,7.230637047096511,All | Weekday | AllDST
base,50,Weekday,NA,Derived from Onset+Offset,7.249893998656754,All | Weekday | AllDST
base,51,Weekday,NA,Derived from Onset+Offset,7.269963955684568,All | Weekday | AllDST
base,52,Weekday,NA,Derived from Onset+Offset,7.290846918179955,All | Weekday | AllDST
base,53,Weekday,NA,Derived from Onset+Offset,7.312542886142913,All | Weekday | AllDST
base,54,Weekday,NA,Derived from Onset+Offset,7.3350518595734435,All | Weekday | AllDST
base,55,Weekday,NA,Derived from Onset+Offset,7.358373838471547,All | Weekday | AllDST
base,56,Weekday,NA,Derived from Onset+Offset,7.382508822837222,All | Weekday | AllDST
base,57,Weekday,NA,Derived from Onset+Offset,7.4074568126704685,All | Weekday | AllDST
base,58,Weekday,NA,Derived from Onset+Offset,7.433217807971286,All | Weekday | AllDST
base,59,Weekday,NA,Derived from Onset+Offset,7.459791808739678,All | Weekday | AllDST
base,60,Weekday,NA,Derived from Onset+Offset,7.48717881497564,All | Weekday | AllDST
base,61,Weekday,NA,Derived from Onset+Offset,7.515378826679176,All | Weekday | AllDST
base,62,Weekday,NA,Derived from Onset+Offset,7.544391843850282,All | Weekday | AllDST
base,63,Weekday,NA,Derived from Onset+Offset,7.5742178664889614,All | Weekday | AllDST
base,64,Weekday,NA,Derived from Onset+Offset,7.604856894595213,All | Weekday | AllDST
base,65,Weekday,NA,Derived from Onset+Offset,7.636308928169036,All | Weekday | AllDST
base,66,Weekday,NA,Derived from Onset+Offset,7.668573967210431,All | Weekday | AllDST
base,67,Weekday,NA,Derived from Onset+Offset,7.701652011719398,All | Weekday | AllDST
base,68,Weekday,NA,Derived from Onset+Offset,7.735543061695938,All | Weekday | AllDST
base,69,Weekday,NA,Derived from Onset+Offset,7.770247117140049,All | Weekday | AllDST
base,70,Weekday,NA,Derived from Onset+Offset,7.805764178051732,All | Weekday | AllDST
base,71,Weekday,NA,Derived from Onset+Offset,7.842094244430988,All | Weekday | AllDST
base,72,Weekday,NA,Derived from Onset+Offset,7.879237316277815,All | Weekday | AllDST
base,73,Weekday,NA,Derived from Onset+Offset,7.917193393592215,All | Weekday | AllDST
base,74,Weekday,NA,Derived from Onset+Offset,7.955962476374187,All | Weekday | AllDST
base,75,Weekday,NA,Derived from Onset+Offset,7.995544564623731,All | Weekday | AllDST
base,76,Weekday,NA,Derived from Onset+Offset,8.035939658340846,All | Weekday | AllDST
base,77,Weekday,NA,Derived from Onset+Offset,8.077147757525534,All | Weekday | AllDST
base,78,Weekday,NA,Derived from Onset+Offset,8.119168862177794,All | Weekday | AllDST
base,79,Weekday,NA,Derived from Onset+Offset,8.162002972297627,All | Weekday | AllDST
base,80,Weekday,NA,Derived from Onset+Offset,8.20565008788503,All | Weekday | AllDST
base,81,Weekday,NA,Derived from Onset+Offset,8.250110208940006,All | Weekday | AllDST
base,82,Weekday,NA,Derived from Onset+Offset,8.295383335462555,All | Weekday | AllDST
base,83,Weekday,NA,Derived from Onset+Offset,8.341469467452674,All | Weekday | AllDST
base,84,Weekday,NA,Derived from Onset+Offset,8.388368604910365,All | Weekday | AllDST
base,85,Weekday,NA,Derived from Onset+Offset,8.436080747835629,All | Weekday | AllDST
base,18,Weekday,NA,Direct Duration Model,7.34126540554344,All | Weekday | AllDST
base,19,Weekday,NA,Direct Duration Model,7.329742042229287,All | Weekday | AllDST
base,20,Weekday,NA,Direct Duration Model,7.318971824731057,All | Weekday | AllDST
base,21,Weekday,NA,Direct Duration Model,7.308954753048751,All | Weekday | AllDST
base,22,Weekday,NA,Direct Duration Model,7.299690827182369,All | Weekday | AllDST
base,23,Weekday,NA,Direct Duration Model,7.29118004713191,All | Weekday | AllDST
base,24,Weekday,NA,Direct Duration Model,7.283422412897374,All | Weekday | AllDST
base,25,Weekday,NA,Direct Duration Model,7.2764179244787615,All | Weekday | AllDST
base,26,Weekday,NA,Direct Duration Model,7.270166581876072,All | Weekday | AllDST
base,27,Weekday,NA,Direct Duration Model,7.2646683850893075,All | Weekday | AllDST
base,28,Weekday,NA,Direct Duration Model,7.259923334118465,All | Weekday | AllDST
base,29,Weekday,NA,Direct Duration Model,7.255931428963547,All | Weekday | AllDST
base,30,Weekday,NA,Direct Duration Model,7.252692669624552,All | Weekday | AllDST
base,31,Weekday,NA,Direct Duration Model,7.25020705610148,All | Weekday | AllDST
base,32,Weekday,NA,Direct Duration Model,7.248474588394333,All | Weekday | AllDST
base,33,Weekday,NA,Direct Duration Model,7.247495266503109,All | Weekday | AllDST
base,34,Weekday,NA,Direct Duration Model,7.247269090427808,All | Weekday | AllDST
base,35,Weekday,NA,Direct Duration Model,7.24779606016843,All | Weekday | AllDST
base,36,Weekday,NA,Direct Duration Model,7.249076175724977,All | Weekday | AllDST
base,37,Weekday,NA,Direct Duration Model,7.251109437097447,All | Weekday | AllDST
base,38,Weekday,NA,Direct Duration Model,7.25389584428584,All | Weekday | AllDST
base,39,Weekday,NA,Direct Duration Model,7.2574353972901555,All | Weekday | AllDST
base,40,Weekday,NA,Direct Duration Model,7.261728096110396,All | Weekday | AllDST
base,41,Weekday,NA,Direct Duration Model,7.26677394074656,All | Weekday | AllDST
base,42,Weekday,NA,Direct Duration Model,7.2725729311986465,All | Weekday | AllDST
base,43,Weekday,NA,Direct Duration Model,7.279125067466658,All | Weekday | AllDST
base,44,Weekday,NA,Direct Duration Model,7.286430349550591,All | Weekday | AllDST
base,45,Weekday,NA,Direct Duration Model,7.294488777450449,All | Weekday | AllDST
base,46,Weekday,NA,Direct Duration Model,7.30330035116623,All | Weekday | AllDST
base,47,Weekday,NA,Direct Duration Model,7.312865070697935,All | Weekday | AllDST
base,48,Weekday,NA,Direct Duration Model,7.323182936045563,All | Weekday | AllDST
base,49,Weekday,NA,Direct Duration Model,7.334253947209114,All | Weekday | AllDST
base,50,Weekday,NA,Direct Duration Model,7.346078104188589,All | Weekday | AllDST
base,51,Weekday,NA,Direct Duration Model,7.358655406983988,All | Weekday | AllDST
base,52,Weekday,NA,Direct Duration Model,7.37198585559531,All | Weekday | AllDST
base,53,Weekday,NA,Direct Duration Model,7.386069450022555,All | Weekday | AllDST
base,54,Weekday,NA,Direct Duration Model,7.400906190265724,All | Weekday | AllDST
base,55,Weekday,NA,Direct Duration Model,7.416496076324816,All | Weekday | AllDST
base,56,Weekday,NA,Direct Duration Model,7.432839108199833,All | Weekday | AllDST
base,57,Weekday,NA,Direct Duration Model,7.449935285890772,All | Weekday | AllDST
base,58,Weekday,NA,Direct Duration Model,7.4677846093976354,All | Weekday | AllDST
base,59,Weekday,NA,Direct Duration Model,7.486387078720422,All | Weekday | AllDST
base,60,Weekday,NA,Direct Duration Model,7.505742693859132,All | Weekday | AllDST
base,61,Weekday,NA,Direct Duration Model,7.525851454813764,All | Weekday | AllDST
base,62,Weekday,NA,Direct Duration Model,7.546713361584321,All | Weekday | AllDST
base,63,Weekday,NA,Direct Duration Model,7.568328414170802,All | Weekday | AllDST
base,64,Weekday,NA,Direct Duration Model,7.590696612573206,All | Weekday | AllDST
base,65,Weekday,NA,Direct Duration Model,7.613817956791533,All | Weekday | AllDST
base,66,Weekday,NA,Direct Duration Model,7.637692446825784,All | Weekday | AllDST
base,67,Weekday,NA,Direct Duration Model,7.662320082675958,All | Weekday | AllDST
base,68,Weekday,NA,Direct Duration Model,7.687700864342056,All | Weekday | AllDST
base,69,Weekday,NA,Direct Duration Model,7.713834791824078,All | Weekday | AllDST
base,70,Weekday,NA,Direct Duration Model,7.740721865122023,All | Weekday | AllDST
base,71,Weekday,NA,Direct Duration Model,7.768362084235891,All | Weekday | AllDST
base,72,Weekday,NA,Direct Duration Model,7.796755449165683,All | Weekday | AllDST
base,73,Weekday,NA,Direct Duration Model,7.825901959911397,All | Weekday | AllDST
base,74,Weekday,NA,Direct Duration Model,7.855801616473037,All | Weekday | AllDST
base,75,Weekday,NA,Direct Duration Model,7.886454418850598,All | Weekday | AllDST
base,76,Weekday,NA,Direct Duration Model,7.917860367044084,All | Weekday | AllDST
base,77,Weekday,NA,Direct Duration Model,7.950019461053494,All | Weekday | AllDST
base,78,Weekday,NA,Direct Duration Model,7.982931700878827,All | Weekday | AllDST
base,79,Weekday,NA,Direct Duration Model,8.016597086520083,All | Weekday | AllDST
base,80,Weekday,NA,Direct Duration Model,8.051015617977262,All | Weekday | AllDST
