outcome,outcome_type,batch,model_method,model_file,estimate_DST,estimate_NoDST,nodst_minus_dst,contrast_scope,is_weekend_factor,month,term
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.680333099878904,7.626152789307277,-0.05418031057162764,overall,NA,NA,Overall
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,5.242070912313073,5.005363555431736,-0.23670735688133693,overall,NA,NA,Overall
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,8.620458044391333,8.27330538657916,-0.3471526578121722,overall,NA,NA,Overall
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,1.3322615094506614,1.0798454739300252,-0.2524160355206362,overall,NA,NA,Overall
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.680333099878905,7.626152789307278,-0.05418031057162764,by_weekend,Weekday,NA,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.717586651349024,7.644434674069096,-0.07315197727992828,by_weekend,Weekend,NA,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,5.242070912313074,5.005363555431737,-0.23670735688133693,by_weekend,Weekday,NA,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,5.905103580351255,5.615988002261428,-0.28911557808982646,by_weekend,Weekend,NA,Weekend
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,8.620458044391333,8.27330538657916,-0.3471526578121722,by_weekend,Weekday,NA,Weekday
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,9.254310956480666,8.859248093163892,-0.3950628633167738,by_weekend,Weekend,NA,Weekend
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,1.3322615094506614,1.0798454739300252,-0.2524160355206362,by_weekend,Weekday,NA,Weekday
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,1.9757526497705251,1.6961917569256522,-0.27956089284487295,by_weekend,Weekend,NA,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.822534570601055,7.768354260029428,-0.05418031057162764,by_month,NA,01,Month 01
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.791039951179289,7.736859640607661,-0.05418031057162764,by_month,NA,02,Month 02
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.7899951347046,7.735814824132972,-0.05418031057162764,by_month,NA,03,Month 03
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.739135369666269,7.684955059094642,-0.05418031057162764,by_month,NA,04,Month 04
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.67093627978158,7.616755969209953,-0.05418031057162764,by_month,NA,05,Month 05
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.623563400936799,7.5693830903651715,-0.05418031057162764,by_month,NA,06,Month 06
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.631814004801033,7.577633694229405,-0.05418031057162764,by_month,NA,07,Month 07
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.680333099878905,7.626152789307278,-0.05418031057162764,by_month,NA,08,Month 08
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.708265524393398,7.65408521382177,-0.05418031057162764,by_month,NA,09,Month 09
