outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,18,7.34126540554344,7.318917098797318,7.363613712289563,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,18,7.825724164857629,7.728682778890111,7.922765550825147,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,18,7.714518263094259,7.599569460346119,7.829467065842399,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,18,8.39323330602705,8.259130426074469,8.52733618597963,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,18,5.580402187512606,5.456861071805362,5.70394330321985,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,18,7.401376125228902,7.329086015555995,7.473666234901809,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,18,7.594397654477891,7.553700495928749,7.635094813027034,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,18,8.196166123600156,8.108780614389508,8.283551632810804,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,19,7.329742042229287,7.308193413541927,7.351290670916647,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,19,7.797890423022371,7.705372962511172,7.89040788353357,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,19,7.683753197140232,7.57406031708251,7.793446077197955,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,19,8.315094556638167,8.187470584151274,8.44271852912506,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,19,5.646865134358564,5.527986526656766,5.765743742060363,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,19,7.386894724871558,7.317500538467828,7.456288911275288,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,19,7.598716648690425,7.559288099445489,7.638145197935362,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,19,8.160560565303115,8.077484047904264,8.243637082701966,Unable To Work
