outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,day_type,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,7.677473882350136,7.632837768670408,7.722109996029864,Weekday,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,7.71434595479244,7.668749922104266,7.759941987480615,Weekend,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,8.471473432682936,8.256922958728497,8.686023906637375,Weekday,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,8.323830611047137,8.109031580836659,8.538629641257616,Weekend,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,8.447922227510045,8.193518024749588,8.702326430270501,Weekday,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,8.393384521639007,8.138703100133407,8.648065943144607,Weekend,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,10.22521151333667,9.93251125687771,10.517911769795631,Weekday,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,10.027371894949482,9.73444872722701,10.320295062671956,Weekend,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,4.193775234647688,3.9696560514783954,4.4178944178169814,Weekday,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,4.011560194701944,3.7872701531165007,4.235850236287387,Weekend,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,7.787280007372832,7.645262059422977,7.929297955322687,Weekday,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,7.660870541165037,7.518516250930754,7.80322483139932,Weekend,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,7.427064733233762,7.329329121691895,7.524800344775629,Weekday,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,7.400996514377975,7.302880599425569,7.499112429330381,Weekend,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,8.92526765423763,8.732572702314215,9.117962606161043,Weekday,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,8.69516335607722,8.502215187559205,8.888111524595235,Weekend,Unable To Work
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,7.680333099878905,7.635656717636634,7.725009482121177,Weekday,Employed For Wages
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,7.717586651349024,7.671951035339734,7.763222267358315,Weekend,Employed For Wages
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,8.475664778553247,8.261099250315509,8.690230306790985,Weekday,Homemaker
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,8.328596722576718,8.113782600715263,8.543410844438172,Weekend,Homemaker
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,8.452552959068466,8.19813623082476,8.706969687312172,Weekday,Out Of Work Less Than One
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,8.39844343027403,8.14374935179876,8.6531375087493,Weekend,Out Of Work Less Than One
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,10.227006725341278,9.934312461712182,10.519700988970374,Weekday,Out Of Work One Or More
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,10.029607137140124,9.736689945613572,10.322524328666676,Weekend,Out Of Work One Or More
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,4.197782331559483,3.973649357406088,4.421915305712878,Weekday,Retired
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,4.016191971206889,3.791888094144283,4.240495848269495,Weekend,Retired
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,7.789810349789866,7.64778599098351,7.931834708596221,Weekday,Self Employed
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,7.66365569744455,7.521295166169682,7.806016228719417,Weekend,Self Employed
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,7.429980970819175,7.332227260198978,7.527734681439371,Weekday,Student
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,7.40460243661381,7.306468276382184,7.502736596845436,Weekend,Student
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,8.918554461952407,8.72580589386707,9.111303030037744,Weekday,Unable To Work
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,8.689027395315259,8.49602558874191,8.882029201888608,Weekend,Unable To Work
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,5.230208368503039,5.184013882226839,5.2764028547792385,Weekday,Employed For Wages
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,5.892082028984094,5.845060645599883,5.939103412368304,Weekend,Employed For Wages
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,3.9173866500508425,3.700260428275274,4.134512871826411,Weekday,Homemaker
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,4.308036883448576,4.090691585307334,4.525382181589818,Weekend,Homemaker
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,7.2624121660545375,6.9988724085881415,7.525951923520934,Weekday,Out Of Work Less Than One
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,7.785154145397843,7.521371187066467,8.048937103729218,Weekend,Out Of Work Less Than One
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,2.3904784825983656,2.08138528178672,2.6995716834100114,Weekday,Out Of Work One Or More
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,2.7427599911143323,2.4334753452815088,3.052044636947156,Weekend,Out Of Work One Or More
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,-0.9925419690524556,-1.2100638436214175,-0.775020094483494,Weekday,Retired
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,-0.6057013305168399,-0.8233820228324191,-0.3880206382012608,Weekend,Retired
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,4.556608834409747,4.4109153936899315,4.702302275129563,Weekday,Self Employed
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,5.00598953669954,4.860002265037127,5.151976808361954,Weekend,Self Employed
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,5.602328217817354,5.49988669296277,5.704769742671939,Weekday,Student
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,6.121550419893663,6.018785952198745,6.224314887588581,Weekend,Student
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,3.3059018630167096,3.1080426807895907,3.5037610452438286,Weekday,Unable To Work
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,3.618677191172046,3.420596821766145,3.816757560577947,Weekend,Unable To Work
