outcome,batch,category,term,estimate,conf.low,conf.high
duration,base,Demographics,Male,7.373239847861482,7.326957386591046,7.419522309131919
duration,base,Demographics,Female,7.677473882350136,7.632837768670408,7.722109996029864
duration,base,Demographics,Pmi: Skip,7.520994323402384,7.358760976941249,7.683227669863519
duration,base,Demographics,I Prefer Not To Answer,7.534580882367325,6.982702582240323,8.086459182494327
duration,base,Demographics,Sex At Birth: Sex At Birth None Of These,7.549591722698716,6.8126903429837355,8.286493102413697
duration,base,Demographics,No Matching Concept,7.731256495655736,6.603048118890717,8.859464872420755
duration,base,Demographics,Intersex,7.434437122510682,6.884592232062848,7.9842820129585155
duration,dst,Demographics,Male,7.376093495038392,7.329772913506325,7.422414076570458
duration,dst,Demographics,Female,7.680333099878905,7.635656717636634,7.725009482121177
duration,dst,Demographics,Pmi: Skip,7.523122484193331,7.360896863886233,7.685348104500428
duration,dst,Demographics,I Prefer Not To Answer,7.534433311169249,6.982605087204518,8.08626153513398
duration,dst,Demographics,Sex At Birth: Sex At Birth None Of These,7.558440708017406,6.821580883177882,8.29530053285693
duration,dst,Demographics,No Matching Concept,7.73081397719368,6.602709720444086,8.858918233943275
duration,dst,Demographics,Intersex,7.438959763168437,6.889155158429819,7.988764367907056
midpoint,base,Demographics,Male,5.246707394498714,5.197083296388977,5.296331492608452
midpoint,base,Demographics,Female,5.230208368503039,5.184013882226839,5.2764028547792385
midpoint,base,Demographics,Pmi: Skip,5.136835980579005,4.899044495464468,5.374627465693543
midpoint,base,Demographics,I Prefer Not To Answer,6.341039847288957,5.518272628118846,7.163807066459067
midpoint,base,Demographics,Sex At Birth: Sex At Birth None Of These,6.17256912869425,5.095246658546767,7.249891598841733
midpoint,base,Demographics,No Matching Concept,5.376361721787225,3.682266498560685,7.070456945013765
midpoint,base,Demographics,Intersex,5.319196934979227,4.510370154743541,6.128023715214914
midpoint,dst,Demographics,Male,5.258496482202084,5.208806365238708,5.3081865991654595
midpoint,dst,Demographics,Female,5.242070912313074,5.1957998796742695,5.2883419449518785
midpoint,dst,Demographics,Pmi: Skip,5.145227930200101,4.907596625215861,5.382859235184341
midpoint,dst,Demographics,I Prefer Not To Answer,6.339983958238268,5.517813767870004,7.1621541486065325
midpoint,dst,Demographics,Sex At Birth: Sex At Birth None Of These,6.206098097265328,5.1295013897758555,7.282694804754801
midpoint,dst,Demographics,No Matching Concept,5.374452350193386,3.6816056326265274,7.067299067760245
midpoint,dst,Demographics,Intersex,5.336868211673741,4.528603186375558,6.145133236971923
offset,base,Demographics,Male,8.453679095017113,8.397733608142513,8.509624581891714
offset,base,Demographics,Female,8.602833681514355,8.549779844208567,8.655887518820142
offset,base,Demographics,Pmi: Skip,8.523068527129352,8.289368510489576,8.7567685437691285
offset,base,Demographics,I Prefer Not To Answer,9.28967294426609,8.48580354342356,10.093542345108622
offset,base,Demographics,Sex At Birth: Sex At Birth None Of These,8.686550411123683,7.625584444848327,9.74751637739904
offset,base,Demographics,No Matching Concept,9.074880798730277,7.425082174639149,10.7246794228214
offset,base,Demographics,Intersex,8.666479130381692,7.871735515683841,9.461222745079544
offset,dst,Demographics,Male,8.4712218336489,8.415233820333286,8.527209846964512
offset,dst,Demographics,Female,8.620458044391333,8.56734949540683,8.673566593375835
offset,dst,Demographics,Pmi: Skip,8.535865757912202,8.302515282936453,8.76921623288795
offset,dst,Demographics,I Prefer Not To Answer,9.288879562731651,8.486285235838423,10.09147388962488
offset,dst,Demographics,Sex At Birth: Sex At Birth None Of These,8.736501500986916,7.677118525590231,9.795884476383602
offset,dst,Demographics,No Matching Concept,9.07269270210395,7.425553645220031,10.719831758987867
offset,dst,Demographics,Intersex,8.693306899141497,7.899775791665414,9.48683800661758
onset,base,Demographics,Male,1.4912225110033084,1.437214874347166,1.5452301476594508
onset,base,Demographics,Female,1.319855560926538,1.2690292467151496,1.3706818751379262
onset,base,Demographics,Pmi: Skip,1.3877630038012616,1.14778583526571,1.6277401723368132
onset,base,Demographics,I Prefer Not To Answer,2.3403212079614457,1.512471838478774,3.1681705774441173
onset,base,Demographics,Sex At Birth: Sex At Birth None Of These,2.3789541727023455,1.290334791712611,3.4675735536920804
onset,base,Demographics,No Matching Concept,1.623679822369702,-0.07783065545487489,3.325190300194279
onset,base,Demographics,Intersex,1.7160426657393515,0.8997071506203124,2.5323781808583905
