outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,day_type
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,01,NA,NA,7.819677133321286,7.775049058243047,7.864305208399525,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,01,NA,NA,7.85654920576359,7.810963596909995,7.9021348146171855,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,02,NA,NA,7.788175104437142,7.74354179089749,7.832808417976795,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,02,NA,NA,7.825047176879446,7.779455237849876,7.870639115909015,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,03,NA,NA,7.787130647538004,7.742497858155305,7.831763436920703,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,03,NA,NA,7.824002719980308,7.778410848769568,7.869594591191049,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,04,NA,NA,7.736275557304098,7.691639602788993,7.780911511819203,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,04,NA,NA,7.773147629746402,7.727552974113897,7.8187422853789075,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,05,NA,NA,7.668067215999703,7.623432061184693,7.712702370814713,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,05,NA,NA,7.704939288442008,7.659346017490329,7.750532559393686,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,06,NA,NA,7.62069480234172,7.576061134678001,7.66532847000544,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,06,NA,NA,7.657566874784024,7.611974367945569,7.703159381622479,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,07,NA,NA,7.628944580517175,7.584309974615628,7.673579186418722,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,07,NA,NA,7.66581665295948,7.620223908953412,7.711409396965547,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,08,NA,NA,7.677473882350136,7.632837768670408,7.722109996029864,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,08,NA,NA,7.71434595479244,7.668749922104266,7.759941987480615,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,09,NA,NA,7.705407519537808,7.660768229062527,7.75004681001309,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,09,NA,NA,7.742279591980113,7.696683512868538,7.787875671091688,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,10,NA,NA,7.745045676169811,7.7004073552217855,7.789683997117836,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,10,NA,NA,7.781917748612116,7.736321733207739,7.827513764016493,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,11,NA,NA,7.759633037244202,7.714988215315241,7.804277859173164,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,11,NA,NA,7.796505109686507,7.750902392113381,7.842107827259633,Weekend
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,12,NA,NA,7.784523437890712,7.739881274734063,7.829165601047362,Weekday
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,12,NA,NA,7.821395510333016,7.77579520459681,7.866995816069221,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,01,NA,NA,7.822534570601055,7.777866350101342,7.867202791100769,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,01,NA,NA,7.859788122071174,7.814163047899989,7.905413196242358,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,02,NA,NA,7.791039951179289,7.7463665046915615,7.835713397667016,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,02,NA,NA,7.828293502649406,7.782662110757641,7.8739248945411715,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,03,NA,NA,7.7899951347046,7.745322212748525,7.834668056660674,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,03,NA,NA,7.827248686174717,7.7816173629411,7.872880009408334,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,04,NA,NA,7.739135369666269,7.694459282286093,7.783811457046445,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,04,NA,NA,7.776388921136388,7.730754814663917,7.82202302760886,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,05,NA,NA,7.67093627978158,7.626260997865565,7.715611561697595,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,05,NA,NA,7.708189831251699,7.6625571124143885,7.753822550089009,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,06,NA,NA,7.623563400936799,7.57888949721422,7.668237304659378,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,06,NA,NA,7.660816952406917,7.615184893724277,7.706449011089558,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,07,NA,NA,7.631814004801033,7.587139093579025,7.67648891602304,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,07,NA,NA,7.669067556271151,7.623435193278998,7.714699919263304,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,08,NA,NA,7.680333099878905,7.635656717636634,7.725009482121177,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,08,NA,NA,7.717586651349024,7.671951035339734,7.763222267358315,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,09,NA,NA,7.708265524393398,7.663585959429732,7.752945089357064,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,09,NA,NA,7.745519075863517,7.6998834039562976,7.791154747770736,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,10,NA,NA,7.747902007160914,7.703223550252244,7.792580464069585,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,10,NA,NA,7.785155558631032,7.739520087860933,7.83079102940113,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,11,NA,NA,7.762484629786047,7.717799684849761,7.807169574722333,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,11,NA,NA,7.799738181256166,7.7540960193135104,7.845380343198822,Weekend
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,12,NA,NA,7.787363161407128,7.742680861375724,7.832045461438532,Weekday
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,12,NA,NA,7.824616712877247,7.778976951157993,7.8702564745965,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,01,NA,NA,5.218132409057076,5.171947056770964,5.264317761343188,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,01,NA,NA,5.880006069538131,5.832995834367419,5.927016304708842,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,02,NA,NA,5.160322817666336,5.1141322775722005,5.206513357760472,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,02,NA,NA,5.822196478147391,5.775179987664056,5.869212968630726,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,03,NA,NA,5.225215393690702,5.179025333424953,5.271405453956451,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,03,NA,NA,5.887089054171756,5.840072784371225,5.934105323972288,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,04,NA,NA,5.220032153224067,5.173839085469121,5.266225220979013,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,04,NA,NA,5.881905813705122,5.834886856193191,5.928924771217052,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,05,NA,NA,5.194671733034768,5.148478990609222,5.240864475460313,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,05,NA,NA,5.856545393515822,5.809527230882606,5.903563556149039,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,06,NA,NA,5.245341929457191,5.199150744879182,5.2915331140352,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,06,NA,NA,5.907215589938246,5.860198468368535,5.954232711507957,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,07,NA,NA,5.290767810104612,5.244575566691601,5.336960053517622,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,07,NA,NA,5.952641470585666,5.905623992933255,5.9996589482380775,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,08,NA,NA,5.230208368503039,5.184013882226839,5.2764028547792385,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,08,NA,NA,5.892082028984094,5.845060645599883,5.939103412368304,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,09,NA,NA,5.171225161942237,5.125027560421821,5.217422763462653,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,09,NA,NA,5.833098822423292,5.786076906691054,5.880120738155529,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,10,NA,NA,5.1772239589932365,5.131029213936855,5.223418704049618,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,10,NA,NA,5.839097619474291,5.7920777527600436,5.886117486188539,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,11,NA,NA,5.13007259358139,5.0838715356548505,5.176273651507929,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,11,NA,NA,5.791946254062444,5.744919792189704,5.838972715935184,Weekend
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekday,NA,12,NA,NA,5.330545146681125,5.284347808021993,5.376742485340257,Weekday
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,month_x_weekend,NA,Weekend,NA,12,NA,NA,5.99241880716218,5.945396249550177,6.0394413647741825,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,01,NA,NA,5.229991175022728,5.1837293712982895,5.276252978747166,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,01,NA,NA,5.8930238430609085,5.845938368120516,5.940109318001301,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,02,NA,NA,5.17217849429543,5.125911515316307,5.218445473274553,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,02,NA,NA,5.835211162333611,5.788119445564891,5.882302879102331,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,03,NA,NA,5.237080556218099,5.190814060166108,5.28334705227009,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,03,NA,NA,5.9001132242562795,5.85302173165737,5.947204716855189,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,04,NA,NA,5.231890964538265,5.18562146206793,5.2781604670086,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,04,NA,NA,5.894923632576446,5.84782945428994,5.942017810862952,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,05,NA,NA,5.206532307083757,5.1602631346492105,5.252801479518303,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,05,NA,NA,5.869564975121937,5.82247159373882,5.916658356505055,Weekend
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekday,NA,06,NA,NA,5.257203681418034,5.210935967534844,5.303471395301223,Weekday
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,month_x_weekend,NA,Weekend,NA,06,NA,NA,5.920236349456214,5.873143914457456,5.967328784454972,Weekend
