outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,18,7.166231269867429,7.1373540544273775,7.19510848530748
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,18,6.819078612055256,6.757771379565057,6.880385844545454
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,19,7.106655938774076,7.078603421906803,7.134708455641349
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,19,6.759503280961903,6.698577587098636,6.8204289748251705
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,20,7.049313770279693,7.022030359980412,7.0765971805789745
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,20,6.70216111246752,6.64158315938958,6.76273906554546
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,21,6.994204764384278,6.967635471454703,7.0207740573138535
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,21,6.647052106572105,6.586789905622886,6.707314307521325
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,22,6.941328921087831,6.915419597944034,6.967238244231629
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,22,6.594176263275658,6.534199648304687,6.654152878246629
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,23,6.890686240390353,6.865383793680485,6.91598868710022
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,23,6.5435335825781795,6.483814196513872,6.6032529686424875
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,24,6.8422767222918415,6.817529371962176,6.867024072621507
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,24,6.495124064479668,6.435635353612078,6.554612775347259
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,25,6.796100366792299,6.771857882753644,6.820342850830953
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,25,6.448947708980126,6.389664897991965,6.508230519968286
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,26,6.7521571738917245,6.728371129168875,6.775943218614574
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,26,6.4050045160795515,6.345904583685372,6.464104448473731
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,27,6.710447143590118,6.687071132138621,6.733823155041614
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,27,6.363294485777945,6.30435612305773,6.42223284849816
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,28,6.67097027588748,6.647960132099785,6.693980419675174
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,28,6.3238176180753065,6.265021188126264,6.382614048024349
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,29,6.63372657078381,6.611040542028307,6.656412599539313
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,29,6.286573912971637,6.2279013956276454,6.345246430315628
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,30,6.598716028279108,6.576314935800467,6.6211171207577495
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,30,6.251563370466935,6.192998308935561,6.31012843199831
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,31,6.565938648373375,6.543786017201984,6.5880912795447655
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,31,6.2187859905612015,6.160313434450363,6.27725854667204
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,32,6.535394431066609,6.51345654780188,6.5573323143313385
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,32,6.188241773254436,6.129848204264988,6.246635342243884
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,33,6.507083376358812,6.485329338394264,6.528837414323361
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,33,6.159930718546639,6.1016039842293415,6.218257452863937
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,34,6.481005484249983,6.45940721086244,6.502603757637526
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,34,6.13385282643781,6.075582071011741,6.1921235818638785
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,35,6.457160754740122,6.435692925618577,6.478628583861667
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,35,6.110008096927949,6.051783676512799,6.168232517343099
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,36,6.4355491878292295,6.414189177738605,6.456909197919854
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,36,6.088396530017056,6.030209937390964,6.146583122643149
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,37,6.416170783517305,6.394898562741588,6.437443004293023
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,37,6.069018125705132,6.010861912302559,6.127174339107706
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,38,6.399025541804349,6.377823526600862,6.420227557007836
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,38,6.051872883992176,5.993740572464647,6.110005195519705
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,39,6.384113462690361,6.362966362843576,6.405260562537146
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,39,6.036960804878188,5.978846808227435,6.09507480152894
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,40,6.37143454617534,6.350329164904947,6.392539927445734
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,40,6.024281888363167,5.966181418169101,6.082382358557234
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,41,6.36098879225929,6.339913851624262,6.382063732894318
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,41,6.013836134447117,5.9557451235311385,6.071927145363095
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,42,6.352776200942206,6.3317221184572485,6.373830283427164
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,42,6.005623543130033,5.947538554629852,6.063708531630215
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,43,6.34679677222409,6.32575542573842,6.367838118709761
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,43,5.999644114411917,5.941562249781176,6.057725979042658
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,44,6.343050506104944,6.322015032102211,6.364085980107676
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,44,5.9958978482927705,5.937816669698627,6.053979026886914
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,45,6.341537402584764,6.320501929555769,6.362572875613759
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,45,5.994384744772591,5.936302175678804,6.052467313866378
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,46,6.342257461663554,6.321216899836466,6.363298023490641
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,46,5.995104803851381,5.937019051034543,6.053190556668218
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,47,6.3452106833413104,6.324160468635304,6.366260898047317
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,47,5.998058025529137,5.939967485216608,6.056148565841667
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,48,6.350397067618037,6.329332923326314,6.371461211909759
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,48,6.0032444098058635,5.945147580540468,6.061341239071259
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,49,6.35781661449373,6.33673431138182,6.378898917605641
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,49,6.010663956681557,5.952559351647784,6.068768561715331
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,50,6.3674693239683915,6.346364438582953,6.38857420935383
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,50,6.020316666156218,5.962202724639459,6.078430607672978
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,51,6.379355196042022,6.358222871741245,6.400487520342799
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,51,6.032202538229849,5.974077537611721,6.090327538847977
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,52,6.39347423071462,6.372308940790974,6.414639520638266
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,52,6.046321572902447,5.98818354073974,6.104459605065154
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,53,6.409826427986186,6.3886217424230285,6.431031113549343
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,53,6.062673770174013,6.004520396586655,6.12082714376137
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,54,6.428411787856721,6.407160142474869,6.449663433238572
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,54,6.081259130044548,6.023087679570668,6.139430580518428
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,55,6.449230310326223,6.427922785074898,6.470537835577549
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,55,6.10207765251405,6.043884877493978,6.1602704275341225
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,56,6.472281995394694,6.450908101672965,6.493655889116424
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,56,6.125129337582521,6.066911392378427,6.183347282786616
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,57,6.497566843062134,6.476114306549393,6.519019379574875
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,57,6.150414185249961,6.09216653571632,6.208661834783602
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,58,6.525084853328541,6.503539432129367,6.546630274527715
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,58,6.177932195516368,6.1196495374143876,6.236214853618348
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,59,6.554836026193916,6.533181326219857,6.576490726167975
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,59,6.207683368381743,6.149359539948104,6.266007196815383
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,60,6.586820361658261,6.565037694949632,6.60860302836689
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,60,6.239667703846088,6.181295608280017,6.298039799412159
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,61,6.621037859721572,6.599106082609222,6.642969636833923
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,61,6.273885201909399,6.215456715560079,6.332313688258719
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,62,6.657488520383852,6.635383936133988,6.6795931046337165
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,62,6.310335862571679,6.251841758765814,6.368829966377544
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,63,6.696172343645101,6.67386863106261,6.718476056227591
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,63,6.3490196858329275,6.29044955982333,6.407589811842525
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,64,6.7370893295053165,6.714557481957608,6.759621177053025
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,64,6.389936671693143,6.331278859639901,6.448594483746386
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,DST,65,6.780239477964502,6.757447795128256,6.803031160800748
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,age_x_dst,NA,NA,NA,NA,NoDST,65,6.433086820152329,6.374328327770878,6.491845312533779
