outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,01,DST,NA,8.673501175655014,8.620403152599614,8.726599198710414
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,01,NoDST,NA,8.326348517842842,8.250600535052712,8.402096500632972
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,02,DST,NA,8.605031960825956,8.551927569073163,8.65813635257875
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,02,NoDST,NA,8.257879303013784,8.18212677718514,8.333631828842428
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,03,DST,NA,8.670012640587668,8.616909039124577,8.723116242050759
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,03,NoDST,NA,8.322859982775496,8.247107950592758,8.398612014958234
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,04,DST,NA,8.642396973970602,8.58928971246668,8.695504235474523
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,04,NoDST,NA,8.29524431615843,8.219489795592459,8.3709988367244
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,05,DST,NA,8.584668969534876,8.531562231290359,8.637775707779394
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,05,NoDST,NA,8.237516311722704,8.161762064614907,8.313270558830501
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,06,DST,NA,8.610253935079943,8.557149078738563,8.663358791421322
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,06,NoDST,NA,8.26310127726777,8.187350087078972,8.338852467456569
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,07,DST,NA,8.6562388332724165,8.60313282889213,8.709344837652703
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,07,NoDST,NA,8.309086175460244,8.233335230173026,8.384837120747463
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,08,DST,NA,8.620458044391333,8.56734949540683,8.673566593375835
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,08,NoDST,NA,8.27330538657916,8.197552082402677,8.349058690755644
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,09,DST,NA,8.578816855364588,8.525704366153018,8.631929344576157
