outcome,outcome_type,batch,model_method,model_file,estimate_Weekday,estimate_Weekend,weekend_minus_weekday,contrast_scope,employment_status,term
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,7.677473882350136,7.71434595479244,0.0368720724423035,overall,NA,Overall
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.680333099878904,7.717586651349024,0.03725355147011999,overall,NA,Overall
midpoint,ClockTime,base,REML,midpoint_poly_interact_04_5_REML.rds,5.230208368503039,5.892082028984094,0.6618736604810547,overall,NA,Overall
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,5.242070912313073,5.905103580351254,0.6630326680381806,overall,NA,Overall
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,8.602833681514353,9.23564668977421,0.6328130082598573,overall,NA,Overall
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,8.620458044391333,9.254310956480666,0.633852912089333,overall,NA,Overall
onset,ClockTime,base,REML,onset_poly_interact_04_5_REML.rds,1.319855560926538,1.962711347172828,0.6428557862462898,overall,NA,Overall
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,1.3322615094506614,1.9757526497705251,0.6434911403198638,overall,NA,Overall
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,7.677473882350136,7.71434595479244,0.0368720724423035,by_employment,Employed For Wages,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,8.471473432682936,8.323830611047137,-0.14764282163579878,by_employment,Homemaker,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,8.447922227510045,8.393384521639007,-0.0545377058710379,by_employment,Out Of Work Less Than One,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,10.22521151333667,10.027371894949482,-0.19783961838718864,by_employment,Out Of Work One Or More,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,4.193775234647688,4.011560194701944,-0.18221503994574473,by_employment,Retired,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,7.787280007372832,7.660870541165037,-0.1264094662077948,by_employment,Self Employed,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,7.427064733233762,7.400996514377975,-0.02606821885578725,by_employment,Student,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,8.92526765423763,8.69516335607722,-0.23010429816040912,by_employment,Unable To Work,Unable To Work
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.680333099878905,7.717586651349024,0.0372535514701191,by_employment,Employed For Wages,Employed For Wages
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,8.475664778553247,8.328596722576718,-0.14706805597652917,by_employment,Homemaker,Homemaker
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,8.452552959068466,8.39844343027403,-0.0541095287944362,by_employment,Out Of Work Less Than One,Out Of Work Less Than One
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,10.227006725341278,10.029607137140124,-0.19739958820115433,by_employment,Out Of Work One Or More,Out Of Work One Or More
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,4.197782331559483,4.016191971206889,-0.1815903603525939,by_employment,Retired,Retired
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.789810349789866,7.66365569744455,-0.1261546523453152,by_employment,Self Employed,Self Employed
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.429980970819175,7.40460243661381,-0.02537853420536517,by_employment,Student,Student
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,8.918554461952407,8.689027395315259,-0.22952706663714828,by_employment,Unable To Work,Unable To Work
