outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,18,7.681821755353386,6.785447220722931,8.578196289983842
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,19,7.656729822428089,6.806109238147612,8.507350406708566
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,20,7.63211749597861,6.8256955439982905,8.43853944795893
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,21,7.60798477600495,6.844183292258564,8.371786259751337
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,22,7.584331662507111,6.861546717929267,8.307116607084955
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,23,7.56115815548509,6.877756750368003,8.244559560602177
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,24,7.538464254938888,6.8927816211982424,8.184146888679534
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,25,7.516249960868507,6.906585676572456,8.125914245164559
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,26,7.494515273273945,6.919129822769199,8.06990072377869
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,27,7.473260192155201,6.930371166593869,8.016149217716531
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,28,7.452484717512276,6.940264238860872,7.96470519616368
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,29,7.432188849345172,6.9487601873056555,7.915617511384688
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,30,7.412372587653887,6.955809186770146,7.868935988537627
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,31,7.393035932438421,6.961361524547371,7.824710340329471
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,32,7.374178883698774,6.965370198602233,7.782987568795315
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,33,7.355801441434947,6.967793545595546,7.743809337274348
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,34,7.3379036056469396,6.968600857740109,7.707206353553771
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,35,7.320485376334751,6.9677753896845935,7.673195362984908
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,36,7.303546753498381,6.96532100237695,7.641772504619812
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_main,NA,NA,NA,NA,NA,37,7.287087737137831,6.961265959619962,7.6129095146557
