outcome,outcome_type,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,batch
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,18,-1.0615319667350127,-2.5252295145122705,0.4021655810422453,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,19,-1.027366854235325,-2.407469484051944,0.35273577558129454,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,20,-0.9932017417356374,-2.2901086099163543,0.30370512644507963,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,21,-0.9590372098534125,-2.1732309371806897,0.2551565174738649,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,22,-0.92491436008862,-2.05707885876382,0.20725013858658017,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,23,-0.8909406077765794,-1.942138564855498,0.16025734930233937,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,24,-0.8572295031393131,-1.8289378574925867,0.11447885121396052,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,25,-0.8238945963988438,-1.718030987438143,0.07024179464045543,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,26,-0.7910494377771942,-1.6100056736227222,0.02790679806833396,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,27,-0.7588075774963867,-1.5054918346729518,-0.01212332031982177,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,28,-0.727282565778444,-1.4051715773418292,-0.04939355421505886,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,29,-0.6965879528453884,-1.309789983337691,-0.08338592235308595,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,30,-0.6668372889192429,-1.2201625464777188,-0.11351203136076682,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,31,-0.6381441242220296,-1.1371736318610841,-0.13911461658297497,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,32,-0.6106220089757717,-1.061751992610763,-0.1594920253407804,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,33,-0.584384493402491,-0.9948052597217802,-0.1739637270832018,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,34,-0.5595451277242108,-0.937091857337486,-0.1819983981109357,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,35,-0.5362174621629532,-0.8890333375011052,-0.18340158682480112,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,36,-0.514515046940741,-0.8505156566648027,-0.1785144372166793,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,37,-0.4945514322795967,-0.8207829398972342,-0.16831992466195922,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,38,-0.47644016840154274,-0.7985093262083942,-0.15437101059469127,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,39,-0.4602948055286019,-0.7820319125536037,-0.13855769850360017,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,40,-0.4462288938827966,-0.7696313811538043,-0.1228264066117889,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,41,-0.4343559836861498,-0.7597490975603478,-0.1089628698119518,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,42,-0.4247896251606836,-0.7511044245722991,-0.09847482574906802,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,43,-0.41764336852842066,-0.7427373086957321,-0.09254942836110924,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,44,-0.4130307640113838,-0.7340203115358797,-0.09204121648688784,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,45,-0.4110218759461332,-0.724710945680278,-0.09733280621198832,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,46,-0.4113749597339942,-0.7151633288976216,-0.1075865905703668,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,47,-0.4137121792897958,-0.7061201637261953,-0.12130419485339627,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,48,-0.4176551312752766,-0.6985209835657948,-0.13678927898475834,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,49,-0.422825412352174,-0.6933960734877391,-0.15225475121660875,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,50,-0.4288446191822257,-0.6917070913299188,-0.16598214703453257,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,51,-0.4353343484271698,-0.6941259892986091,-0.17654270755573037,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,52,-0.4419161967487442,-0.7008018184819902,-0.1830305750154984,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,53,-0.4482117608086867,-0.7112181639174874,-0.185205357699886,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,54,-0.45384263726873497,-0.7242236601106674,-0.18346161442680253,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,55,-0.4584304227906268,-0.7382175891015131,-0.17864325647974044,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,56,-0.46160218568941574,-0.75140250511593,-0.1718018662629015,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,57,-0.4631713069284733,-0.7624193071242318,-0.1639233067327147,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,58,-0.463178942211958,-0.7706778983772788,-0.15567998604663713,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,59,-0.4616801164067562,-0.7759026834725434,-0.1474575493409691,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,60,-0.45872985437975367,-0.7780317013352906,-0.13942800742421668,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,61,-0.4543831809978365,-0.7771673292781176,-0.13159903271755535,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,62,-0.4486951211278905,-0.7735448094886748,-0.1238454327671063,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,63,-0.4417206996368015,-0.7675129586024441,-0.11592844067115898,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,64,-0.4335149413914555,-0.7595224237085225,-0.10750745907438848,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,65,-0.4241328712587388,-0.7501162705261757,-0.09814947199130186,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,66,-0.4136295141055369,-0.7399187837445087,-0.08734024446656502,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,67,-0.4020598947987361,-0.7296171189440193,-0.07450267065345284,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,68,-0.38947903820522234,-0.7199323629299201,-0.0590257134805246,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,69,-0.3759419691918812,-0.7115780480525071,-0.04030589033125537,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,70,-0.3615037126255988,-0.7052094616393888,-0.01779796361180885,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,71,-0.34621929337326146,-0.7013721808429475,0.00893359409642458,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,72,-0.3301437363017546,-0.7004619624108093,0.04017448980730004,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,73,-0.3133320662779645,-0.7027064069263872,0.07604227437045818,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,74,-0.2958393081687771,-0.7081714694957467,0.11649285315819248,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,75,-0.27772048684107814,-0.7167878828868448,0.16134690920468853,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,76,-0.2590306271617538,-0.7283875654242175,0.21032631110070987,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,77,-0.2398247539976899,-0.7427402892547664,0.2630907812593867,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,78,-0.2201578922157723,-0.7595841833221258,0.31926839889058123,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,79,-0.20008506668288728,-0.778647828921171,0.37847769555539645,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,80,-0.17966130226592072,-0.7996644015838247,0.4403417970519833,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,81,-0.15894162383175814,-0.8223795891520045,0.5044963414884882,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,82,-0.13798105624728604,-0.8465551213028999,0.5705930088083278,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,83,-0.11683462437938992,-0.8719697025634183,0.6383004538046384,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,84,-0.0955573530949562,-0.8984183557974598,0.7073036496075474,pooled
onset,ClockTime,primary,age_main,NA,NA,NA,NA,NA,85,-0.07420426726087029,-0.9257110978958294,0.7773025633740889,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,18,2.977398961662832,1.3949488195119246,4.55984910381374,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,19,2.9897255420930717,1.4976721386027438,4.481778945583399,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,20,3.002052122523312,1.5999643879936465,4.404139857052977,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,21,3.01437849518702,1.7017348460763015,4.327022144297739,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,22,3.026689952438193,1.8027512464781976,4.250628658398188,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,23,3.0389480570731195,1.9025652665048256,4.175330847641414,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,24,3.051112176597358,2.000689116232234,4.101535236962482,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,25,3.063141678516465,2.096604615212038,4.029678741820892,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,26,3.074995930336,2.189758748015575,3.960233112656425,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,27,3.0866342995615197,2.27955296915133,3.8937156299717097,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,28,3.098016153698582,2.365330896811877,3.830701410585287,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,29,3.1091008602527457,2.446368280004573,3.7718334405009184,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,30,3.119847786729568,2.521866063475932,3.717829509983204,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,31,3.130216300634607,2.5909484586159697,3.669484142653244,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,32,3.140165769473421,2.652692481768399,3.627639057178443,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,33,3.149655560751567,2.706197886378366,3.5931132351247683,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,34,3.158645041974603,2.7507248442328973,3.5665652397163083,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,35,3.167093580648088,2.78589874825492,3.548288413041256,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,36,3.1749605442775786,2.811926167957246,3.537994920597911,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,37,3.1822053003686332,2.829707631325966,3.5347029694113004,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,38,3.18878721642681,2.840762609761455,3.536811823092165,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,39,3.1946656599576664,2.846973246535665,3.542358073379668,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,40,3.1997999984667604,2.8502838051838446,3.5493161917496763,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,41,3.20414959945965,2.852462412366279,3.555836786553021,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,42,3.2076738304418937,2.8549770697673424,3.560370591116445,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,43,3.210332058919048,2.8589483067389447,3.5617158110991514,pooled
midpoint,ClockTime,primary,age_main,NA,NA,NA,NA,NA,44,3.2120836523966716,2.86513630163463,3.5590310031587133,pooled
