batch,age_at_sleep,is_weekend_factor,dst_observes,series,estimate,facet_key
base,18,Weekday,NA,Derived from Onset+Offset,8.111469409447356,All | Weekday | AllDST
base,19,Weekday,NA,Derived from Onset+Offset,8.065271427795345,All | Weekday | AllDST
base,20,Weekday,NA,Derived from Onset+Offset,8.019073446143338,All | Weekday | AllDST
base,21,Weekday,NA,Derived from Onset+Offset,7.972876243552303,All | Weekday | AllDST
base,22,Weekday,NA,Derived from Onset+Offset,7.926734969198177,All | Weekday | AllDST
base,23,Weekday,NA,Derived from Onset+Offset,7.880793750843456,All | Weekday | AllDST
base,24,Weekday,NA,Derived from Onset+Offset,7.835204947919708,All | Weekday | AllDST
base,25,Weekday,NA,Derived from Onset+Offset,7.790120919858498,All | Weekday | AllDST
base,26,Weekday,NA,Derived from Onset+Offset,7.745694026091391,All | Weekday | AllDST
base,27,Weekday,NA,Derived from Onset+Offset,7.702076626049954,All | Weekday | AllDST
base,28,Weekday,NA,Derived from Onset+Offset,7.659421079165757,All | Weekday | AllDST
base,29,Weekday,NA,Derived from Onset+Offset,7.617879744870363,All | Weekday | AllDST
base,30,Weekday,NA,Derived from Onset+Offset,7.577604982595339,All | Weekday | AllDST
base,31,Weekday,NA,Derived from Onset+Offset,7.5387491517722545,All | Weekday | AllDST
base,32,Weekday,NA,Derived from Onset+Offset,7.501464611832674,All | Weekday | AllDST
base,33,Weekday,NA,Derived from Onset+Offset,7.465903722208165,All | Weekday | AllDST
base,34,Weekday,NA,Derived from Onset+Offset,7.432218842330293,All | Weekday | AllDST
base,35,Weekday,NA,Derived from Onset+Offset,7.400562331630626,All | Weekday | AllDST
base,36,Weekday,NA,Derived from Onset+Offset,7.37108654954073,All | Weekday | AllDST
base,37,Weekday,NA,Derived from Onset+Offset,7.343943855492172,All | Weekday | AllDST
base,38,Weekday,NA,Derived from Onset+Offset,7.319286608916519,All | Weekday | AllDST
base,39,Weekday,NA,Derived from Onset+Offset,7.297267169245336,All | Weekday | AllDST
base,40,Weekday,NA,Derived from Onset+Offset,7.278037895910191,All | Weekday | AllDST
base,41,Weekday,NA,Derived from Onset+Offset,7.261751148342651,All | Weekday | AllDST
base,42,Weekday,NA,Derived from Onset+Offset,7.248559285974282,All | Weekday | AllDST
base,43,Weekday,NA,Derived from Onset+Offset,7.238614668236651,All | Weekday | AllDST
base,44,Weekday,NA,Derived from Onset+Offset,7.2320696545613234,All | Weekday | AllDST
base,45,Weekday,NA,Derived from Onset+Offset,7.229009966383066,All | Weekday | AllDST
base,46,Weekday,NA,Derived from Onset+Offset,7.229043507504362,All | Weekday | AllDST
base,47,Weekday,NA,Derived from Onset+Offset,7.23156963442676,All | Weekday | AllDST
base,48,Weekday,NA,Derived from Onset+Offset,7.235986834390224,All | Weekday | AllDST
base,49,Weekday,NA,Derived from Onset+Offset,7.24169359463472,All | Weekday | AllDST
base,50,Weekday,NA,Derived from Onset+Offset,7.248088402400209,All | Weekday | AllDST
base,51,Weekday,NA,Derived from Onset+Offset,7.254569744926659,All | Weekday | AllDST
base,52,Weekday,NA,Derived from Onset+Offset,7.2605361094540335,All | Weekday | AllDST
base,53,Weekday,NA,Derived from Onset+Offset,7.265385983222296,All | Weekday | AllDST
base,54,Weekday,NA,Derived from Onset+Offset,7.268517853471411,All | Weekday | AllDST
base,55,Weekday,NA,Derived from Onset+Offset,7.269330207441342,All | Weekday | AllDST
base,56,Weekday,NA,Derived from Onset+Offset,7.267230510336697,All | Weekday | AllDST
base,57,Weekday,NA,Derived from Onset+Offset,7.261931931739215,All | Weekday | AllDST
base,58,Weekday,NA,Derived from Onset+Offset,7.253521377184095,All | Weekday | AllDST
base,59,Weekday,NA,Derived from Onset+Offset,7.242108508921074,All | Weekday | AllDST
base,60,Weekday,NA,Derived from Onset+Offset,7.227802989199891,All | Weekday | AllDST
base,61,Weekday,NA,Derived from Onset+Offset,7.210714480270282,All | Weekday | AllDST
base,62,Weekday,NA,Derived from Onset+Offset,7.190952644381982,All | Weekday | AllDST
base,63,Weekday,NA,Derived from Onset+Offset,7.1686271437847315,All | Weekday | AllDST
base,64,Weekday,NA,Derived from Onset+Offset,7.143847640728268,All | Weekday | AllDST
base,65,Weekday,NA,Derived from Onset+Offset,7.116723797462326,All | Weekday | AllDST
base,66,Weekday,NA,Derived from Onset+Offset,7.087365276236646,All | Weekday | AllDST
