batch,age_at_sleep,is_weekend_factor,dst_observes,series,estimate,facet_key
base,18,Weekday,NA,Derived from Onset+Offset,7.784683104544555,All | Weekday | AllDST
base,19,Weekday,NA,Derived from Onset+Offset,7.753236994874178,All | Weekday | AllDST
base,20,Weekday,NA,Derived from Onset+Offset,7.722394675294578,All | Weekday | AllDST
base,21,Weekday,NA,Derived from Onset+Offset,7.692156145805756,All | Weekday | AllDST
base,22,Weekday,NA,Derived from Onset+Offset,7.66252140640771,All | Weekday | AllDST
base,23,Weekday,NA,Derived from Onset+Offset,7.63349045710044,All | Weekday | AllDST
base,24,Weekday,NA,Derived from Onset+Offset,7.605063297883946,All | Weekday | AllDST
base,25,Weekday,NA,Derived from Onset+Offset,7.577239928758231,All | Weekday | AllDST
base,26,Weekday,NA,Derived from Onset+Offset,7.550020349723291,All | Weekday | AllDST
base,27,Weekday,NA,Derived from Onset+Offset,7.523404560779128,All | Weekday | AllDST
base,28,Weekday,NA,Derived from Onset+Offset,7.497392561925741,All | Weekday | AllDST
base,29,Weekday,NA,Derived from Onset+Offset,7.471984353163131,All | Weekday | AllDST
base,30,Weekday,NA,Derived from Onset+Offset,7.447179934491298,All | Weekday | AllDST
base,31,Weekday,NA,Derived from Onset+Offset,7.42297930591024,All | Weekday | AllDST
base,32,Weekday,NA,Derived from Onset+Offset,7.39938246741996,All | Weekday | AllDST
base,33,Weekday,NA,Derived from Onset+Offset,7.376389419020456,All | Weekday | AllDST
base,34,Weekday,NA,Derived from Onset+Offset,7.354000160711729,All | Weekday | AllDST
base,35,Weekday,NA,Derived from Onset+Offset,7.332214692493779,All | Weekday | AllDST
base,36,Weekday,NA,Derived from Onset+Offset,7.311033014366604,All | Weekday | AllDST
base,37,Weekday,NA,Derived from Onset+Offset,7.290455126330206,All | Weekday | AllDST
base,38,Weekday,NA,Derived from Onset+Offset,7.2704810283845855,All | Weekday | AllDST
base,39,Weekday,NA,Derived from Onset+Offset,7.251110720529741,All | Weekday | AllDST
base,40,Weekday,NA,Derived from Onset+Offset,7.232344202765674,All | Weekday | AllDST
base,41,Weekday,NA,Derived from Onset+Offset,7.214181475092383,All | Weekday | AllDST
base,42,Weekday,NA,Derived from Onset+Offset,7.196622537509868,All | Weekday | AllDST
base,43,Weekday,NA,Derived from Onset+Offset,7.17966739001813,All | Weekday | AllDST
base,44,Weekday,NA,Derived from Onset+Offset,7.163316032617169,All | Weekday | AllDST
base,45,Weekday,NA,Derived from Onset+Offset,7.147568465306984,All | Weekday | AllDST
base,46,Weekday,NA,Derived from Onset+Offset,7.132424688087575,All | Weekday | AllDST
base,47,Weekday,NA,Derived from Onset+Offset,7.117884700958943,All | Weekday | AllDST
base,48,Weekday,NA,Derived from Onset+Offset,7.10394850392109,All | Weekday | AllDST
base,49,Weekday,NA,Derived from Onset+Offset,7.090616096974011,All | Weekday | AllDST
base,50,Weekday,NA,Derived from Onset+Offset,7.077887480117709,All | Weekday | AllDST
base,51,Weekday,NA,Derived from Onset+Offset,7.065762653352183,All | Weekday | AllDST
base,52,Weekday,NA,Derived from Onset+Offset,7.054241616677434,All | Weekday | AllDST
base,53,Weekday,NA,Derived from Onset+Offset,7.043324370093462,All | Weekday | AllDST
base,54,Weekday,NA,Derived from Onset+Offset,7.033010913600266,All | Weekday | AllDST
base,55,Weekday,NA,Derived from Onset+Offset,7.023301247197847,All | Weekday | AllDST
base,56,Weekday,NA,Derived from Onset+Offset,7.014195370886204,All | Weekday | AllDST
base,57,Weekday,NA,Derived from Onset+Offset,7.005693284665339,All | Weekday | AllDST
base,58,Weekday,NA,Derived from Onset+Offset,6.997794988535249,All | Weekday | AllDST
base,59,Weekday,NA,Derived from Onset+Offset,6.9905004824959365,All | Weekday | AllDST
base,60,Weekday,NA,Derived from Onset+Offset,6.983809766547401,All | Weekday | AllDST
base,61,Weekday,NA,Derived from Onset+Offset,6.9777228406896405,All | Weekday | AllDST
base,62,Weekday,NA,Derived from Onset+Offset,6.972239704922656,All | Weekday | AllDST
base,63,Weekday,NA,Derived from Onset+Offset,6.96736035924645,All | Weekday | AllDST
base,64,Weekday,NA,Derived from Onset+Offset,6.963084803661022,All | Weekday | AllDST
base,65,Weekday,NA,Derived from Onset+Offset,6.9594130381663675,All | Weekday | AllDST
base,66,Weekday,NA,Derived from Onset+Offset,6.956345062762491,All | Weekday | AllDST
base,67,Weekday,NA,Derived from Onset+Offset,6.953880877449391,All | Weekday | AllDST
base,68,Weekday,NA,Derived from Onset+Offset,6.952020482227066,All | Weekday | AllDST
base,69,Weekday,NA,Derived from Onset+Offset,6.950763877095519,All | Weekday | AllDST
base,70,Weekday,NA,Derived from Onset+Offset,6.9501110620547495,All | Weekday | AllDST
base,71,Weekday,NA,Derived from Onset+Offset,6.950062037104755,All | Weekday | AllDST
base,72,Weekday,NA,Derived from Onset+Offset,6.950616802245539,All | Weekday | AllDST
base,73,Weekday,NA,Derived from Onset+Offset,6.951775357477098,All | Weekday | AllDST
