batch,strata,series,difference
base,Overall | Employed For Wages | Weekday | AllDST,Direct Duration Model,-0.2384717618905423
base,Overall | Employed For Wages | Weekday | AllDST,Duration Model Adjusted for Midpoint,-0.07163646239987109
base,Overall | Employed For Wages | Weekend | AllDST,Direct Duration Model,0.03905218962864154
base,Overall | Employed For Wages | Weekend | AllDST,Duration Model Adjusted for Midpoint,0.03411704000906113
base,Overall | Homemaker | Weekday | AllDST,Direct Duration Model,-0.16760435211238445
base,Overall | Homemaker | Weekday | AllDST,Duration Model Adjusted for Midpoint,-0.24591548325677337
base,Overall | Homemaker | Weekend | AllDST,Direct Duration Model,0.02060721886226524
base,Overall | Homemaker | Weekend | AllDST,Duration Model Adjusted for Midpoint,-0.2159526423981415
base,Overall | Out Of Work Less Than One | Weekday | AllDST,Direct Duration Model,-0.7052944411201197
base,Overall | Out Of Work Less Than One | Weekday | AllDST,Duration Model Adjusted for Midpoint,4.327111721584911
base,Overall | Out Of Work Less Than One | Weekend | AllDST,Direct Duration Model,-24.37075204936556
base,Overall | Out Of Work Less Than One | Weekend | AllDST,Duration Model Adjusted for Midpoint,-19.532226141794993
base,Overall | Out Of Work One Or More | Weekday | AllDST,Direct Duration Model,1.4812433964735785
base,Overall | Out Of Work One Or More | Weekday | AllDST,Duration Model Adjusted for Midpoint,-0.3638927161484524
base,Overall | Out Of Work One Or More | Weekend | AllDST,Direct Duration Model,1.590123472879272
base,Overall | Out Of Work One Or More | Weekend | AllDST,Duration Model Adjusted for Midpoint,-0.44405876814635725
base,Overall | Retired | Weekday | AllDST,Direct Duration Model,0.1090275472653346
base,Overall | Retired | Weekday | AllDST,Duration Model Adjusted for Midpoint,-0.3859061523146927
base,Overall | Retired | Weekend | AllDST,Direct Duration Model,0.39179193118015654
base,Overall | Retired | Weekend | AllDST,Duration Model Adjusted for Midpoint,-0.25294936753020814
base,Overall | Self Employed | Weekday | AllDST,Direct Duration Model,-1.467047896281768
base,Overall | Self Employed | Weekday | AllDST,Duration Model Adjusted for Midpoint,-2.125224173372123
base,Overall | Self Employed | Weekend | AllDST,Direct Duration Model,-1.3275987904976103
base,Overall | Self Employed | Weekend | AllDST,Duration Model Adjusted for Midpoint,-2.1079676531365337
base,Overall | Student | Weekday | AllDST,Direct Duration Model,-0.00870818584842769
base,Overall | Student | Weekday | AllDST,Duration Model Adjusted for Midpoint,0.3998990246897875
base,Overall | Student | Weekend | AllDST,Direct Duration Model,0.2646362244607019
base,Overall | Student | Weekend | AllDST,Duration Model Adjusted for Midpoint,0.4356002517880953
base,Overall | Unable To Work | Weekday | AllDST,Direct Duration Model,-0.06739707735311651
base,Overall | Unable To Work | Weekday | AllDST,Duration Model Adjusted for Midpoint,0.672859045565886
base,Overall | Unable To Work | Weekend | AllDST,Direct Duration Model,0.06766298841763607
base,Overall | Unable To Work | Weekend | AllDST,Duration Model Adjusted for Midpoint,0.6917246386055194
dst,Overall | Employed For Wages | Weekday | DST,Direct Duration Model,-0.0557357033642365
dst,Overall | Employed For Wages | Weekday | DST,Duration Model Adjusted for Midpoint,0.3991774918632762
dst,Overall | Employed For Wages | Weekday | NoDST,Direct Duration Model,-0.07505701851714175
dst,Overall | Employed For Wages | Weekday | NoDST,Duration Model Adjusted for Midpoint,0.3775151441691076
dst,Overall | Employed For Wages | Weekend | DST,Direct Duration Model,0.19851484166250263
dst,Overall | Employed For Wages | Weekend | DST,Duration Model Adjusted for Midpoint,0.4766651792063197
dst,Overall | Employed For Wages | Weekend | NoDST,Direct Duration Model,0.1298887161856852
dst,Overall | Employed For Wages | Weekend | NoDST,Duration Model Adjusted for Midpoint,0.4100078781324852
dst,Overall | Homemaker | Weekday | DST,Direct Duration Model,-0.21093950830948496
dst,Overall | Homemaker | Weekday | DST,Duration Model Adjusted for Midpoint,-0.27189982042917116
dst,Overall | Homemaker | Weekday | NoDST,Direct Duration Model,-0.23026082346239107
dst,Overall | Homemaker | Weekday | NoDST,Duration Model Adjusted for Midpoint,-0.2935621681233407
dst,Overall | Homemaker | Weekend | DST,Direct Duration Model,-0.03338523196081233
dst,Overall | Homemaker | Weekend | DST,Duration Model Adjusted for Midpoint,-0.25863782132379853
dst,Overall | Homemaker | Weekend | NoDST,Direct Duration Model,-0.10201135743763068
dst,Overall | Homemaker | Weekend | NoDST,Duration Model Adjusted for Midpoint,-0.3252951223976339
