batch,age_at_sleep,is_weekend_factor,dst_observes,series,estimate,facet_key
base,18,Weekday,NA,Derived from Onset+Offset,3.0081979324349293,All | Weekday | AllDST
base,19,Weekday,NA,Derived from Onset+Offset,3.023811675217222,All | Weekday | AllDST
base,20,Weekday,NA,Derived from Onset+Offset,3.039425417999517,All | Weekday | AllDST
base,21,Weekday,NA,Derived from Onset+Offset,3.05503884855806,All | Weekday | AllDST
base,22,Weekday,NA,Derived from Onset+Offset,3.0706298647941157,All | Weekday | AllDST
base,23,Weekday,NA,Derived from Onset+Offset,3.0861407047197096,All | Weekday | AllDST
base,24,Weekday,NA,Derived from Onset+Offset,3.101510307346303,All | Weekday | AllDST
base,25,Weekday,NA,Derived from Onset+Offset,3.1166776116853545,All | Weekday | AllDST
base,26,Weekday,NA,Derived from Onset+Offset,3.131581556748323,All | Weekday | AllDST
base,27,Weekday,NA,Derived from Onset+Offset,3.146161081546669,All | Weekday | AllDST
base,28,Weekday,NA,Derived from Onset+Offset,3.1603551250918533,All | Weekday | AllDST
base,29,Weekday,NA,Derived from Onset+Offset,3.1741026263953347,All | Weekday | AllDST
base,30,Weekday,NA,Derived from Onset+Offset,3.1873425244685727,All | Weekday | AllDST
base,31,Weekday,NA,Derived from Onset+Offset,3.2000137583230273,All | Weekday | AllDST
base,32,Weekday,NA,Derived from Onset+Offset,3.2120552669701588,All | Weekday | AllDST
base,33,Weekday,NA,Derived from Onset+Offset,3.223405989421427,All | Weekday | AllDST
base,34,Weekday,NA,Derived from Onset+Offset,3.2340048646882904,All | Weekday | AllDST
base,35,Weekday,NA,Derived from Onset+Offset,3.2437908317822104,All | Weekday | AllDST
base,36,Weekday,NA,Derived from Onset+Offset,3.252702829714646,All | Weekday | AllDST
base,37,Weekday,NA,Derived from Onset+Offset,3.260679797497057,All | Weekday | AllDST
base,38,Weekday,NA,Derived from Onset+Offset,3.267660674140904,All | Weekday | AllDST
base,39,Weekday,NA,Derived from Onset+Offset,3.2735843986576447,All | Weekday | AllDST
base,40,Weekday,NA,Derived from Onset+Offset,3.278389910058741,All | Weekday | AllDST
base,41,Weekday,NA,Derived from Onset+Offset,3.2820161473556517,All | Weekday | AllDST
base,42,Weekday,NA,Derived from Onset+Offset,3.284402049559837,All | Weekday | AllDST
base,43,Weekday,NA,Derived from Onset+Offset,3.285486555682757,All | Weekday | AllDST
base,44,Weekday,NA,Derived from Onset+Offset,3.2852086047358697,All | Weekday | AllDST
base,45,Weekday,NA,Derived from Onset+Offset,3.283526252589977,All | Weekday | AllDST
base,46,Weekday,NA,Derived from Onset+Offset,3.2805346296515028,All | Weekday | AllDST
base,47,Weekday,NA,Derived from Onset+Offset,3.276388693596732,All | Weekday | AllDST
base,48,Weekday,NA,Derived from Onset+Offset,3.2712436514724637,All | Weekday | AllDST
base,49,Weekday,NA,Derived from Onset+Offset,3.265254710325497,All | Weekday | AllDST
base,50,Weekday,NA,Derived from Onset+Offset,3.2585770772026303,All | Weekday | AllDST
base,51,Weekday,NA,Derived from Onset+Offset,3.2513659591506627,All | Weekday | AllDST
base,52,Weekday,NA,Derived from Onset+Offset,3.243776563216394,All | Weekday | AllDST
base,53,Weekday,NA,Derived from Onset+Offset,3.235964096446622,All | Weekday | AllDST
base,54,Weekday,NA,Derived from Onset+Offset,3.2280837658881456,All | Weekday | AllDST
base,55,Weekday,NA,Derived from Onset+Offset,3.2202907785877644,All | Weekday | AllDST
base,56,Weekday,NA,Derived from Onset+Offset,3.2127382415610266,All | Weekday | AllDST
base,57,Weekday,NA,Derived from Onset+Offset,3.205507754664456,All | Weekday | AllDST
base,58,Weekday,NA,Derived from Onset+Offset,3.1985934973633228,All | Weekday | AllDST
base,59,Weekday,NA,Derived from Onset+Offset,3.191984326111102,All | Weekday | AllDST
base,60,Weekday,NA,Derived from Onset+Offset,3.1856690973612687,All | Weekday | AllDST
base,61,Weekday,NA,Derived from Onset+Offset,3.179636667567298,All | Weekday | AllDST
base,62,Weekday,NA,Derived from Onset+Offset,3.1738758931826623,All | Weekday | AllDST
base,63,Weekday,NA,Derived from Onset+Offset,3.1683756306608397,All | Weekday | AllDST
