batch,age_at_sleep,is_weekend_factor,dst_observes,series,estimate,facet_key
base,18,Weekday,NA,Derived from Onset+Offset,3.111489678420293,All | Weekday | AllDST
base,19,Weekday,NA,Derived from Onset+Offset,3.119799877476928,All | Weekday | AllDST
base,20,Weekday,NA,Derived from Onset+Offset,3.1278430440092952,All | Weekday | AllDST
base,21,Weekday,NA,Derived from Onset+Offset,3.1356191780173965,All | Weekday | AllDST
base,22,Weekday,NA,Derived from Onset+Offset,3.14312827950123,All | Weekday | AllDST
base,23,Weekday,NA,Derived from Onset+Offset,3.150370348460796,All | Weekday | AllDST
base,24,Weekday,NA,Derived from Onset+Offset,3.1573453848960935,All | Weekday | AllDST
base,25,Weekday,NA,Derived from Onset+Offset,3.164053388807125,All | Weekday | AllDST
base,26,Weekday,NA,Derived from Onset+Offset,3.1704943601938895,All | Weekday | AllDST
base,27,Weekday,NA,Derived from Onset+Offset,3.1766682990563857,All | Weekday | AllDST
base,28,Weekday,NA,Derived from Onset+Offset,3.1825752053946146,All | Weekday | AllDST
base,29,Weekday,NA,Derived from Onset+Offset,3.188215079208576,All | Weekday | AllDST
base,30,Weekday,NA,Derived from Onset+Offset,3.193587920498271,All | Weekday | AllDST
base,31,Weekday,NA,Derived from Onset+Offset,3.1986937292636974,All | Weekday | AllDST
base,32,Weekday,NA,Derived from Onset+Offset,3.203532505504857,All | Weekday | AllDST
base,33,Weekday,NA,Derived from Onset+Offset,3.2081042492217495,All | Weekday | AllDST
base,34,Weekday,NA,Derived from Onset+Offset,3.212408960414374,All | Weekday | AllDST
base,35,Weekday,NA,Derived from Onset+Offset,3.2164466390827324,All | Weekday | AllDST
base,36,Weekday,NA,Derived from Onset+Offset,3.220217285226822,All | Weekday | AllDST
base,37,Weekday,NA,Derived from Onset+Offset,3.223720898846645,All | Weekday | AllDST
base,38,Weekday,NA,Derived from Onset+Offset,3.2269574799422003,All | Weekday | AllDST
base,39,Weekday,NA,Derived from Onset+Offset,3.2299270285134885,All | Weekday | AllDST
base,40,Weekday,NA,Derived from Onset+Offset,3.2326295445605093,All | Weekday | AllDST
base,41,Weekday,NA,Derived from Onset+Offset,3.235065028083263,All | Weekday | AllDST
base,42,Weekday,NA,Derived from Onset+Offset,3.2372334790817487,All | Weekday | AllDST
base,43,Weekday,NA,Derived from Onset+Offset,3.2391348975559673,All | Weekday | AllDST
base,44,Weekday,NA,Derived from Onset+Offset,3.2407692835059185,All | Weekday | AllDST
base,45,Weekday,NA,Derived from Onset+Offset,3.242136636931602,All | Weekday | AllDST
base,46,Weekday,NA,Derived from Onset+Offset,3.2432369578330182,All | Weekday | AllDST
base,47,Weekday,NA,Derived from Onset+Offset,3.2440702462101676,All | Weekday | AllDST
base,48,Weekday,NA,Derived from Onset+Offset,3.24463650206305,All | Weekday | AllDST
base,49,Weekday,NA,Derived from Onset+Offset,3.2449357253916644,All | Weekday | AllDST
base,50,Weekday,NA,Derived from Onset+Offset,3.244967916196011,All | Weekday | AllDST
base,51,Weekday,NA,Derived from Onset+Offset,3.244733074476091,All | Weekday | AllDST
base,52,Weekday,NA,Derived from Onset+Offset,3.244231200231903,All | Weekday | AllDST
base,53,Weekday,NA,Derived from Onset+Offset,3.2434622934634483,All | Weekday | AllDST
base,54,Weekday,NA,Derived from Onset+Offset,3.2424263541707252,All | Weekday | AllDST
base,55,Weekday,NA,Derived from Onset+Offset,3.241123382353736,All | Weekday | AllDST
base,56,Weekday,NA,Derived from Onset+Offset,3.2395533780124786,All | Weekday | AllDST
base,57,Weekday,NA,Derived from Onset+Offset,3.2377163411469545,All | Weekday | AllDST
base,58,Weekday,NA,Derived from Onset+Offset,3.2356122717571623,All | Weekday | AllDST
base,59,Weekday,NA,Derived from Onset+Offset,3.233241169843103,All | Weekday | AllDST
base,60,Weekday,NA,Derived from Onset+Offset,3.230603035404777,All | Weekday | AllDST
base,61,Weekday,NA,Derived from Onset+Offset,3.227697868442182,All | Weekday | AllDST
base,62,Weekday,NA,Derived from Onset+Offset,3.2245256689553203,All | Weekday | AllDST
base,63,Weekday,NA,Derived from Onset+Offset,3.2210864369441916,All | Weekday | AllDST
base,64,Weekday,NA,Derived from Onset+Offset,3.2173801724087965,All | Weekday | AllDST
base,65,Weekday,NA,Derived from Onset+Offset,3.2134068753491327,All | Weekday | AllDST
base,66,Weekday,NA,Derived from Onset+Offset,3.209166545765202,All | Weekday | AllDST
base,67,Weekday,NA,Derived from Onset+Offset,3.204659183657004,All | Weekday | AllDST
base,68,Weekday,NA,Derived from Onset+Offset,3.1998847890245377,All | Weekday | AllDST
base,69,Weekday,NA,Derived from Onset+Offset,3.1948433618678047,All | Weekday | AllDST
base,70,Weekday,NA,Derived from Onset+Offset,3.189534902186805,All | Weekday | AllDST
base,71,Weekday,NA,Derived from Onset+Offset,3.183959409981537,All | Weekday | AllDST
base,72,Weekday,NA,Derived from Onset+Offset,3.1781168852520025,All | Weekday | AllDST
base,73,Weekday,NA,Derived from Onset+Offset,3.1720073279982,All | Weekday | AllDST
base,74,Weekday,NA,Derived from Onset+Offset,3.1656307382201296,All | Weekday | AllDST
base,75,Weekday,NA,Derived from Onset+Offset,3.158987115917793,All | Weekday | AllDST
base,76,Weekday,NA,Derived from Onset+Offset,3.1520764610911884,All | Weekday | AllDST
base,77,Weekday,NA,Derived from Onset+Offset,3.1448987737403167,All | Weekday | AllDST
base,78,Weekday,NA,Derived from Onset+Offset,3.137454053865177,All | Weekday | AllDST
base,79,Weekday,NA,Derived from Onset+Offset,3.129742301465771,All | Weekday | AllDST
base,80,Weekday,NA,Derived from Onset+Offset,3.121763516542097,All | Weekday | AllDST
base,81,Weekday,NA,Derived from Onset+Offset,3.113517699094156,All | Weekday | AllDST
base,82,Weekday,NA,Derived from Onset+Offset,3.105004849121946,All | Weekday | AllDST
base,83,Weekday,NA,Derived from Onset+Offset,3.09622496662547,All | Weekday | AllDST
base,84,Weekday,NA,Derived from Onset+Offset,3.0871780516047274,All | Weekday | AllDST
base,85,Weekday,NA,Derived from Onset+Offset,3.0778641040597163,All | Weekday | AllDST
base,18,Weekday,NA,Direct Midpoint Model,3.099205335060249,All | Weekday | AllDST
base,19,Weekday,NA,Direct Midpoint Model,3.1074411259691717,All | Weekday | AllDST
base,20,Weekday,NA,Direct Midpoint Model,3.1154092341761417,All | Weekday | AllDST
base,21,Weekday,NA,Direct Midpoint Model,3.1231096596811576,All | Weekday | AllDST
base,22,Weekday,NA,Direct Midpoint Model,3.130542402484219,All | Weekday | AllDST
base,23,Weekday,NA,Direct Midpoint Model,3.137707462585329,All | Weekday | AllDST
base,24,Weekday,NA,Direct Midpoint Model,3.144604839984484,All | Weekday | AllDST
base,25,Weekday,NA,Direct Midpoint Model,3.1512345346816857,All | Weekday | AllDST
base,26,Weekday,NA,Direct Midpoint Model,3.157596546676934,All | Weekday | AllDST
base,27,Weekday,NA,Direct Midpoint Model,3.163690875970228,All | Weekday | AllDST
base,28,Weekday,NA,Direct Midpoint Model,3.1695175225615695,All | Weekday | AllDST
base,29,Weekday,NA,Direct Midpoint Model,3.1750764864509566,All | Weekday | AllDST
base,30,Weekday,NA,Direct Midpoint Model,3.18036776763839,All | Weekday | AllDST
base,31,Weekday,NA,Direct Midpoint Model,3.185391366123871,All | Weekday | AllDST
base,32,Weekday,NA,Direct Midpoint Model,3.1901472819073975,All | Weekday | AllDST
base,33,Weekday,NA,Direct Midpoint Model,3.194635514988971,All | Weekday | AllDST
base,34,Weekday,NA,Direct Midpoint Model,3.1988560653685902,All | Weekday | AllDST
base,35,Weekday,NA,Direct Midpoint Model,3.202808933046256,All | Weekday | AllDST
base,36,Weekday,NA,Direct Midpoint Model,3.206494118021969,All | Weekday | AllDST
base,37,Weekday,NA,Direct Midpoint Model,3.209911620295727,All | Weekday | AllDST
base,38,Weekday,NA,Direct Midpoint Model,3.213061439867533,All | Weekday | AllDST
base,39,Weekday,NA,Direct Midpoint Model,3.2159435767373843,All | Weekday | AllDST
base,40,Weekday,NA,Direct Midpoint Model,3.2185580309052826,All | Weekday | AllDST
base,41,Weekday,NA,Direct Midpoint Model,3.2209048023712272,All | Weekday | AllDST
base,42,Weekday,NA,Direct Midpoint Model,3.222983891135218,All | Weekday | AllDST
base,43,Weekday,NA,Direct Midpoint Model,3.224795297197256,All | Weekday | AllDST
base,44,Weekday,NA,Direct Midpoint Model,3.2263390205573397,All | Weekday | AllDST
base,45,Weekday,NA,Direct Midpoint Model,3.2276150612154697,All | Weekday | AllDST
base,46,Weekday,NA,Direct Midpoint Model,3.2286234191716465,All | Weekday | AllDST
base,47,Weekday,NA,Direct Midpoint Model,3.2293640944258697,All | Weekday | AllDST
base,48,Weekday,NA,Direct Midpoint Model,3.229837086978139,All | Weekday | AllDST
base,49,Weekday,NA,Direct Midpoint Model,3.2300423968284555,All | Weekday | AllDST
base,50,Weekday,NA,Direct Midpoint Model,3.2299800239768177,All | Weekday | AllDST
base,51,Weekday,NA,Direct Midpoint Model,3.2296499684232267,All | Weekday | AllDST
base,52,Weekday,NA,Direct Midpoint Model,3.229052230167682,All | Weekday | AllDST
base,53,Weekday,NA,Direct Midpoint Model,3.2281868092101837,All | Weekday | AllDST
base,54,Weekday,NA,Direct Midpoint Model,3.227053705550732,All | Weekday | AllDST
base,55,Weekday,NA,Direct Midpoint Model,3.2256529191893266,All | Weekday | AllDST
base,56,Weekday,NA,Direct Midpoint Model,3.223984450125968,All | Weekday | AllDST
base,57,Weekday,NA,Direct Midpoint Model,3.2220482983606553,All | Weekday | AllDST
base,58,Weekday,NA,Direct Midpoint Model,3.219844463893389,All | Weekday | AllDST
base,59,Weekday,NA,Direct Midpoint Model,3.2173729467241694,All | Weekday | AllDST
base,60,Weekday,NA,Direct Midpoint Model,3.2146337468529964,All | Weekday | AllDST
base,61,Weekday,NA,Direct Midpoint Model,3.2116268642798698,All | Weekday | AllDST
base,62,Weekday,NA,Direct Midpoint Model,3.208352299004789,All | Weekday | AllDST
base,63,Weekday,NA,Direct Midpoint Model,3.204810051027755,All | Weekday | AllDST
base,64,Weekday,NA,Direct Midpoint Model,3.201000120348768,All | Weekday | AllDST
base,65,Weekday,NA,Direct Midpoint Model,3.196922506967826,All | Weekday | AllDST
base,66,Weekday,NA,Direct Midpoint Model,3.1925772108849317,All | Weekday | AllDST
base,67,Weekday,NA,Direct Midpoint Model,3.187964232100084,All | Weekday | AllDST
base,68,Weekday,NA,Direct Midpoint Model,3.183083570613282,All | Weekday | AllDST
base,69,Weekday,NA,Direct Midpoint Model,3.177935226424527,All | Weekday | AllDST
base,70,Weekday,NA,Direct Midpoint Model,3.172519199533818,All | Weekday | AllDST
base,71,Weekday,NA,Direct Midpoint Model,3.166835489941155,All | Weekday | AllDST
base,72,Weekday,NA,Direct Midpoint Model,3.1608840976465395,All | Weekday | AllDST
base,73,Weekday,NA,Direct Midpoint Model,3.1546650226499695,All | Weekday | AllDST
base,74,Weekday,NA,Direct Midpoint Model,3.1481782649514467,All | Weekday | AllDST
base,75,Weekday,NA,Direct Midpoint Model,3.14142382455097,All | Weekday | AllDST
base,76,Weekday,NA,Direct Midpoint Model,3.1344017014485392,All | Weekday | AllDST
base,77,Weekday,NA,Direct Midpoint Model,3.127111895644156,All | Weekday | AllDST
base,78,Weekday,NA,Direct Midpoint Model,3.119554407137818,All | Weekday | AllDST
base,79,Weekday,NA,Direct Midpoint Model,3.111729235929527,All | Weekday | AllDST
base,80,Weekday,NA,Direct Midpoint Model,3.1036363820192827,All | Weekday | AllDST
base,81,Weekday,NA,Direct Midpoint Model,3.0952758454070843,All | Weekday | AllDST
base,82,Weekday,NA,Direct Midpoint Model,3.0866476260929328,All | Weekday | AllDST
base,83,Weekday,NA,Direct Midpoint Model,3.0777517240768275,All | Weekday | AllDST
base,84,Weekday,NA,Direct Midpoint Model,3.0685881393587686,All | Weekday | AllDST
base,85,Weekday,NA,Direct Midpoint Model,3.059156871938756,All | Weekday | AllDST
base,18,Weekday,NA,Midpoint Model Adjusted for Duration,2.9806853086277583,All | Weekday | AllDST
base,19,Weekday,NA,Midpoint Model Adjusted for Duration,2.997679431157305,All | Weekday | AllDST
