outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,18,NA,NA,8.310598448923443,7.287694303898767,9.333502593948118,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,18,NA,NA,6.303437668615055,0.9667836810840508,11.640091656146058,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,18,NA,NA,3.607097458950186,-1.257341188621484,8.471536106521857,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,18,NA,NA,9.99475593842205,3.614651841658593,16.37486003518551,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,18,NA,NA,7.818764193787042,6.918388497868209,8.719139889705875,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,18,NA,NA,5.575546760582084,3.919329701562413,7.231763819601754,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,18,NA,NA,7.409527922526868,6.142936389349499,8.676119455704237,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,18,NA,NA,9.145369230267484,7.650036993089816,10.640701467445153,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,19,NA,NA,8.252329588066114,7.287851366585682,9.216807809546548,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,19,NA,NA,6.389581057446345,1.3566634378121094,11.42249867708058,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,19,NA,NA,3.803627084323214,-0.768249418086759,8.375503586733187,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,19,NA,NA,9.86625378362618,3.8441807752407744,15.888326792011588,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,19,NA,NA,7.805612676699796,6.959044557529664,8.652180795869928,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,19,NA,NA,5.658295600298708,4.102822274797164,7.213768925800252,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,19,NA,NA,7.4084467231181454,6.225023454791724,8.591869991444566,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,19,NA,NA,9.06060746499805,7.650142239273117,10.471072690722982,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,20,NA,NA,8.194060727208786,7.287746136899563,9.10037531751801,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,20,NA,NA,6.475724446277636,1.7461555071189974,11.205293385436274,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,20,NA,NA,4.000156709696242,-0.27977849502033436,8.280091914412818,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,20,NA,NA,9.737751628830315,4.073075826452783,15.402427431207848,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,20,NA,NA,7.7924611596125475,6.9990949915740766,8.585827327651018,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,20,NA,NA,5.741044440015334,4.285406449138174,7.196682430892494,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,20,NA,NA,7.407365523709423,6.305684667635488,8.509046379783358,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,20,NA,NA,8.975845699728618,7.649197637762116,10.30249376169512,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,21,NA,NA,8.135792877002629,7.2873245782409475,8.98426117576431,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,21,NA,NA,6.5618654490083035,2.135172307517567,10.98855859049904,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,21,NA,NA,4.196682995230827,0.20792688075547883,8.185439109706174,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,21,NA,NA,9.60925107662867,4.301207127560188,14.917295025697152,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,21,NA,NA,7.779309707497092,7.038408082688971,8.520211332305212,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,21,NA,NA,5.823792171429835,4.466878889521228,7.180705453338442,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,21,NA,NA,7.406284233384606,6.384575967166992,8.42799249960222,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,21,NA,NA,8.891085260461736,7.646992116173526,10.135178404749947,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,22,NA,NA,8.077597580730181,7.286521524876708,8.868673636583654,Employed For Wages
