outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,18,7.681821755353386,6.785447220722931,8.578196289983842,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,18,8.602293864096131,7.4240684360951,9.780519292097162,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,18,4.337949653238092,-0.3364024257461855,9.012301732222369,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,18,8.96295803138758,3.871733755274765,14.054182307500394,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,18,7.989995227217141,7.078348936968793,8.90164151746549,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,18,8.945088797698698,4.673619318485752,13.216558276911645,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,18,6.348683679688753,2.6948513352359593,10.002516024141546,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,18,6.90003156655172,5.846059945170661,7.954003187932778,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,19,7.656729822428089,6.806109238147612,8.507350406708566,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Homemaker,NA,NA,NA,NA,19,8.50319387465924,7.394814332574686,9.611573416743797,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,19,4.551424895691613,0.2112737814779333,8.891576009905293,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,19,8.876534548965388,4.0055334659577815,13.747535631972994,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,19,7.958199515833181,7.0889727054671345,8.827426326199229,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Self Employed,NA,NA,NA,NA,19,8.878752235016089,4.836800088617168,12.92070438141501,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,19,6.435873193787769,2.9505583151561297,9.921188072419408,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Unable To Work,NA,NA,NA,NA,19,6.954337199507712,5.9350959820037,7.9735784170117245,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,20,7.63211749597861,6.8256955439982905,8.43853944795893,Employed For Wages
