outcome,outcome_type,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,employment_clean,estimate,conf.low,conf.high,batch
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,18,Employed For Wages,8.32923983623642,7.3018454521313485,9.35663422034149,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,19,Employed For Wages,8.270939808940978,7.302348334091864,9.239531283790091,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,20,Employed For Wages,8.212639781645539,7.302572457734233,9.122707105556843,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,21,Employed For Wages,8.1543407661075,7.302460597651129,9.00622093456387,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,22,Employed For Wages,8.09611438391864,7.301942763247183,8.890286004590095,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,23,Employed For Wages,8.038147812123633,7.30093964516198,8.775355979085285,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,24,Employed For Wages,7.980638918139812,7.299357029685498,8.661920806594127,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,25,Employed For Wages,7.923785569384504,7.297082357854497,8.55048878091451,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,26,Employed For Wages,7.867785633275038,7.293979403553394,8.441591862996683,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,27,Employed For Wages,7.812836977228738,7.289882019030259,8.335791935427217,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,28,Employed For Wages,7.759137468662938,7.284586095663166,8.233688841662708,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,29,Employed For Wages,7.706884974994961,7.277843289714333,8.135926660275588,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,30,Employed For Wages,7.656277363642138,7.269353889920348,8.043200837363928,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,31,Employed For Wages,7.607512502021794,7.2587683798951375,7.95625662414845,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,32,Employed For Wages,7.56078825755126,7.24570419693532,7.8758723181672,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,33,Employed For Wages,7.516302497647861,7.229792694505926,7.802812300789796,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,34,Employed For Wages,7.474253089728928,7.210770227788136,7.737735951669721,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,35,Employed For Wages,7.43483790121179,7.188614572185974,7.681061230237605,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,36,Employed For Wages,7.398254799513771,7.163688288909391,7.632821310118152,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,37,Employed For Wages,7.364701652052201,7.1368131139761095,7.592590190128292,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,38,Employed For Wages,7.33437632624441,7.109218091686309,7.559534560802511,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,39,Employed For Wages,7.3074766895077214,7.082368488135041,7.532584890880402,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,40,Employed For Wages,7.284200609259467,7.057763837554219,7.510637380964715,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,41,Employed For Wages,7.264745952916974,7.036785585354123,7.492706320479826,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,42,Employed For Wages,7.249310587897569,7.020614888909014,7.478006286886124,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,43,Employed For Wages,7.238092381618582,7.010204454631016,7.465980308606148,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,44,Employed For Wages,7.231289201497339,7.006272220596168,7.45630618239851,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,45,Employed For Wages,7.229015876462643,7.009150792786906,7.44888096013838,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,46,Employed For Wages,7.2307918205767026,7.01793568606377,7.443647955089635,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,47,Employed For Wages,7.235876574353792,7.031091508098788,7.440661640608797,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,48,Employed For Wages,7.243528595109844,7.046941741021234,7.440115449198453,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,49,Employed For Wages,7.253006340160781,7.06374343096107,7.442269249360493,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,50,Employed For Wages,7.263568266822532,7.079800154833411,7.447336378811654,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,51,Employed For Wages,7.2744728324110275,7.093619496160649,7.455326168661406,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,52,Employed For Wages,7.284978494242195,7.10408085726723,7.46587613121716,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,53,Employed For Wages,7.294343709631963,7.110538671297867,7.478148747966058,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,54,Employed For Wages,7.301826935896257,7.112801031998294,7.490852839794219,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,55,Employed For Wages,7.306686630351006,7.110997067112304,7.502376193589708,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,56,Employed For Wages,7.308192218357505,7.105409378979676,7.510975057735335,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,57,Employed For Wages,7.30598659294059,7.096513929165045,7.5154592567161345,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,58,Employed For Wages,7.300169226434246,7.084859621108894,7.515478831759598,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,59,Employed For Wages,7.290867392203923,7.070809098469114,7.510925685938732,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,60,Employed For Wages,7.278208363615075,7.0545742417467485,7.501842485483402,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,61,Employed For Wages,7.262319414033152,7.036250620367106,7.488388207699199,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,62,Employed For Wages,7.243327816823611,7.0158407065193265,7.470814927127896,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,63,Employed For Wages,7.2213608453519,6.993266208082863,7.449455482620937,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,64,Employed For Wages,7.196545772983472,6.968377256339224,7.424714289627721,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,65,Employed For Wages,7.169009873083783,6.94095885643425,7.397060889733316,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,66,Employed For Wages,7.138880419018282,6.910737035652284,7.36702380238428,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,67,Employed For Wages,7.1062846841524205,6.8773928409585805,7.335176527346261,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,68,Employed For Wages,7.071349941851656,6.840581698340795,7.3021181853625166,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,69,Employed For Wages,7.034203465481435,6.799962361611748,7.268444569351122,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,70,Employed For Wages,6.994972528407213,6.755233414210166,7.2347116426042595,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,71,Employed For Wages,6.953784403994443,6.706170245250942,7.2013985627379435,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,72,Employed For Wages,6.910766365608577,6.652654214590906,7.168878516626248,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,73,Employed For Wages,6.866045686615065,6.594686611024904,7.137404762205226,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,74,Employed For Wages,6.819749640379364,6.53238469722848,7.107114583530247,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,75,Employed For Wages,6.772005500266923,6.465962725619039,7.078048274914807,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,76,Employed For Wages,6.722940539643194,6.395705987688682,7.050175091597705,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,77,Employed For Wages,6.672682031873632,6.321944381338386,7.0234196824088775,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,78,Employed For Wages,6.621357250323687,6.245030382781186,6.9976841178661875,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,79,Employed For Wages,6.5690934683588145,6.1653230145205615,6.972863922197067,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,80,Employed For Wages,6.516017959344462,6.083178037202863,6.948857881486061,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,81,Employed For Wages,6.462257996646089,5.99894194959531,6.9255740436968685,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,82,Employed For Wages,6.407940853629141,5.912949668131563,6.902932039126719,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,83,Employed For Wages,6.3531938036590745,5.825523868823991,6.880863738494158,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,84,Employed For Wages,6.298144120101341,5.736975384101292,6.85931285610139,pooled
duration,Duration,primary,age_x_employment,Employed For Wages,NA,NA,NA,NA,85,Employed For Wages,6.242919076321392,5.647604788520457,6.838233364122328,pooled
