outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,5.751442004180507,1.5172495906318186,-1.4949734517323083,4.529472632995946
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,6.079023493927702,1.628462398933147,-1.3837014367346765,4.640626234600971
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,6.298343144661235,1.7029206788944666,-1.309206742141968,4.715048099930901
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,6.468501181855903,1.7606887572619745,-1.251412218237388,4.772789732761337
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,6.613824160701002,1.810025417280679,-1.2020541595137528,4.822104994075111
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,6.744787057798545,1.8544868780937904,-1.1575744096487504,4.866548165836331
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,6.868244160888516,1.8964001472164695,-1.1156447442698934,4.908445038702832
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,6.976372256774565,1.933109270216805,-1.0789219588422323,4.945140499275842
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,7.086780610565871,1.970592533067016,-1.0414253444346464,4.982610410568678
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,7.191800717126638,2.0062465041987214,-1.0057593051701588,5.018252313567602
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,7.295429230477675,2.041428034140339,-0.9705664484469608,5.053422516727638
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,7.404558416663338,2.0784770239129675,-0.9335062043343604,5.0904602521602955
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,7.513880413000424,2.1155914720801623,-0.8963810254387581,5.127563969599082
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,7.619137920439633,2.151326040007509,-0.8606367806048536,5.163288860619872
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,7.730277636899316,2.1890575980110865,-0.8228956516661241,5.201010847688297
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,7.853025137574122,2.2307299595127983,-0.7812134916768594,5.242673410702456
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,7.981911263440767,2.274486363514044,-0.7374476713401652,5.286420398368253
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,8.13518962720689,2.3265238498183476,-0.6854001497365667,5.338447849373262
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,8.301708325189026,2.383056384826861,-0.628858193994672,5.394970963648394
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,8.50502384441781,2.4520813162481256,-0.5598237220663531,5.463986354562604
midpoint,ClockTime,base,REML,midpoint_poly_interact_duration_adjusted_04_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,8.80005880336653,2.5522446873747304,-0.45965041142625473,5.564139786175716
midpoint,ClockTime,dst,REML,midpoint_poly_interact_duration_adjusted_04_dst_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,5.740588606603895,1.5753119829771107,-1.459597199290717,4.610221165244939
midpoint,ClockTime,dst,REML,midpoint_poly_interact_duration_adjusted_04_dst_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,6.066840514605941,1.6858204010052391,-1.349028804079939,4.720669606090417
midpoint,ClockTime,dst,REML,midpoint_poly_interact_duration_adjusted_04_dst_REML.rds,adjusted,duration_covariate_main,NA,NA,NA,NA,NA,NA,NA,6.289305278806935,1.761173919424197,-1.2736377103080392,4.795985549156434
