batch,derived_midpoint_linear,series,duration_estimate
base,2.729669193184458,Direct Duration Model,9.350038676577087
base,2.729669193184458,Duration Model Adjusted for Midpoint,9.49892924647355
base,3.3089355669376896,Direct Duration Model,9.570434918070632
base,3.3089355669376896,Duration Model Adjusted for Midpoint,9.561518960700822
base,20.18564714030343,Direct Duration Model,4.766752338230952
base,20.18564714030343,Duration Model Adjusted for Midpoint,6.764451706944369
base,20.74766830450635,Direct Duration Model,5.002088105078535
base,20.74766830450635,Duration Model Adjusted for Midpoint,6.846871409831068
base,19.718193707657264,Direct Duration Model,0.10126611897252044
base,19.718193707657264,Duration Model Adjusted for Midpoint,-1.7908150342746298
base,20.27560516526215,Direct Duration Model,0.28686314594137485
base,20.27560516526215,Duration Model Adjusted for Midpoint,-1.758066927484581
base,12.488236625207804,Direct Duration Model,12.28706622336216
base,12.488236625207804,Duration Model Adjusted for Midpoint,10.217150064971536
base,13.121574924537512,Direct Duration Model,12.558805486355142
base,13.121574924537512,Duration Model Adjusted for Midpoint,10.320752978155108
base,2.8204997673227914,Direct Duration Model,8.053370048681517
base,2.8204997673227914,Duration Model Adjusted for Midpoint,8.176606643225686
base,3.417225214258016,Direct Duration Model,8.297054686733784
base,3.417225214258016,Duration Model Adjusted for Midpoint,8.258211726217196
base,2.154075604786201,Direct Duration Model,4.099415744331003
base,2.154075604786201,Duration Model Adjusted for Midpoint,4.5504127719452185
base,2.763152612503204,Direct Duration Model,4.306679689171598
base,2.763152612503204,Duration Model Adjusted for Midpoint,4.5950360518162015
base,3.1366923195990015,Direct Duration Model,7.428815105131907
base,3.1366923195990015,Duration Model Adjusted for Midpoint,7.395452144554599
base,3.766315114222735,Direct Duration Model,7.6592914120744995
base,3.766315114222735,Duration Model Adjusted for Midpoint,7.456137166597328
base,3.128573654906147,Direct Duration Model,10.657408204286709
base,3.128573654906147,Duration Model Adjusted for Midpoint,10.847127389492051
base,3.7380314196773945,Direct Duration Model,10.892950455907997
base,3.7380314196773945,Duration Model Adjusted for Midpoint,10.92007513864783
dst,2.793956697270403,Direct Duration Model,9.369132743767125
dst,2.793956697270403,Duration Model Adjusted for Midpoint,9.483369684490864
dst,2.946031933060417,Direct Duration Model,9.306120625789127
dst,2.946031933060417,Duration Model Adjusted for Midpoint,9.380184001079757
dst,3.384345340518573,Direct Duration Model,9.594398644512651
dst,3.384345340518573,Duration Model Adjusted for Midpoint,9.549223018051867
dst,3.5331722823270537,Direct Duration Model,9.522985406136428
