outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,day_type,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,NA,NA,9.350038676577087,7.265635441576109,11.434441911578066,Weekday,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,NA,NA,9.570434918070632,7.482576524984319,11.658293311156944,Weekend,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,NA,NA,4.766752338230952,-6.016778613028531,15.550283289490434,Weekday,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,NA,NA,5.002088105078535,-5.782190793572735,15.786367003729804,Weekend,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,NA,NA,0.10126611897252044,-10.02628020661782,10.22881244456286,Weekday,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,NA,NA,0.28686314594137485,-9.841456239345202,10.415182531227952,Weekend,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,NA,NA,12.28706622336216,-0.5268902521962744,25.101022698920595,Weekday,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,NA,NA,12.558805486355142,-0.2561663382315551,25.37377731094184,Weekend,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,NA,8.053370048681517,6.150228175289598,9.956511922073435,Weekday,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,8.297054686733784,6.390242332884312,10.203867040583257,Weekend,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Self Employed,Weekday,NA,NA,NA,NA,NA,NA,4.099415744331003,0.582334641939843,7.616496846722162,Weekday,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Self Employed,Weekend,NA,NA,NA,NA,NA,NA,4.306679689171598,0.7874717230548747,7.825887655288321,Weekend,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,NA,7.428815105131907,4.584303267306775,10.273326942957038,Weekday,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,7.6592914120744995,4.812160390579311,10.50642243356969,Weekend,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Unable To Work,Weekday,NA,NA,NA,NA,NA,NA,10.657408204286709,7.571449481067204,13.743366927506212,Weekday,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,employment_x_weekend,Unable To Work,Weekend,NA,NA,NA,NA,NA,NA,10.892950455907997,7.804471805401075,13.981429106414918,Weekend,Unable To Work
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,NA,NA,9.369132743767125,7.272457497008532,11.465807990525718,Weekday,Employed For Wages
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,NA,NA,9.594398644512651,7.494242092379053,11.694555196646249,Weekend,Employed For Wages
