outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,day_type,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekday,NA,NA,NA,NA,8.215488600270827,6.245068804716087,10.185908395825567,Weekday,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Employed For Wages,Weekend,NA,NA,NA,NA,8.340153063219404,6.343007453763807,10.337298672675,Weekend,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Homemaker,Weekday,NA,NA,NA,NA,10.918944690937035,7.905535686712714,13.932353695161355,Weekday,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Homemaker,Weekend,NA,NA,NA,NA,10.827532511191984,7.794115533494278,13.860949488889691,Weekend,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekday,NA,NA,NA,NA,-0.658072694119395,-13.422224549452736,12.106079161213945,Weekday,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work Less Than One,Weekend,NA,NA,NA,NA,-0.5210949717022485,-13.288196871885113,12.246006928480613,Weekend,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekday,NA,NA,NA,NA,10.766168099051406,0.9488723377460316,20.58346386035678,Weekday,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Out Of Work One Or More,Weekend,NA,NA,NA,NA,10.598858363791296,0.7790298171015255,20.418686910481064,Weekend,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,8.651192984848583,6.615549913279747,10.68683605641742,Weekday,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,primary,employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,8.748319873943101,6.689862338732171,10.806777409154032,Weekend,Retired
