outcome,batch,category,term,estimate,conf.low,conf.high
duration,base,Demographics,Female,9.350038676577087,7.265635441576109,11.434441911578066
duration,base,Demographics,Male,9.301108250025877,7.213360521602615,11.388855978449136
duration,base,Demographics,Other,9.323731140186934,7.160695546901641,11.486766733472228
duration,dst,Demographics,Female,9.369132743767125,7.272457497008532,11.465807990525718
duration,dst,Demographics,Male,9.30934516292253,7.209075345705055,11.409614980140002
duration,dst,Demographics,Other,9.346603734319595,7.170371130950805,11.522836337688386
midpoint,base,Demographics,Female,2.7033966371221103,-0.4919243518263268,5.898717626070548
midpoint,base,Demographics,Male,2.519868327928269,-0.6808606042531786,5.720597260109717
midpoint,base,Demographics,Other,2.2218814380536474,-1.0958375852641606,5.539600461371455
midpoint,dst,Demographics,Female,2.757530735897596,-0.4689542947745289,5.984015766569721
midpoint,dst,Demographics,Male,2.5586095525959434,-0.6736914202761284,5.790910525468015
midpoint,dst,Demographics,Other,2.2931660057411114,-1.0574597398621788,5.643791751344402
offset,base,Demographics,Female,7.197459667138626,3.493158560504614,10.901760773772638
offset,base,Demographics,Male,6.997560622100246,3.287042178398563,10.708079065801927
offset,base,Demographics,Other,6.706368544638666,2.860521072413722,10.55221601686361
offset,dst,Demographics,Female,7.258845730736576,3.5119171055151592,11.005774355957993
offset,dst,Demographics,Male,7.039795872957231,3.2861633791973857,10.793428366717077
offset,dst,Demographics,Other,6.786266058304602,2.8954795008972543,10.67705261571195
onset,base,Demographics,Female,-1.738121280769709,-4.704509283576663,1.2282667220372454
onset,base,Demographics,Male,-1.8962796220526164,-4.867721721443243,1.0751624773380106
onset,base,Demographics,Other,-2.211723741846607,-5.291966631943113,0.8685191482499
onset,dst,Demographics,Female,-1.6709323361957693,-4.65499188918821,1.3131272167966717
onset,dst,Demographics,Male,-1.837469911997348,-4.826936330104072,1.151996506109376
onset,dst,Demographics,Other,-2.1282158856751505,-5.227260355898316,0.9708285845480148
duration,base,Employment,Employed For Wages,9.460236797323859,7.374105983280214,11.546367611367504
duration,base,Employment,Homemaker,4.884420221654743,-5.899484703300633,15.668325146610119
duration,base,Employment,Out Of Work Less Than One,0.19406463245694766,-9.933868222981511,10.321997487895405
duration,base,Employment,Out Of Work One Or More,12.42293585485865,-0.39152829521391475,25.237400004931217
duration,base,Employment,Retired,8.175212367707651,6.2702352540869555,10.080189481328347
duration,base,Employment,Self Employed,4.2030477167513,0.6849031824973588,7.721192251005242
duration,base,Employment,Student,7.544053258603203,4.698231828943043,10.389874688263363
duration,base,Employment,Unable To Work,10.775179330097352,7.68796064323414,13.862398016960565
duration,dst,Employment,Employed For Wages,9.481765694139888,7.3833497946937925,11.580181593585984
duration,dst,Employment,Homemaker,4.5569374494566155,-6.299346060439248,15.41322095935248
duration,dst,Employment,Out Of Work Less Than One,0.21708723552775563,-9.88531790107687,10.31949237213238
duration,dst,Employment,Out Of Work One Or More,12.357244951870191,-0.426532340962523,25.141022244702906
duration,dst,Employment,Retired,8.336600427515757,6.391182487743784,10.28201836728773
duration,dst,Employment,Self Employed,4.345281834014914,0.8182256469648193,7.872338021065009
duration,dst,Employment,Student,7.506318728601636,4.665382804212529,10.347254652990742
duration,dst,Employment,Unable To Work,10.76464714439958,7.685227767238731,13.84406652156043
midpoint,base,Employment,Employed For Wages,3.0052772176000055,-0.1915092236661755,6.202063658866187
midpoint,base,Employment,Homemaker,-0.6646118555107821,-16.585532367000145,15.25630865597858
midpoint,base,Employment,Out Of Work Less Than One,8.928477942208932,-6.486413016567593,24.34336890098546
midpoint,base,Employment,Out Of Work One Or More,14.205466694176343,-4.839575733648475,33.25050912200116
midpoint,base,Employment,Retired,3.236179795458189,0.31311690744078136,6.159242683475597
midpoint,base,Employment,Self Employed,2.404078387854702,-2.9777040503800007,7.785860826089404
midpoint,base,Employment,Student,3.7968053735597893,-0.5716975857982562,8.165308332917835
midpoint,base,Employment,Unable To Work,3.498799091995257,-1.2482175059335563,8.245815689924072
midpoint,dst,Employment,Employed For Wages,3.06291313269958,-0.16504233196308982,6.29086859736225
midpoint,dst,Employment,Homemaker,1.6833829646172211,-14.393493965081017,17.76025989431546
midpoint,dst,Employment,Out Of Work Less Than One,8.950462606757082,-6.4749171392227645,24.375842352736925
midpoint,dst,Employment,Out Of Work One Or More,14.132809794166972,-4.921936496280065,33.18755608461401
midpoint,dst,Employment,Retired,3.1974360191311333,0.20217339620413055,6.1926986420581365
midpoint,dst,Employment,Self Employed,2.223104641557459,-3.1894464671881257,7.635655750303043
midpoint,dst,Employment,Student,3.877448779067206,-0.49795920575271513,8.252856763887127
midpoint,dst,Employment,Unable To Work,3.5249126161591327,-1.2258765469163948,8.27570177923466
offset,base,Employment,Employed For Wages,7.567129064322716,3.8609994314565634,11.273258697188869
offset,base,Employment,Homemaker,-1.8822856906122585,-20.446398343607754,16.681826962383237
offset,base,Employment,Out Of Work Less Than One,7.160739930275933,-10.72934010557459,25.050819966126458
offset,base,Employment,Out Of Work One Or More,17.026486606453574,-5.159013935230769,39.211987148137915
offset,base,Employment,Retired,7.1199545529627875,3.731824680236817,10.508084425688757
offset,base,Employment,Self Employed,4.7725993789413685,-1.4686141492035962,11.013812907086333
offset,base,Employment,Student,7.268999613173669,2.2057576448354492,12.332241581511887
offset,base,Employment,Unable To Work,8.806990790273424,3.306354847433457,14.307626733113393
offset,dst,Employment,Employed For Wages,7.634600932487671,3.885839428399321,11.383362436576022
offset,dst,Employment,Homemaker,0.10647493565339744,-18.6691452989642,18.882095170270993
offset,dst,Employment,Out Of Work Less Than One,7.179706256007758,-10.754454500935474,25.11386701295099
offset,dst,Employment,Out Of Work One Or More,16.868234569645743,-5.365241854974375,39.101710994265865
offset,dst,Employment,Retired,7.167407428007189,3.6892913695622416,10.645523486452134
offset,dst,Employment,Self Employed,4.6817003739265655,-1.6066363142639246,10.970037062117054
offset,dst,Employment,Student,7.329044122051991,2.2485163095043847,12.409571934599597
