outcome,batch,category,term,estimate,conf.low,conf.high
duration,base,Demographics,Female,8.123414496980832,6.177302287218012,10.069526706743652
duration,base,Demographics,Intersex,7.30971459618865,4.807699466597624,9.811729725779676
duration,base,Demographics,Male,8.215488600270827,6.245068804716087,10.185908395825567
duration,base,Demographics,No Matching Concept,8.612461730883606,6.24058984493862,10.984333616828591
duration,base,Demographics,Sex At Birth: Sex At Birth None Of These,8.725864410679693,6.300044120795374,11.151684700564012
duration,dst,Demographics,Female,7.665125429348071,5.553101131673013,9.77714972702313
duration,dst,Demographics,Intersex,6.830589173673108,4.18097551326426,9.480202834081956
duration,dst,Demographics,Male,7.740539681905422,5.593648170683738,9.887431193127108
duration,dst,Demographics,No Matching Concept,8.201243984432184,5.707883498589535,10.694604470274832
duration,dst,Demographics,Sex At Birth: Sex At Birth None Of These,8.189385776770957,5.562849403389132,10.81592215015278
midpoint,base,Demographics,Female,3.1539151714603153,0.03956636612638231,6.268263976794248
midpoint,base,Demographics,Intersex,1.994506798075338,-1.9962500610505316,5.985263657201208
midpoint,base,Demographics,Male,2.9051876110313817,-0.24635075162780273,6.0567259736905665
midpoint,base,Demographics,No Matching Concept,3.08576177227751,-0.7085018608820266,6.880025405437047
midpoint,base,Demographics,Sex At Birth: Sex At Birth None Of These,1.0901622544681795,-2.817781292408149,4.998105801344508
midpoint,dst,Demographics,Female,2.13848359355599,-1.1899313547229309,5.466898541834911
midpoint,dst,Demographics,Intersex,0.9392388816369244,-3.2231880307355314,5.10166579400938
midpoint,dst,Demographics,Male,1.8469122286136757,-1.5341125879501685,5.227937045177519
midpoint,dst,Demographics,No Matching Concept,2.0483585963853175,-1.8817289118973255,5.97844610466796
midpoint,dst,Demographics,Sex At Birth: Sex At Birth None Of These,0.03972318703704794,-4.128619137977318,4.208065512051413
offset,base,Demographics,Female,7.340686606639558,3.6918547644579176,10.989518448821196
offset,base,Demographics,Intersex,5.850984825587207,1.1742448136329982,10.527724837541417
offset,base,Demographics,Male,7.1432239704008,3.4506699316663085,10.835778009135293
offset,base,Demographics,No Matching Concept,7.7083273772041725,3.2627607409286687,12.153894013479675
offset,base,Demographics,Sex At Birth: Sex At Birth None Of These,5.60729069835679,1.0305484975055093,10.18403289920807
offset,dst,Demographics,Female,6.027492930802976,2.1310266379543865,9.923959223651565
offset,dst,Demographics,Intersex,4.493190226774566,-0.3808149094736279,9.36719536302276
offset,dst,Demographics,Male,5.776096146449362,1.8178129041882232,9.7343793887105
offset,dst,Demographics,No Matching Concept,6.397011762152608,1.7962581089616432,10.997765415343572
offset,dst,Demographics,Sex At Birth: Sex At Birth None Of These,4.207574280271393,-0.6697457542258736,9.08489431476866
onset,base,Demographics,Female,-1.0336766954148435,-3.910156971932429,1.8428035811027417
onset,base,Demographics,Intersex,-1.670398937919621,-5.355480861607246,2.014682985768004
onset,base,Demographics,Male,-1.3107363917605708,-4.221445073779144,1.599972290258002
onset,base,Demographics,No Matching Concept,-1.339651189393008,-4.844008531855454,2.164706153069439
onset,base,Demographics,Sex At Birth: Sex At Birth None Of These,-3.4696233934725575,-7.080560816571236,0.14131402962612016
onset,dst,Demographics,Female,-1.7123148113319162,-4.799236307009389,1.3746066843455564
onset,dst,Demographics,Intersex,-2.3766696225427775,-6.236034020753188,1.4826947756676332
onset,dst,Demographics,Male,-2.0201792388202966,-5.155687597065226,1.1153291194246333
onset,dst,Demographics,No Matching Concept,-2.0799777267860193,-5.7249828495676365,1.5650273959955978
onset,dst,Demographics,Sex At Birth: Sex At Birth None Of These,-4.114876129447728,-7.982918548549948,-0.24683371034550783
duration,base,Employment,Employed For Wages,8.277820831745116,6.294038129239947,10.261603534250284
duration,base,Employment,Homemaker,10.87323860106451,7.849825610103496,13.896651592025524
duration,base,Employment,Out Of Work Less Than One,-0.5895838329108217,-13.355210710668924,12.17604304484728
duration,base,Employment,Out Of Work One Or More,10.68251323142135,0.8639510774237786,20.501075385418922
duration,base,Employment,Retired,8.699756429395842,6.652706126005959,10.746806732785725
duration,base,Employment,Self Employed,10.408764516614847,0.9196060036758649,19.89792302955383
duration,base,Employment,Student,4.4117096377961165,-2.937664591388674,11.761083866980906
duration,base,Employment,Unable To Work,5.588069734437022,2.2711529789500036,8.904986489924042
duration,dst,Employment,Employed For Wages,7.822155447822093,5.660678454682728,9.983632440961461
duration,dst,Employment,Homemaker,10.976832689302501,7.919354022661349,14.034311355943652
duration,dst,Employment,Out Of Work Less Than One,0.32633625136786854,-12.874345212683533,13.52701771541927
duration,dst,Employment,Out Of Work One Or More,10.708643638232921,0.8367190915751834,20.58056818489066
duration,dst,Employment,Retired,8.699888567631593,6.640379973888811,10.759397161374372
duration,dst,Employment,Self Employed,10.838343669625118,1.2521341411900997,20.42455319806014
