batch,derived_duration_hours,series,midpoint_estimate
base,8.935580947908335,Direct Midpoint Model,2.7033966371221103
base,8.935580947908335,Midpoint Model Adjusted for Duration,2.0405716956554176
base,9.255725789138232,Direct Midpoint Model,3.307157798077901
base,9.255725789138232,Midpoint Model Adjusted for Duration,2.56949879127975
base,3.1404394744479225,Direct Midpoint Model,-0.9571423650243588
base,3.1404394744479225,Midpoint Model Adjusted for Duration,-0.29198952137085193
base,3.463786873483471,Direct Midpoint Model,-0.3720813459972054
base,3.463786873483471,Midpoint Model Adjusted for Duration,0.21317452015817911
base,22.18590137271218,Direct Midpoint Model,8.636095975537403
base,22.18590137271218,Midpoint Model Adjusted for Duration,11.38966228214714
base,22.46946060255273,Direct Midpoint Model,9.220859908880463
base,22.46946060255273,Midpoint Model Adjusted for Duration,11.911412235350287
base,8.267427765825405,Direct Midpoint Model,13.88378927585865
base,8.267427765825405,Midpoint Model Adjusted for Duration,12.849157533899191
base,8.618895560498258,Direct Midpoint Model,14.527144112494035
base,8.618895560498258,Midpoint Model Adjusted for Duration,13.400283434653122
base,7.828857905501286,Direct Midpoint Model,2.926122326684447
base,7.828857905501286,Midpoint Model Adjusted for Duration,2.6855901928285366
base,8.175510343188249,Direct Midpoint Model,3.5462372642319315
base,8.175510343188249,Midpoint Model Adjusted for Duration,3.2229594721628647
base,4.472766447953238,Direct Midpoint Model,2.092957472599586
base,4.472766447953238,Midpoint Model Adjusted for Duration,3.000564347183086
base,4.783174633233429,Direct Midpoint Model,2.715199303109818
base,4.783174633233429,Midpoint Model Adjusted for Duration,3.552436358722342
base,7.469755183828696,Direct Midpoint Model,3.4720163328704694
base,7.469755183828696,Midpoint Model Adjusted for Duration,3.253067526188395
base,7.800228401222508,Direct Midpoint Model,4.12159441424911
base,7.800228401222508,Midpoint Model Adjusted for Duration,3.8243907843902742
base,10.586987396702192,Direct Midpoint Model,3.1877623034207163
base,10.586987396702192,Midpoint Model Adjusted for Duration,1.9462937739401205
base,10.907765615224424,Direct Midpoint Model,3.809835880569798
base,10.907765615224424,Midpoint Model Adjusted for Duration,2.4883962688825956
dst,8.929778066932345,Direct Midpoint Model,2.757530735897596
dst,8.929778066932345,Midpoint Model Adjusted for Duration,2.0974470092596373
dst,8.85075773669154,Direct Midpoint Model,2.9123592814161223
dst,8.85075773669154,Midpoint Model Adjusted for Duration,2.2734018919891064
dst,9.2520215874403835,Direct Midpoint Model,3.3682955295015646
dst,9.2520215874403835,Midpoint Model Adjusted for Duration,2.6318980750021375
dst,9.161683311550869,Direct Midpoint Model,3.52315496600514
dst,9.161683311550869,Midpoint Model Adjusted for Duration,2.8107221547603474
dst,2.7622619453613977,Direct Midpoint Model,1.3812578704248395
dst,2.7622619453613977,Midpoint Model Adjusted for Duration,2.0680639640870018
dst,2.6832416151205916,Direct Midpoint Model,1.5360864159433665
dst,2.6832416151205916,Midpoint Model Adjusted for Duration,2.244018846816471
dst,3.0794868525301156,Direct Midpoint Model,1.985508058809603
dst,3.0794868525301156,Midpoint Model Adjusted for Duration,2.5947553768676106
dst,2.989148576640597,Direct Midpoint Model,2.1403674953131784
dst,2.989148576640597,Midpoint Model Adjusted for Duration,2.7735794566258205
dst,22.135529031595475,Direct Midpoint Model,8.654839273588118
dst,22.135529031595475,Midpoint Model Adjusted for Duration,11.411796986302535
dst,22.05650870135467,Direct Midpoint Model,8.809667819106645
dst,22.05650870135467,Midpoint Model Adjusted for Duration,11.587751869032006
dst,22.419654526908975,Direct Midpoint Model,9.246085939926044
dst,22.419654526908975,Midpoint Model Adjusted for Duration,11.93900355411246
dst,22.329316251019456,Direct Midpoint Model,9.40094537642962
dst,22.329316251019456,Midpoint Model Adjusted for Duration,12.117827633870668
dst,8.254091931797763,Direct Midpoint Model,13.80764962093756
dst,8.254091931797763,Midpoint Model Adjusted for Duration,12.789476029898257
dst,8.175071601556958,Direct Midpoint Model,13.962478166456089
dst,8.175071601556958,Midpoint Model Adjusted for Duration,12.965430912627726
dst,8.60610222905777,Direct Midpoint Model,14.457969967396384
dst,8.60610222905777,Midpoint Model Adjusted for Duration,13.346666550157597
dst,8.515763953168253,Direct Midpoint Model,14.61282940389996
dst,8.515763953168253,Midpoint Model Adjusted for Duration,13.525490629915806
dst,8.029365340532333,Direct Midpoint Model,2.8860198530259167
dst,8.029365340532333,Midpoint Model Adjusted for Duration,2.579908008975491
dst,7.950345010291526,Direct Midpoint Model,3.040848398544443
dst,7.950345010291526,Midpoint Model Adjusted for Duration,2.75586289170496
dst,8.374295169435868,Direct Midpoint Model,3.50885218523635
dst,8.374295169435868,Midpoint Model Adjusted for Duration,3.119481937327966
dst,8.28395689354635,Direct Midpoint Model,3.6637116217399255
dst,8.28395689354635,Midpoint Model Adjusted for Duration,3.298306017086176
dst,4.644334975553424,Direct Midpoint Model,1.9085451800062097
dst,4.644334975553424,Midpoint Model Adjusted for Duration,2.7555064369668707
dst,4.565314645312618,Direct Midpoint Model,2.063373725524736
dst,4.565314645312618,Midpoint Model Adjusted for Duration,2.93146131969634
dst,4.954026592254288,Direct Midpoint Model,2.5376641031087077
dst,4.954026592254288,Midpoint Model Adjusted for Duration,3.313674702200643
dst,4.86368831636477,Direct Midpoint Model,2.6925235396122833
dst,4.86368831636477,Midpoint Model Adjusted for Duration,3.492498781958853
dst,7.424411908903315,Direct Midpoint Model,3.549343799784893
dst,7.424411908903315,Midpoint Model Adjusted for Duration,3.339136876453381
dst,7.345391578662509,Direct Midpoint Model,3.704172345303419
dst,7.345391578662509,Midpoint Model Adjusted for Duration,3.51509175918285
