outcome,outcome_type,outcome_variant,batch,stem_with_suffix,model_path,model_method,exists
duration,Duration,primary,base,duration_poly_interact_04,models_04_5_synth/duration_poly_interact_04_REML.rds,REML,TRUE
duration,Duration,primary,dst,duration_poly_interact_04_dst,models_04_5_synth/duration_poly_interact_04_dst_REML.rds,REML,TRUE
duration,Duration,adjusted,base,duration_poly_interact_midpoint_adjusted_04,models_04_5_synth/duration_poly_interact_midpoint_adjusted_04_REML.rds,REML,TRUE
duration,Duration,adjusted,dst,duration_poly_interact_midpoint_adjusted_04_dst,models_04_5_synth/duration_poly_interact_midpoint_adjusted_04_dst_REML.rds,REML,TRUE
midpoint,ClockTime,primary,base,midpoint_poly_interact_04,models_04_5_synth/midpoint_poly_interact_04_REML.rds,REML,TRUE
midpoint,ClockTime,primary,dst,midpoint_poly_interact_04_dst,models_04_5_synth/midpoint_poly_interact_04_dst_REML.rds,REML,TRUE
midpoint,ClockTime,adjusted,base,midpoint_poly_interact_duration_adjusted_04,models_04_5_synth/midpoint_poly_interact_duration_adjusted_04_REML.rds,REML,TRUE
midpoint,ClockTime,adjusted,dst,midpoint_poly_interact_duration_adjusted_04_dst,models_04_5_synth/midpoint_poly_interact_duration_adjusted_04_dst_REML.rds,REML,TRUE
offset,ClockTime,primary,base,offset_poly_interact_04,models_04_5_synth/offset_poly_interact_04_REML.rds,REML,TRUE
offset,ClockTime,primary,dst,offset_poly_interact_04_dst,models_04_5_synth/offset_poly_interact_04_dst_REML.rds,REML,TRUE
onset,ClockTime,primary,base,onset_poly_interact_04,models_04_5_synth/onset_poly_interact_04_REML.rds,REML,TRUE
onset,ClockTime,primary,dst,onset_poly_interact_04_dst,models_04_5_synth/onset_poly_interact_04_dst_REML.rds,REML,TRUE
