outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,SE,df
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,01,NA,NA,NA,7.32934888739188,NA,NA,0.0583462694262687,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,02,NA,NA,NA,7.34232694757719,NA,NA,0.0582333960815917,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,03,NA,NA,NA,7.36214061686061,NA,NA,0.0582296649524495,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,04,NA,NA,NA,7.36406980827935,NA,NA,0.0585942745623534,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,05,NA,NA,NA,7.3544325930898,NA,NA,0.0586844091004781,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,06,NA,NA,NA,7.34578046803912,NA,NA,0.0587076553968279,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,07,NA,NA,NA,7.34071591708451,NA,NA,0.0587341217166627,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,08,NA,NA,NA,7.35698248402116,NA,NA,0.0589690325216088,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,09,NA,NA,NA,7.34826348321953,NA,NA,0.0591316103309387,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,10,NA,NA,NA,7.35259327897924,NA,NA,0.0589680165084145,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,11,NA,NA,NA,7.35225200830249,NA,NA,0.0587853615341125,Inf
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,12,NA,NA,NA,7.332220808902,NA,NA,0.0584883690980002,Inf
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,01,NA,NA,NA,3.51275447775149,NA,NA,0.0893009234642674,Inf
