outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,day_type
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,01,NA,NA,NA,NA,9.319590963003163,7.235255902654519,11.403926023351808,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,01,NA,NA,NA,NA,9.539987204496708,7.452203323164589,11.627771085828826,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,02,NA,NA,NA,NA,9.331115668916828,7.246558478453176,11.41567285938048,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,02,NA,NA,NA,NA,9.551511910410373,7.463501918574272,11.639521902246472,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,03,NA,NA,NA,NA,9.350038676577087,7.265635441576109,11.434441911578066,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,03,NA,NA,NA,NA,9.570434918070632,7.482576524984319,11.658293311156944,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,04,NA,NA,NA,NA,9.352140094371665,7.267809440351111,11.436470748392216,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,04,NA,NA,NA,NA,9.572536335865207,7.484757049027547,11.660315622702871,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,05,NA,NA,NA,NA,9.34232107095228,7.257716206946836,11.426925934957724,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,05,NA,NA,NA,NA,9.562717312445823,7.474663410396428,11.65077121449522,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,06,NA,NA,NA,NA,9.333496616252452,7.248587039542459,11.418406192962443,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,06,NA,NA,NA,NA,9.553892857745996,7.465532992763028,11.642252722728966,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,07,NA,NA,NA,NA,9.328386012241562,7.243571586686691,11.413200437796434,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,07,NA,NA,NA,NA,9.548782253735109,7.460522466715597,11.637042040754617,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,08,NA,NA,NA,NA,9.34433597946871,7.259669281303637,11.429002677633784,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,08,NA,NA,NA,NA,9.564732220962254,7.476611498263934,11.652852943660571,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,09,NA,NA,NA,NA,9.334767472882646,7.250425445004918,11.419109500760374,Weekday
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekend,NA,09,NA,NA,NA,NA,9.55516371437619,7.46736422526608,11.642963203486302,Weekend
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,month_x_weekend,NA,Weekday,NA,10,NA,NA,NA,NA,9.34524208728592,7.261090190152472,11.42939398441937,Weekday
