outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,18,NA,NA,7.059796132468,5.222353917673662,8.897238347262338
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,18,NA,NA,7.17236120313761,5.270337287711902,9.07438511856332
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,19,NA,NA,7.048636716985728,5.316189137465289,8.781084296506165
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,19,NA,NA,7.161201787655338,5.36275116874014,8.959652406570537
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,20,NA,NA,7.037477301503453,5.409525536983988,8.665429066022918
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,20,NA,NA,7.150042372173064,5.454511264377186,8.845573479968941
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,21,NA,NA,7.026318066533309,5.502256078601375,8.550380054465244
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,21,NA,NA,7.13888313720292,5.545486525500936,8.732279748904904
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,22,NA,NA,7.015171790401384,5.594142311213384,8.436201269589384
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,22,NA,NA,7.127736861070995,5.635412861564391,8.620060860577599
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,23,NA,NA,7.004071868195031,5.684741452927845,8.323402283462217
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,23,NA,NA,7.116636938864642,5.72382302121847,8.509450856510814
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,24,NA,NA,6.9930536023184375,5.773567524327588,8.212539680309288
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,24,NA,NA,7.105618672988048,5.8102056857786355,8.40103166019746
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,25,NA,NA,6.98215229517579,5.860103884235367,8.104200706116211
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,25,NA,NA,7.0947173658454,5.894019239580718,8.295415492110083
