outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,01,DST,NA,NA,NA,7.238589242196617,3.4915575194232433,10.98562096496999
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,01,NoDST,NA,NA,NA,7.351154312866227,3.5521174043574644,11.15019122137499
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,02,DST,NA,NA,NA,7.263181641997131,3.5158625812522644,11.010500702741997
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,02,NoDST,NA,NA,NA,7.375746712666741,3.576440293379675,11.175053131953806
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,03,DST,NA,NA,NA,7.258845730736576,3.5119171055151592,11.005774355957993
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,03,NoDST,NA,NA,NA,7.371410801406187,3.5725007702256817,11.170320832586691
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,04,DST,NA,NA,NA,7.264621892106269,3.5177672108632088,11.011476573349327
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,04,NoDST,NA,NA,NA,7.37718696277588,3.578340174645348,11.176033750906411
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,05,DST,NA,NA,NA,7.2611797743916275,3.5138573584783104,11.008502190304943
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,05,NoDST,NA,NA,NA,7.373744845061238,3.5744225502499507,11.173067139872526
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,month_x_dst,NA,NA,NA,06,DST,NA,NA,NA,7.284757945648631,3.536977658013579,11.032538233283685
