outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,01,DST,NA,5.654672870371202,1.7042264570995769,9.605119283642829
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,01,NoDST,NA,5.750606584250869,1.883208950401742,9.618004218099998
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,02,DST,NA,5.519595460272601,1.5678318843164378,9.471359036228764
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,02,NoDST,NA,5.615529174152268,1.746550464684267,9.48450788362027
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,03,DST,NA,5.469598593520844,1.5046515333852084,9.43454565365648
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,03,NoDST,NA,5.565532307400511,1.6859664304380293,9.445098184362994
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,04,DST,NA,5.776096146449362,1.8178129041882232,9.7343793887105
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,04,NoDST,NA,5.872029860329029,2.006251844367114,9.737807876290944
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,05,DST,NA,5.8159005769483985,1.8602380372174665,9.771563116679332
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,05,NoDST,NA,5.911834290828065,2.050438988770511,9.77322959288562
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,06,DST,NA,5.820108905526337,1.8762955877216303,9.763922223331043
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,06,NoDST,NA,5.916042619406004,2.0656537387862173,9.76643150002579
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,07,DST,NA,5.820950496275177,1.9045919192454264,9.737309073304928
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,07,NoDST,NA,5.916884210154844,2.087234320812381,9.746534099497309
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,08,DST,NA,5.827844354908691,1.9132813883022168,9.742407321515165
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,08,NoDST,NA,5.923778068788358,2.094847137291296,9.75270900028542
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,09,DST,NA,5.891668869368303,1.9535750557403615,9.829762682996243
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,09,NoDST,NA,5.98760258324797,2.1334553709664767,9.841749795529465
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,10,DST,NA,5.944471576066594,2.006426898361295,9.882516253771891
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,10,NoDST,NA,6.040405289946261,2.1847749381112584,9.896035641781262
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,11,DST,NA,5.790459901303347,1.8602276452079585,9.720692157398735
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,11,NoDST,NA,5.886393615183014,2.0380408817535485,9.73474634861248
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,12,DST,NA,5.883967181923863,1.9522035985794632,9.815730765268263
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,12,NoDST,NA,5.97990089580353,2.130194056365633,9.829607735241426
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,01,DST,NA,-1.9872961639822797,-5.117066751119584,1.142474423155024
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,01,NoDST,NA,-2.095842913941734,-5.160000683788585,0.9683148559051172
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,02,DST,NA,-2.234496293954584,-5.365597917915542,0.8966053300063739
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,02,NoDST,NA,-2.3430430439140384,-5.408623935393467,0.7225378475653903
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,03,DST,NA,-2.208055616713651,-5.348404795436325,0.9322935620090228
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,03,NoDST,NA,-2.3166023666731057,-5.389561574324285,0.7563568409780737
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,04,DST,NA,-2.0201792388202966,-5.155687597065226,1.1153291194246333
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,04,NoDST,NA,-2.128725988779751,-5.191591656825167,0.9341396792656648
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,05,DST,NA,-1.9286840182173557,-5.062197127760957,1.204829091326246
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,05,NoDST,NA,-2.03723076817681,-5.096848331027175,1.0223867946735554
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,06,DST,NA,-2.0102969239936908,-5.135171065741574,1.1145772177541915
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,06,NoDST,NA,-2.1188436739531453,-5.170445046115065,0.9327576982087736
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,07,DST,NA,-2.047105988412942,-5.152341661549164,1.0581296847232804
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,07,NoDST,NA,-2.1556527383723965,-5.192430749049055,0.8811252723042617
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,08,DST,NA,-2.096330008179703,-5.200220408298788,1.0075603919393823
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,08,NoDST,NA,-2.2048767581391577,-5.241113252811287,0.8313597365329715
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,09,DST,NA,-2.2684149767806496,-5.388832998063355,0.8520030445020561
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,09,NoDST,NA,-2.376961726740104,-5.431084488238637,0.6771610347584289
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,10,DST,NA,-2.0672604128725234,-5.187671864897021,1.0531510391519738
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,10,NoDST,NA,-2.175807162831978,-5.231068276483803,0.8794539508198467
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,11,DST,NA,-2.046630840444654,-5.161823862825733,1.0685621819364246
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,11,NoDST,NA,-2.1551775904041084,-5.205626375144166,0.8952711943359493
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,12,DST,NA,-1.9007020509753416,-5.017015632635768,1.215611530685086
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,primary,month_x_dst,NA,NA,NA,12,NoDST,NA,-2.0092488009347957,-5.060697333457013,1.042199731587422
