outcome,outcome_type,batch,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,age_at_sleep,estimate,conf.low,conf.high,dst_observes
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,01,NA,-1.5779601927805926,-4.582835876617853,1.4269154910566684,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,02,NA,-1.5677024794492147,-4.572802078638877,1.4373971197404471,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,03,NA,-1.5751396357405612,-4.579926593805973,1.429647322324851,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,04,NA,-1.5787816165827067,-4.583508748126825,1.4259455149614113,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,05,NA,-1.562599026964853,-4.567694595069051,1.4424965411393451,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,06,NA,-1.5368582809262201,-4.54230295307596,1.4685863912235197,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,07,NA,-1.5477491879544298,-4.552969719663066,1.4574713437542055,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,08,NA,-1.5411532299311603,-4.5460930322238156,1.4637865723614945,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,09,NA,-1.5736511170364578,-4.578188813844353,1.4308865797714367,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,10,NA,-1.5680187160256867,-4.5723528239611015,1.4363153919097278,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,11,NA,-1.566305381305179,-4.570587151574737,1.4379763889643793,PooledDST
onset,ClockTime,base,primary,month_x_dst,NA,NA,NA,12,NA,-1.5848086071809844,-4.5891272242061,1.419510009844132,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,01,NA,-1.5779601927805926,-4.582835876617853,1.4269154910566684,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,02,NA,-1.5677024794492147,-4.572802078638877,1.4373971197404471,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,03,NA,-1.5751396357405612,-4.579926593805973,1.429647322324851,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,04,NA,-1.5787816165827067,-4.583508748126825,1.4259455149614113,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,05,NA,-1.562599026964853,-4.567694595069051,1.4424965411393451,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,06,NA,-1.5368582809262201,-4.54230295307596,1.4685863912235197,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,07,NA,-1.5477491879544298,-4.552969719663066,1.4574713437542055,PooledDST
onset,ClockTime,dst,primary,month_x_dst,NA,NA,NA,08,NA,-1.5411532299311603,-4.5460930322238156,1.4637865723614945,PooledDST
