outcome,outcome_type,outcome_variant,batch,model_method,model_file,estimate_Weekday,estimate_Weekend,weekend_minus_weekday,contrast_scope,employment_status,term
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,8.215488600270827,8.340153063219404,0.12466446294857648,overall,NA,Overall
duration,Duration,primary,dst,REML,duration_poly_interact_04_5_dst_REML.rds,7.740539681905422,7.903771213738764,0.16323153183334238,overall,NA,Overall
midpoint,ClockTime,primary,base,REML,midpoint_poly_interact_04_5_REML.rds,2.9051876110313817,3.5019249489302817,0.5967373378989,overall,NA,Overall
midpoint,ClockTime,primary,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,1.8469122286136757,2.4693841957021294,0.6224719670884538,overall,NA,Overall
offset,ClockTime,primary,base,REML,offset_poly_interact_04_5_REML.rds,7.1432239704008,7.471494166152486,0.3282701957516867,overall,NA,Overall
offset,ClockTime,primary,dst,REML,offset_poly_interact_04_5_dst_REML.rds,5.776096146449362,6.1550954981183175,0.3789993516689556,overall,NA,Overall
onset,ClockTime,primary,base,REML,onset_poly_interact_04_5_REML.rds,-1.3107363917605708,-0.8296067074382758,0.48112968432229497,overall,NA,Overall
onset,ClockTime,primary,dst,REML,onset_poly_interact_04_5_dst_REML.rds,-2.0201792388202966,-1.550160873957944,0.4700183648623526,overall,NA,Overall
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,8.215488600270827,8.340153063219404,0.12466446294857648,by_employment,Employed For Wages,Employed For Wages
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,10.918944690937035,10.827532511191984,-0.09141217974505088,by_employment,Homemaker,Homemaker
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,-0.658072694119395,-0.5210949717022485,0.13697772241714645,by_employment,Out Of Work Less Than One,Out Of Work Less Than One
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,10.766168099051406,10.598858363791296,-0.16730973526011006,by_employment,Out Of Work One Or More,Out Of Work One Or More
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,8.651192984848583,8.748319873943101,0.09712688909451828,by_employment,Retired,Retired
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,10.435080195855305,10.382448837374389,-0.05263135848091593,by_employment,Self Employed,Self Employed
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,4.338602737952502,4.484816537639731,0.1462137996872297,by_employment,Student,Student
duration,Duration,primary,base,REML,duration_poly_interact_04_5_REML.rds,5.561392711328552,5.614746757545493,0.05335404621694106,by_employment,Unable To Work,Unable To Work
