outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,18,NA,NA,-8.862648152603125,-67.21259529422048,49.487298989014235
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,19,NA,NA,-9.84972312706114,-70.78314232474236,51.083696070620086
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,20,NA,NA,-10.83679810151916,-74.35480714011989,52.68121093708157
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,21,NA,NA,-11.823873075977206,-77.92745867848109,54.27971252652668
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,22,NA,NA,-12.81094805043522,-81.50098606152427,55.87908996065384
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,23,NA,NA,-13.798023024893274,-85.07529393474097,57.479247884954425
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,24,NA,NA,-14.78509799935128,-88.65029919944887,59.08010320074631
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,25,NA,NA,-15.772172973809308,-92.22593135665964,60.68158540904102
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,26,NA,NA,-16.75924794826733,-95.80212966366986,62.2836337671352
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,27,NA,NA,-17.746322922725366,-99.37883975327688,63.886193907826154
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,28,NA,NA,-18.73339789718339,-102.95601453932493,65.48921874495814
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,29,NA,NA,-19.720472871641423,-106.53361215596505,67.0926664126822
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,30,NA,NA,-20.707547846099448,-110.11159541935928,68.69649972716039
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,31,NA,NA,-21.694622820557477,-113.68993271653557,70.3006870754206
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,32,NA,NA,-22.681697795015506,-117.26859490515152,71.90519931512051
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,33,NA,NA,-23.668772769473552,-120.84755634232856,73.51001080338146
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,34,NA,NA,-24.65584774393156,-124.42679204829732,75.1150965604342
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,35,NA,NA,-25.6429227183896,-128.0062817296236,76.7204362928444
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,36,NA,NA,-26.629997692847617,-131.58600778202663,78.32601239633141
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,37,NA,NA,-27.617072667305663,-135.16595182996946,79.93180649535812
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,38,NA,NA,-28.60414764176367,-138.74609904317558,81.53780375964823
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,39,NA,NA,-29.591222616221707,-142.32643609686437,83.14399086442094
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,40,NA,NA,-30.578297590679753,-145.90694934378217,84.75035416242268
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,41,NA,NA,-31.56537256513779,-149.4876266800674,86.35688154979182
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,42,NA,NA,-32.55244753959581,-153.0684563847284,87.96356130553676
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,43,NA,NA,-33.53952251405386,-156.64943280124203,89.57038777313433
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,44,NA,NA,-34.52659748851187,-160.23054382082114,91.1773488437974
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,45,NA,NA,-35.513672462969915,-163.81178227086403,92.7844373449242
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,46,NA,NA,-36.5007474374279,-167.39314077466446,94.39164589980868
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,47,NA,NA,-37.487822411885944,-170.97460991428073,95.99896509050886
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,48,NA,NA,-38.47489738634399,-174.55618601676437,97.60639124407638
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,49,NA,NA,-39.461972360801994,-178.13786443656352,99.21391971495952
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,50,NA,NA,-40.44904733526005,-181.71963460039757,100.82153992987747
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,51,NA,NA,-41.43612230971807,-185.30149646409956,102.4292518446634
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,52,NA,NA,-42.42319728417611,-188.88344233093017,104.03704776257791
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,53,NA,NA,-43.41027225863414,-192.4654694124552,105.6449248951869
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,54,NA,NA,-44.39734723309215,-196.04757134819377,107.25287688200945
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,55,NA,NA,-45.38442220755017,-199.6297474913192,108.86090307621888
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,56,NA,NA,-46.371497182008234,-203.21199035495212,110.46899599093568
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,57,NA,NA,-47.358572156466224,-206.7943000843023,112.0771557713699
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,58,NA,NA,-48.34564713092427,-210.37667121560065,113.6853769537521
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,59,NA,NA,-49.33272210538231,-213.95910180731497,115.2936575965503
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,60,NA,NA,-50.319797079840335,-217.54158939346735,116.90199523378668
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,61,NA,NA,-51.30687205429835,-221.12413097402217,118.51038686542542
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,62,NA,NA,-52.29394702875641,-224.70672316273823,120.11882910522542
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,63,NA,NA,-53.28102200321445,-228.28936729926113,121.72732329283224
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,64,NA,NA,-54.268096977672435,-231.87205790027093,123.33586394492607
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,65,NA,NA,-55.25517195213044,-235.4547902652517,124.9444463609908
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,66,NA,NA,-56.2422469265885,-239.03757033742008,126.55307648424306
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,67,NA,NA,-57.22932190104651,-242.620387579224,128.16174377713097
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,68,NA,NA,-58.21639687550457,-246.20324533133856,129.77045158032945
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,69,NA,NA,-59.203471849962575,-249.78614381939713,131.379200119472
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,70,NA,NA,-60.19054682442062,-253.36907811517636,132.9879844663351
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_main,NA,NA,NA,NA,NA,71,NA,NA,-61.17762179887868,-256.9520453704797,134.59680177272233
