batch,analysis,age_at_sleep,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,duration_adjusted_estimate,duration_adjusted_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived,midpoint_adjusted_estimate,midpoint_adjusted_minus_derived
base,derived_duration_midpoint_age,18,NA,NA,1.153932308694702,62.45513831626637,13.301206007571672,7.804535312480538,-8.862648152603125,-22.163854160174797,-8.775712620739235,-22.076918628310903,10.416570075128838,2.6120347626482996,10.978822089097196,3.1742867766166576
base,derived_duration_midpoint_age,19,NA,NA,-0.05569892701791668,64.00065872080374,16.056357647821656,7.972479896892912,-9.84972312706114,-25.906080774882795,-9.75819717617831,-25.814554823999966,9.716726130393496,1.7442462335005846,10.302053502905377,2.329573606012465
base,derived_duration_midpoint_age,20,NA,NA,-1.2653301627305331,65.54617912534111,18.811509288071647,8.14042448130529,-10.83679810151916,-29.648307389590805,-10.740681731617382,-29.55219101968903,9.016882185658156,0.8764577043528661,9.62528491671357,1.4848604354082795
base,derived_duration_midpoint_age,21,NA,NA,-2.4749613984431114,67.09169952987848,21.566660928321596,8.308369065717686,-11.823873075977206,-33.3905340042988,-11.723166287056475,-33.28982721537807,8.317038240922813,0.00866917520512622,8.948516330521729,0.6401472648040425
base,derived_duration_midpoint_age,22,NA,NA,-3.68459263415574,68.63721993441585,0.3218125685715876,20.476313650130052,-12.81094805043522,-13.132760619006808,-12.705650842495553,-13.02746341106714,7.617194296187481,11.140880646057427,8.27174774432993,11.795434094199877
base,derived_duration_midpoint_age,23,NA,NA,-4.894223869868323,70.18274033895322,3.0769642088215505,20.644258234542452,-13.798023024893274,-16.874987233714826,-13.68813539793464,-16.76509960675619,6.917350351452137,10.273092116909684,7.594979158138083,10.950720923595632
base,derived_duration_midpoint_age,24,NA,NA,-6.103855105580955,71.72826074349061,5.832115849071556,20.812202818954823,-14.78509799935128,-20.617213848422836,-14.67061995337371,-20.502735802445265,6.217506406716799,9.405303587761978,6.918210571946297,10.106007752991474
base,derived_duration_midpoint_age,25,NA,NA,-7.313486341293565,73.27378114802798,8.587267489321547,20.98014740336721,-15.772172973809308,-24.359440463130856,-15.653104508812778,-24.240371998134325,5.517662461981468,8.537515058614261,6.241441985754477,9.261294582387269
base,derived_duration_midpoint_age,26,NA,NA,-8.523117577006158,74.81930155256535,11.34241912957151,21.1480919877796,-16.75924794826733,-28.10166707783884,-16.635589064251874,-27.978008193823385,4.817818517246117,7.669726529466519,5.5646733995626505,8.416581411783053
base,derived_duration_midpoint_age,27,NA,NA,-9.732748812718771,76.36482195710273,14.097570769821502,21.31603657219198,-17.746322922725366,-31.843893692546867,-17.618073619690957,-31.71564438951246,4.117974572510779,6.801938000318799,4.887904813370845,7.571868241178866
