batch,age_at_sleep,is_weekend_factor,dst_observes,series,estimate,facet_key
base,18,NA,NA,Derived from Onset+Offset,13.301206007571672,All | AllDays | AllDST
base,19,NA,NA,Derived from Onset+Offset,16.056357647821656,All | AllDays | AllDST
base,20,NA,NA,Derived from Onset+Offset,18.811509288071647,All | AllDays | AllDST
base,21,NA,NA,Derived from Onset+Offset,21.566660928321596,All | AllDays | AllDST
base,22,NA,NA,Derived from Onset+Offset,0.3218125685715876,All | AllDays | AllDST
base,23,NA,NA,Derived from Onset+Offset,3.0769642088215505,All | AllDays | AllDST
base,24,NA,NA,Derived from Onset+Offset,5.832115849071556,All | AllDays | AllDST
base,25,NA,NA,Derived from Onset+Offset,8.587267489321547,All | AllDays | AllDST
base,26,NA,NA,Derived from Onset+Offset,11.34241912957151,All | AllDays | AllDST
base,27,NA,NA,Derived from Onset+Offset,14.097570769821502,All | AllDays | AllDST
base,28,NA,NA,Derived from Onset+Offset,16.852722410071507,All | AllDays | AllDST
base,29,NA,NA,Derived from Onset+Offset,19.6078740503215,All | AllDays | AllDST
base,30,NA,NA,Derived from Onset+Offset,22.363025690571448,All | AllDays | AllDST
base,31,NA,NA,Derived from Onset+Offset,1.1181773308214389,All | AllDays | AllDST
base,32,NA,NA,Derived from Onset+Offset,3.873328971071402,All | AllDays | AllDST
base,33,NA,NA,Derived from Onset+Offset,6.628480611321365,All | AllDays | AllDST
base,34,NA,NA,Derived from Onset+Offset,9.383632251571385,All | AllDays | AllDST
base,35,NA,NA,Derived from Onset+Offset,12.138783891821362,All | AllDays | AllDST
base,36,NA,NA,Derived from Onset+Offset,14.89393553207134,All | AllDays | AllDST
base,37,NA,NA,Derived from Onset+Offset,17.649087172321273,All | AllDays | AllDST
base,38,NA,NA,Derived from Onset+Offset,20.40423881257132,All | AllDays | AllDST
base,39,NA,NA,Derived from Onset+Offset,23.15939045282124,All | AllDays | AllDST
base,40,NA,NA,Derived from Onset+Offset,1.9145420930712336,All | AllDays | AllDST
base,41,NA,NA,Derived from Onset+Offset,4.669693733321239,All | AllDays | AllDST
base,42,NA,NA,Derived from Onset+Offset,7.424845373571216,All | AllDays | AllDST
base,43,NA,NA,Derived from Onset+Offset,10.17999701382115,All | AllDays | AllDST
base,44,NA,NA,Derived from Onset+Offset,12.935148654071211,All | AllDays | AllDST
base,45,NA,NA,Derived from Onset+Offset,15.690300294321162,All | AllDays | AllDST
base,46,NA,NA,Derived from Onset+Offset,18.445451934571196,All | AllDays | AllDST
base,47,NA,NA,Derived from Onset+Offset,21.200603574821116,All | AllDays | AllDST
base,48,NA,NA,Derived from Onset+Offset,23.955755215071065,All | AllDays | AllDST
base,49,NA,NA,Derived from Onset+Offset,2.710906855321099,All | AllDays | AllDST
base,50,NA,NA,Derived from Onset+Offset,5.4660584955711045,All | AllDays | AllDST
base,51,NA,NA,Derived from Onset+Offset,8.221210135821025,All | AllDays | AllDST
base,52,NA,NA,Derived from Onset+Offset,10.97636177607106,All | AllDays | AllDST
base,53,NA,NA,Derived from Onset+Offset,13.731513416320922,All | AllDays | AllDST
base,54,NA,NA,Derived from Onset+Offset,16.486665056570985,All | AllDays | AllDST
base,55,NA,NA,Derived from Onset+Offset,19.24181669682102,All | AllDays | AllDST
base,56,NA,NA,Derived from Onset+Offset,21.996968337070967,All | AllDays | AllDST
base,57,NA,NA,Derived from Onset+Offset,0.7521199773209162,All | AllDays | AllDST
base,58,NA,NA,Derived from Onset+Offset,3.507271617570865,All | AllDays | AllDST
base,59,NA,NA,Derived from Onset+Offset,6.262423257820899,All | AllDays | AllDST
base,60,NA,NA,Derived from Onset+Offset,9.017574898070848,All | AllDays | AllDST
base,61,NA,NA,Derived from Onset+Offset,11.772726538320825,All | AllDays | AllDST
base,62,NA,NA,Derived from Onset+Offset,14.527878178570743,All | AllDays | AllDST
