outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Working,NA,NA,NA,NA,18,NA,NA,-8.55694583560584,-66.92489830311825,49.81100663190657,Working
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,18,NA,NA,-13.422778547035502,-71.26080419384677,44.415247099775755,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,18,NA,NA,-10.745940894547015,-70.43432069755094,48.94243890845691,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Not Working,NA,NA,NA,NA,18,NA,NA,-8.862648152603125,-67.21259529422048,49.487298989014235,Not Working
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Working,NA,NA,NA,NA,19,NA,NA,-9.54402081006386,-70.49284241856577,51.40480079843805,Working
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,19,NA,NA,-14.409853521493517,-74.82602548884078,46.00631844585375,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,19,NA,NA,-11.733015869005037,-73.99695990193813,50.53092816392805,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Not Working,NA,NA,NA,NA,19,NA,NA,-9.84972312706114,-70.78314232474236,51.083696070620086,Not Working
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Working,NA,NA,NA,NA,20,NA,NA,-10.531095784521874,-74.06211556338815,52.99992399434439,Working
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,20,NA,NA,-15.396928495951544,-78.39281027673506,47.59895328483197,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,20,NA,NA,-12.720090843463057,-77.56132292187314,52.12114123494703,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Not Working,NA,NA,NA,NA,20,NA,NA,-10.83679810151916,-74.35480714011989,52.68121093708157,Not Working
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Working,NA,NA,NA,NA,21,NA,NA,-11.51817075897992,-77.63256217897072,54.596220661010875,Working
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,21,NA,NA,-16.384003470409592,-81.96097374172271,49.19296680090352,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,21,NA,NA,-13.707165817921096,-81.12721257668075,53.71288094083856,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Not Working,NA,NA,NA,NA,21,NA,NA,-11.823873075977206,-77.92745867848109,54.27971252652668,Not Working
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Working,NA,NA,NA,NA,22,NA,NA,-12.505245733437942,-81.20405034286242,56.193558875986525,Working
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Student,NA,NA,NA,NA,22,NA,NA,-17.371078444867607,-85.53036042854188,50.78820353880667,Student
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Retired,NA,NA,NA,NA,22,NA,NA,-14.69424079237911,-84.69446016143418,55.30597857667596,Retired
duration,Duration,base,REML,duration_poly_interact_04_REML.rds,primary,age_x_employment,Not Working,NA,NA,NA,NA,22,NA,NA,-12.81094805043522,-81.50098606152427,55.87908996065384,Not Working
