outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high,SE,df
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Working,Weekday,NA,NA,NA,NA,NA,12.0488460416079,6.60913764138622,17.4885544418296,2.73948905331059,93.4876330165828
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Student,Weekday,NA,NA,NA,NA,NA,10.1230509761739,3.99140274047662,16.2546992118712,3.08824981348073,94.1698298880631
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Retired,Weekday,NA,NA,NA,NA,NA,13.547737223787,7.97153101638014,19.1239434311939,2.80873355781506,94.7824315851752
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Not Working,Weekday,NA,NA,NA,NA,NA,12.5000693312291,9.32490864291747,15.6752300195407,1.59433037273856,76.3321642782925
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Working,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Student,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Retired,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_x_weekend,Not Working,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_main,Working,NA,NA,NA,NA,NA,NA,12.7124109199604,9.06344601797346,16.3613758219474,1.83796841437985,94.7257454410278
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_main,Student,NA,NA,NA,NA,NA,NA,9.35529849357804,4.86917869225563,13.8414182949004,2.25951601002967,94.3261182730598
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_main,Retired,NA,NA,NA,NA,NA,NA,12.2238952861981,7.83306931322106,16.6147212591752,2.21167827405803,94.8501701817265
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_employment_main,Not Working,NA,NA,NA,NA,NA,NA,12.7212635667785,10.4960871233453,14.9464400102118,1.11983819293749,88.763165102561
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_weekend_main,NA,Weekday,NA,NA,NA,NA,NA,12.2277404797558,9.31038866337445,15.1450922961371,1.46625106446199,81.0510833659757
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_weekend_main,NA,Weekend,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_sex_main,NA,NA,Female,NA,NA,NA,NA,11.3274162632879,6.72193495906238,15.9328975675134,2.31974754588952,94.6809603428732
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_sex_main,NA,NA,I prefer not to answer,NA,NA,NA,NA,13.1842975866493,9.50990419560695,16.8586909776916,1.85079645993297,94.8042361869257
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_sex_main,NA,NA,Intersex,NA,NA,NA,NA,12.0465996947238,8.11262561697383,15.9805737724739,1.98120663857929,93.5588039408921
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_sex_main,NA,NA,Male,NA,NA,NA,NA,11.1980089796074,7.71622087241092,14.6797970868038,1.75374967016221,94.6736253008643
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_sex_main,NA,NA,No matching concept,NA,NA,NA,NA,12.7689039386104,8.99007603686401,16.5477318403568,1.902080049537,89.9757191533485
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_sex_main,NA,NA,PMI: Skip,NA,NA,NA,NA,13.6072728887154,8.75379644474752,18.4607493326832,2.44468662646608,94.7580110371946
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_sex_main,NA,NA,Sex At Birth: Sex At Birth None Of These,NA,NA,NA,NA,13.0448143483514,8.37408419663054,17.7155445000722,2.35258130010714,94.5827439024921
duration,Duration,dst,REML,duration_poly_interact_04_dst_REML.rds,primary,emm_month_main,NA,NA,NA,01,NA,NA,NA,11.850815102886,6.25005478424877,17.4515754215232,2.82105501549526,94.6618912663279
