outcome,batch,category,term,estimate,conf.low,conf.high
duration,base,Demographics,Female,9.26880580339695,-3.679083829227608,22.216695436021507
duration,base,Demographics,I Prefer Not To Answer,10.81383800736346,-2.8411629187661216,24.468838933493046
duration,base,Demographics,Intersex,9.4952451580317,-3.366929581591256,22.35741989765466
duration,base,Demographics,Male,8.738761874089928,-4.478166512350896,21.95569026053075
duration,base,Demographics,No Matching Concept,10.390459750122549,-3.0464270875083397,23.827346587753432
duration,base,Demographics,Pmi: Skip,11.05862359850259,-3.2705983511670897,25.387845548172272
duration,base,Demographics,Sex At Birth: Sex At Birth None Of These,10.383283582011838,-3.047936610521349,23.814503774545024
duration,dst,Demographics,Female,8.811759112118345,-4.278924672726692,21.902442896963382
duration,dst,Demographics,I Prefer Not To Answer,10.668640435479702,-3.0899583494712317,24.427239220430636
duration,dst,Demographics,Intersex,9.530942543554294,-3.426053287271907,22.487938374380494
duration,dst,Demographics,Male,8.682351828437811,-4.63260038049798,21.997304037373603
duration,dst,Demographics,No Matching Concept,10.25324678744084,-3.3123172739444673,23.818810848826143
duration,dst,Demographics,Pmi: Skip,11.0916157375458,-3.341881003643038,25.52511247873464
duration,dst,Demographics,Sex At Birth: Sex At Birth None Of These,10.529157197181824,-3.00616150036152,24.064475894725163
midpoint,base,Demographics,Female,22.94023252501657,10.51842757352149,35.362037476511645
midpoint,base,Demographics,I Prefer Not To Answer,26.01247671085697,12.71683982005924,39.30811360165469
midpoint,base,Demographics,Intersex,19.738588364421595,7.329727495883763,32.14744923295943
midpoint,base,Demographics,Male,22.89610865602394,10.368023654307107,35.42419365774077
midpoint,base,Demographics,No Matching Concept,20.59171298244621,7.530675775012215,33.65275018988021
midpoint,base,Demographics,Pmi: Skip,27.508384255095457,13.369397634460274,41.64737087573064
midpoint,base,Demographics,Sex At Birth: Sex At Birth None Of These,22.33018977525851,9.31125674542801,35.34912280508901
midpoint,dst,Demographics,Female,23.07316442191673,10.560863734383704,35.58546510944976
midpoint,dst,Demographics,I Prefer Not To Answer,26.155040699809668,12.7776852426764,39.53239615694294
midpoint,dst,Demographics,Intersex,19.8442366600634,7.368359697808309,32.320113622318495
midpoint,dst,Demographics,Male,23.05349334330199,10.434493172923542,35.67249351368045
midpoint,dst,Demographics,No Matching Concept,20.260945243541116,7.102263382771664,33.419627104310564
midpoint,dst,Demographics,Pmi: Skip,27.644029782210808,13.428196369946608,41.85986319447501
midpoint,dst,Demographics,Sex At Birth: Sex At Birth None Of These,22.37959589933623,9.29080515381794,35.46838664485452
offset,base,Demographics,Female,34.47923633649879,21.935416863091675,47.02305580990591
offset,base,Demographics,I Prefer Not To Answer,33.01385047869904,19.58761578828035,46.44008516911774
offset,base,Demographics,Intersex,32.21256726317864,19.681819822661723,44.74331470369556
offset,base,Demographics,Male,34.895592133040246,22.244448030744444,47.54673623533605
offset,base,Demographics,No Matching Concept,34.22256455011916,21.03323462978457,47.41189447045375
offset,base,Demographics,Pmi: Skip,32.167758379634975,17.889890548852232,46.445626210417714
offset,base,Demographics,Sex At Birth: Sex At Birth None Of These,33.77132133706276,20.624507764145697,46.91813490997983
offset,dst,Demographics,Female,34.531286423322996,21.839338541226557,47.22323430541944
offset,dst,Demographics,I Prefer Not To Answer,33.071962740852804,19.502534528549592,46.64139095315602
offset,dst,Demographics,Intersex,32.258645964583046,19.60364746357618,44.91364446558991
offset,dst,Demographics,Male,34.95804079539907,22.15785794292226,47.75822364787588
offset,dst,Demographics,No Matching Concept,34.081190288495556,20.733582290096564,47.42879828689455
offset,dst,Demographics,Pmi: Skip,32.22582212667545,17.805880431373872,46.645763821977035
offset,dst,Demographics,Sex At Birth: Sex At Birth None Of These,33.79596698638235,20.519248983106134,47.07268498965857
onset,base,Demographics,Female,22.99437057727811,11.484100741479953,34.504640413076274
onset,base,Demographics,I Prefer Not To Answer,20.250586810042144,8.079556933153386,32.4216166869309
onset,base,Demographics,Intersex,21.90126293065078,10.479050296837537,33.323475564464026
onset,base,Demographics,Male,22.72394057738099,11.03350739589006,34.41437375887192
onset,base,Demographics,No Matching Concept,21.43742731752736,9.44585004272068,33.429004592334046
onset,base,Demographics,Pmi: Skip,18.610950154645753,5.772190281118256,31.44971002817325
onset,base,Demographics,Sex At Birth: Sex At Birth None Of These,18.46277015837535,6.511772548721227,30.413767768029473
onset,dst,Demographics,Female,22.919259441064252,11.46669914027718,34.371819741851326
onset,dst,Demographics,I Prefer Not To Answer,19.98496202657634,7.917628685602715,32.052295367549966
onset,dst,Demographics,Intersex,21.580832671753335,10.252500176065665,32.909165167441
onset,dst,Demographics,Male,22.306167751728328,10.698756328325072,33.91357917513159
onset,dst,Demographics,No Matching Concept,20.290758235804336,8.375025191934885,32.206491279673784
onset,dst,Demographics,Pmi: Skip,18.342761758754452,5.629424979706439,31.056098537802463
onset,dst,Demographics,Sex At Birth: Sex At Birth None Of These,18.0458140722746,6.192773162820638,29.89885498172857
duration,base,Employment,Not Working,6.420823714445603,-6.32032043255766,19.161967861448865
duration,base,Employment,Retired,5.940309400133576,-8.351343395172453,20.231962195439607
duration,base,Employment,Student,2.8460616503181977,-10.261403685308053,15.953526985944452
duration,base,Employment,Working,6.393268470894407,-6.848280257152227,19.634817198941043
duration,dst,Employment,Not Working,5.987081435987547,-6.95662222367126,18.930785095646357
duration,dst,Employment,Retired,5.5131227943941035,-8.958199107538116,19.98444469632632
duration,dst,Employment,Student,2.6361004039710787,-10.625273520674899,15.897474328617058
duration,dst,Employment,Working,5.971526203672434,-7.507331831017866,19.450384238362734
midpoint,base,Employment,Not Working,27.57063100150123,15.130115004306397,40.01114699869606
midpoint,base,Employment,Retired,28.07512624162799,13.974763332947703,42.17548915030828
midpoint,base,Employment,Student,27.882495279495735,14.861269402482831,40.90372115650864
midpoint,base,Employment,Working,27.782181196064997,14.620144961659204,40.944217430470786
midpoint,dst,Employment,Not Working,28.086185615888425,15.385452479310235,40.78691875246662
midpoint,dst,Employment,Retired,28.64060646931695,14.300576940900532,42.980635997733366
midpoint,dst,Employment,Student,28.398346742833276,15.213900991249727,41.58279249441682
midpoint,dst,Employment,Working,28.552555205672746,15.104493983010792,42.000616428334695
offset,base,Employment,Not Working,25.380840689333976,12.818127098556252,37.9435542801117
offset,base,Employment,Retired,24.20186662669556,9.963003292665327,38.44072996072579
offset,base,Employment,Student,22.942887940445395,9.793760690788744,36.092015190102046
offset,base,Employment,Working,25.376909605097623,12.085589500087423,38.668229710107816
offset,dst,Employment,Not Working,25.58353651449618,12.700466039497421,38.466606989494935
offset,dst,Employment,Retired,24.413200242264082,9.867295866474587,38.95910461805357
offset,dst,Employment,Student,23.16108891630015,9.787357905722793,36.53481992687751
offset,dst,Employment,Working,25.695718834666057,12.05458279735629,39.336854871975824
onset,base,Employment,Not Working,27.559524245577713,16.17866333974743,38.940385151407995
onset,base,Employment,Retired,26.56993093654495,13.765930825926743,39.373931047163154
onset,base,Employment,Student,27.945609691924417,16.19451076793407,39.69670861591477
onset,base,Employment,Working,26.551779629402176,14.66715490778176,38.436404351022595
onset,dst,Employment,Not Working,27.92475783688748,16.544210704307616,39.30530496946735
onset,dst,Employment,Retired,27.01399395872251,14.264108238371604,39.76387967907341
onset,dst,Employment,Student,28.413741727635035,16.73054863149934,40.096934823770724
onset,dst,Employment,Working,27.43216171615473,15.540464360599657,39.323859071709805
duration,base,Weekend Effect,Weekday,4.1028855548012775,-8.162474352764423,16.36824546236698
duration,base,Weekend Effect,Weekend,8.738761874089928,-4.478166512350896,21.95569026053075
duration,dst,Weekend Effect,Weekday,3.291811043537283,-9.28064406684454,15.864266153919107
duration,dst,Weekend Effect,Weekend,8.682351828437811,-4.63260038049798,21.997304037373603
midpoint,base,Weekend Effect,Weekday,32.24515334697852,19.892206354305685,44.59810033965135
midpoint,base,Weekend Effect,Weekend,22.89610865602394,10.368023654307107,35.42419365774077
midpoint,dst,Weekend Effect,Weekday,33.118877888474856,20.336411785696928,45.90134399125279
midpoint,dst,Weekend Effect,Weekend,23.05349334330199,10.434493172923542,35.67249351368045
offset,base,Weekend Effect,Weekday,15.866089245627704,3.3918061663680596,28.34037232488735
offset,base,Weekend Effect,Weekend,34.895592133040246,22.244448030744444,47.54673623533605
